,,"Australian Securities and Investments Commission (ASIC) Key Questions and Good Practice Guidance
 to CRI Profile ver. 2.1 Mapping","Australian Securities and Investments Commission (ASIC) Key Questions and Good Practice Guidance
 to CRI Profile ver. 2.1 Mapping","Australian Securities and Investments Commission (ASIC) Key Questions and Good Practice Guidance
 to CRI Profile ver. 2.1 Mapping","Australian Securities and Investments Commission (ASIC) Key Questions and Good Practice Guidance
 to CRI Profile ver. 2.1 Mapping","Australian Securities and Investments Commission (ASIC) Key Questions and Good Practice Guidance
 to CRI Profile ver. 2.1 Mapping","Australian Securities and Investments Commission (ASIC) Key Questions and Good Practice Guidance
 to CRI Profile ver. 2.1 Mapping","Australian Securities and Investments Commission (ASIC) Key Questions and Good Practice Guidance
 to CRI Profile ver. 2.1 Mapping",,,
ASIC Key Questions for an Organisation’s Board of Directors and Cyber Resilience Good Practice Guidance,ASIC Key Questions for an Organisation’s Board of Directors and Cyber Resilience Good Practice Guidance,ASIC Key Questions for an Organisation’s Board of Directors and Cyber Resilience Good Practice Guidance,ASIC Key Questions for an Organisation’s Board of Directors and Cyber Resilience Good Practice Guidance,ASIC Key Questions for an Organisation’s Board of Directors and Cyber Resilience Good Practice Guidance,Mapping Relationship,Mapping Relationship,Mapping Relationship,Mapping Relationship,CRI Profile ver. 2.1,CRI Profile ver. 2.1,CRI Profile ver. 2.1
SourceId,ASIC Guidance Section,Key Question / Good Practice,Area,Key Question / Good Practice Statement,Rationale,Relationship,ACS,FCS,CRI Profile ver. 2.1 Diagnostic Statement,Profile Subcategory,Profile Id
ASIC-KQ01,Key questions for an organisation’s board of directors / Risk management framework,Key Questions #1: Risk management framework,,"The board should ensure that cyber risk is an element of the broader risk framework and that exposures are recognised, assessed for impacts based on clearly defined metrics such as response time, cost and legal or compliance implications, and planned for to attract investment commensurate to a risk-based assessment.",Semantic,Superset of,9,10,"GV.RR-01.02: The governing authority (e.g., the Board or one of its committees) regularly reviews, oversees, and holds senior management accountable for implementing the organization’s third-party risk management strategy and program and for managing the organization's ongoing risks associated with the aggregate and specific use of third parties.","GOVERN / Roles, Responsibilities, and Authorities / Organizational Leadership Responsibility",GV.RR-01.02
ASIC-KQ01,Key questions for an organisation’s board of directors / Risk management framework,Key Questions #1: Risk management framework,,"The board should ensure that cyber risk is an element of the broader risk framework and that exposures are recognised, assessed for impacts based on clearly defined metrics such as response time, cost and legal or compliance implications, and planned for to attract investment commensurate to a risk-based assessment.",Semantic,Superset of,9,10,"GV.RR-01.03: The governing authority (e.g., the Board or one of its committees) regularly reviews, oversees, and holds senior management accountable for implementing the organization’s resilience strategy and program and for managing the organization's ongoing resilience risks.","GOVERN / Roles, Responsibilities, and Authorities / Organizational Leadership Responsibility",GV.RR-01.03
ASIC-KQ01,Key questions for an organisation’s board of directors / Risk management framework,Key Questions #1: Risk management framework,,"The board should ensure that cyber risk is an element of the broader risk framework and that exposures are recognised, assessed for impacts based on clearly defined metrics such as response time, cost and legal or compliance implications, and planned for to attract investment commensurate to a risk-based assessment.",Semantic,Superset of,9,10,"GV.RR-02.01: The roles, responsibilities, qualifications, and skill requirements for personnel (employees and third parties) that implement, manage, and oversee the technology, cybersecurity, and resilience programs are defined, aligned, coordinated, and holistically managed.","GOVERN / Roles, Responsibilities, and Authorities / Risk Management Roles & Responsibilities",GV.RR-02.01
ASIC-KQ01,Key questions for an organisation’s board of directors / Risk management framework,Key Questions #1: Risk management framework,,"The board should ensure that cyber risk is an element of the broader risk framework and that exposures are recognised, assessed for impacts based on clearly defined metrics such as response time, cost and legal or compliance implications, and planned for to attract investment commensurate to a risk-based assessment.",Semantic,Superset of,9,10,"GV.RR-03.01: The organization's budgeting and resourcing processes identify, prioritize, and address resource needs to manage identified technology and cybersecurity risks (e.g., skill shortages, headcount, new tools, incident-related expenses, and unsupported systems).","GOVERN / Roles, Responsibilities, and Authorities / Resource Adequacy",GV.RR-03.01
ASIC-KQ01,Key questions for an organisation’s board of directors / Risk management framework,Key Questions #1: Risk management framework,,"The board should ensure that cyber risk is an element of the broader risk framework and that exposures are recognised, assessed for impacts based on clearly defined metrics such as response time, cost and legal or compliance implications, and planned for to attract investment commensurate to a risk-based assessment.",Semantic,Superset of,9,10,GV.RR-03.02: The organization regularly assesses its skill and resource level requirements against its current personnel complement to determine gaps in resource need.,"GOVERN / Roles, Responsibilities, and Authorities / Resource Adequacy",GV.RR-03.02
ASIC-KQ01,Key questions for an organisation’s board of directors / Risk management framework,Key Questions #1: Risk management framework,,"The board should ensure that cyber risk is an element of the broader risk framework and that exposures are recognised, assessed for impacts based on clearly defined metrics such as response time, cost and legal or compliance implications, and planned for to attract investment commensurate to a risk-based assessment.",Semantic,Superset of,9,10,"GV.OV-01.01: The governing authority (e.g., the Board or one of its committees) regularly reviews and evaluates the organization's ability to manage its technology, cybersecurity, third-party, and resilience risks.",GOVERN / Oversight / Risk Management Strategy Outcomes Review,GV.OV-01.01
ASIC-KQ01,Key questions for an organisation’s board of directors / Risk management framework,Key Questions #1: Risk management framework,,"The board should ensure that cyber risk is an element of the broader risk framework and that exposures are recognised, assessed for impacts based on clearly defined metrics such as response time, cost and legal or compliance implications, and planned for to attract investment commensurate to a risk-based assessment.",Semantic,Superset of,9,10,"GV.OV-01.02: The designated Cybersecurity Officer (e.g., CISO) periodically reports to the appropriate governing authority (e.g., the Board or one of its committees) or equivalent governing body on the status of cybersecurity within the organization.",GOVERN / Oversight / Risk Management Strategy Outcomes Review,GV.OV-01.02
ASIC-KQ01,Key questions for an organisation’s board of directors / Risk management framework,Key Questions #1: Risk management framework,,"The board should ensure that cyber risk is an element of the broader risk framework and that exposures are recognised, assessed for impacts based on clearly defined metrics such as response time, cost and legal or compliance implications, and planned for to attract investment commensurate to a risk-based assessment.",Semantic,Superset of,9,10,"GV.OV-01.03: The designated Technology Officer (e.g., CIO or CTO) regularly reports to the governing authority (e.g., the Board or one of its committees) on the status of technology use and risks within the organization.",GOVERN / Oversight / Risk Management Strategy Outcomes Review,GV.OV-01.03
ASIC-KQ01,Key questions for an organisation’s board of directors / Risk management framework,Key Questions #1: Risk management framework,,"The board should ensure that cyber risk is an element of the broader risk framework and that exposures are recognised, assessed for impacts based on clearly defined metrics such as response time, cost and legal or compliance implications, and planned for to attract investment commensurate to a risk-based assessment.",Semantic,Superset of,7,10,GV.IR-01.01: The organization's enterprise-wide technology and cybersecurity risk management frameworks align with and support an independent risk management function that provides assurance that the frameworks are implemented consistently and as intended.,GOVERN / Independent Risk Management Function / Independent Risk Management Function,GV.IR-01.01
ASIC-KQ01,Key questions for an organisation’s board of directors / Risk management framework,Key Questions #1: Risk management framework,,"The board should ensure that cyber risk is an element of the broader risk framework and that exposures are recognised, assessed for impacts based on clearly defined metrics such as response time, cost and legal or compliance implications, and planned for to attract investment commensurate to a risk-based assessment.",Semantic,Superset of,9,10,"GV.IR-02.02: The independent risk management function regularly assesses the organization's controls and cybersecurity risk exposure, identifies opportunities for improvement based on assessment results, and recommends program improvements",GOVERN / Independent Risk Management Function / Independent Risk Management Evaluation,GV.IR-02.02
ASIC-KQ01,Key questions for an organisation’s board of directors / Risk management framework,Key Questions #1: Risk management framework,,"The board should ensure that cyber risk is an element of the broader risk framework and that exposures are recognised, assessed for impacts based on clearly defined metrics such as response time, cost and legal or compliance implications, and planned for to attract investment commensurate to a risk-based assessment.",Semantic,Superset of,8,10,ID.RA-04.01: The organization's risk assessment approach includes the analysis and characterization of the likelihood and potential business impact of identified risks being realized.,IDENTIFY / Risk Assessment / Impact & Likelihood Analysis,ID.RA-04.01
ASIC-KQ01,Key questions for an organisation’s board of directors / Risk management framework,Key Questions #1: Risk management framework,,"The board should ensure that cyber risk is an element of the broader risk framework and that exposures are recognised, assessed for impacts based on clearly defined metrics such as response time, cost and legal or compliance implications, and planned for to attract investment commensurate to a risk-based assessment.",Semantic,Superset of,7,10,"ID.RA-06.02: The implementation of responses to address identified risks (i.e., risk avoidance, risk mitigation, risk acceptance, or risk transfer (e.g., cyber insurance)) are formulated, assessed, documented, and prioritized based on criticality to the business.",IDENTIFY / Risk Assessment / Risk Response Determination,ID.RA-06.02
ASIC-KQ02,Key questions for an organisation’s board of directors / Risk management framework,Key Questions #2: Risk Management framework,,"Given the rate of change in the cyber risk landscape, and the speed at which a business can be severely compromised (potentially within hours or days); the board should consider whether periodic reviews (that are more frequent than for other risks forming part of the risk management framework) should be adopted.",Semantic,Equal,10,10,"GV.RM-06.01: Technology and cybersecurity risk management and risk assessment processes and methodologies are documented and regularly reviewed and updated to address changes in the risk profile and risk appetite, the evolving threat environment, and new technologies, products, services, and interdependencies.",GOVERN / Risk Management Strategy / Standardized Risk Management Method,GV.RM-06.01
