,,Hong Kong Securities and Futures Commission Guidelines for Reducing and Mitigating Hacking Risks Associated with Internet Trading to CRI Profile ver. 2.1 Mapping,Hong Kong Securities and Futures Commission Guidelines for Reducing and Mitigating Hacking Risks Associated with Internet Trading to CRI Profile ver. 2.1 Mapping,Hong Kong Securities and Futures Commission Guidelines for Reducing and Mitigating Hacking Risks Associated with Internet Trading to CRI Profile ver. 2.1 Mapping,Hong Kong Securities and Futures Commission Guidelines for Reducing and Mitigating Hacking Risks Associated with Internet Trading to CRI Profile ver. 2.1 Mapping,Hong Kong Securities and Futures Commission Guidelines for Reducing and Mitigating Hacking Risks Associated with Internet Trading to CRI Profile ver. 2.1 Mapping,,,
HK-SFC-1.02,1. Protection of clients’ internet trading accounts,1.2 Implement monitoring and surveillance mechanisms,A licensed or registered person should implement an effective monitoring and surveillance mechanism to detect unauthorised access to clients’ internet trading accounts.,Functional,intersects,8,"DE.AE-03.01: The organization implements systematic and real-time logging, collection, monitoring, detection, and alerting measures across multiple layers of the organization's infrastructure, including physical perimeters, network, operating systems, applications, data, and external (cloud and outsourced) environments, sufficient to protect the organization's information assets.",DETECT / Adverse Event Analysis / Event Information Correlation,DE.AE-03.01
HK-SFC-1.02,1. Protection of clients’ internet trading accounts,1.2 Implement monitoring and surveillance mechanisms,A licensed or registered person should implement an effective monitoring and surveillance mechanism to detect unauthorised access to clients’ internet trading accounts.,Functional,intersects,8,"DE.AE-03.02: The organization performs real-time central analysis, aggregation, and correlation of anomalous activities, network and system alerts, and relevant event and cyber threat intelligence, including both internal and external (cloud and outsourced) environments, to better detect and prevent multifaceted cyber attacks.",DETECT / Adverse Event Analysis / Event Information Correlation,DE.AE-03.02
HK-SFC-1.03,1. Protection of clients’ internet trading accounts,1.3 Prompt notification to clients,"A licensed or registered person should notify clients (eg, via email, short message service (SMS) or other push notifications) promptly after certain client activities have taken place in their internet trading accounts. These activities should at least include:

(a) System login;
(b) Password reset;
(c) Trade execution;
(d) Fund transfer to third party accounts unless these have been registered with the licensed or registered person for fund transfer purposes prior to the transfer; and
(e) Changes to client and account-related information.

The channel of notification to clients should be different from the one used for system login (as outlined in paragraph 1.1).

Clients may choose to opt out from “trade execution” notifications only. Under such circumstances, adequate risk disclosures should be provided by the licensed or registered person to the client and an acknowledgement should be executed by the client confirming that the client understands the risks involved in doing so.",Functional,intersects,7,"PR.AA-03.01: Based on the risk level of a user access or a specific transaction, the organization defines and implements authentication requirements, which may include multi-factor or out-of-band authentication, and may adopt other real-time risk prevention or mitigation tactics.","PROTECT / Identity Management, Authentication, and Access Control / Authentication",PR.AA-03.01
HK-SFC-1.04,1. Protection of clients’ internet trading accounts,1.4 Data encryption,"A licensed or registered person should use a strong encryption algorithm to:

(a) encrypt sensitive information such as client login credentials (ie, user ID and password) and trade data during transmission between internal networks and client devices; and
(b) protect client login passwords stored in its internet trading system.",Functional,intersects,8,"PR.AA-01.01: Identities and credentials are actively managed or automated for authorized devices and users (e.g., removal of default and factory passwords, password strength requirements, automatic revocation of credentials under defined conditions, regular asset owner access review, etc.).","PROTECT / Identity Management, Authentication, and Access Control / Identity & Credential Management",PR.AA-01.01
HK-SFC-1.04,1. Protection of clients’ internet trading accounts,1.4 Data encryption,"A licensed or registered person should use a strong encryption algorithm to:

(a) encrypt sensitive information such as client login credentials (ie, user ID and password) and trade data during transmission between internal networks and client devices; and
(b) protect client login passwords stored in its internet trading system.",Functional,intersects,8,"PR.AA-04.01: Access credential and authorization mechanisms for internal systems and across security perimeters (e.g., leveraging directory services, directory synchronization, single sign-on, federated access, credential mapping, etc.) are designed to maintain security, integrity, and authenticity.","PROTECT / Identity Management, Authentication, and Access Control / Identity Assertions",PR.AA-04.01
HK-SFC-1.04,1. Protection of clients’ internet trading accounts,1.4 Data encryption,"A licensed or registered person should use a strong encryption algorithm to:

(a) encrypt sensitive information such as client login credentials (ie, user ID and password) and trade data during transmission between internal networks and client devices; and
(b) protect client login passwords stored in its internet trading system.",Functional,intersects,5,"PR.DS-01.01: Data-at-rest is protected commensurate with the criticality and sensitivity of the information and in alignment with the data classification and protection policy (e.g., through the use of encryption, authentication, access control, segregation, masking, tokenization, and file integrity monitoring).",PROTECT / Data Security / Protection of Data at Rest,PR.DS-01.01
HK-SFC-1.04,1. Protection of clients’ internet trading accounts,1.4 Data encryption,"A licensed or registered person should use a strong encryption algorithm to:

(a) encrypt sensitive information such as client login credentials (ie, user ID and password) and trade data during transmission between internal networks and client devices; and
(b) protect client login passwords stored in its internet trading system.",Functional,intersects,5,"PR.DS-02.01: Data-in-transit is protected commensurate with the criticality and sensitivity of the information and in alignment with the data classification and protection policy (e.g., through the use of encryption, authentication, access control, masking, tokenization, and alternate transit paths).",PROTECT / Data Security / Protection of Data in Transit,PR.DS-02.01
HK-SFC-1.04,1. Protection of clients’ internet trading accounts,1.4 Data encryption,"A licensed or registered person should use a strong encryption algorithm to:

(a) encrypt sensitive information such as client login credentials (ie, user ID and password) and trade data during transmission between internal networks and client devices; and
(b) protect client login passwords stored in its internet trading system.",Functional,intersects,5,"PR.PS-01.05: Acceptable encryption standards, methods, and management practices are established in accordance with defined industry standards.",PROTECT / Platform Security / Configuration Management,PR.PS-01.05
HK-SFC-1.04,1. Protection of clients’ internet trading accounts,1.4 Data encryption,"A licensed or registered person should use a strong encryption algorithm to:

(a) encrypt sensitive information such as client login credentials (ie, user ID and password) and trade data during transmission between internal networks and client devices; and
(b) protect client login passwords stored in its internet trading system.",Functional,intersects,5,PR.PS-01.06: The organization employs defined encryption methods and management practices commensurate with the criticality of the information being protected and the inherent risk of the technical environment where used.,PROTECT / Platform Security / Configuration Management,PR.PS-01.06
HK-SFC-1.05,1. Protection of clients’ internet trading accounts,1.5 Protection of client login passwords,"A licensed or registered person should establish and implement effective policies and procedures to ensure that a client login password is generated and delivered to a client in a secure manner during the account activation and password reset processes. A client login password should be randomly generated by the system and sent to a client through a channel of communication which is free from human intervention and from tampering by staff of the licensed or registered person.

In a situation where a client login password is not randomly generated by the system, the licensed or registered person should implement adequate compensating security controls such as compulsory change of password upon the first login after client account activation.",Functional,intersects,8,"PR.AA-01.01: Identities and credentials are actively managed or automated for authorized devices and users (e.g., removal of default and factory passwords, password strength requirements, automatic revocation of credentials under defined conditions, regular asset owner access review, etc.).","PROTECT / Identity Management, Authentication, and Access Control / Identity & Credential Management",PR.AA-01.01
