,"Hong Kong Monetary Authority (HKMA) Cyber Resilience Assessment Framework (C-RAF) 2.0		
to CRI Profile ver. 2.1 Mapping","Hong Kong Monetary Authority (HKMA) Cyber Resilience Assessment Framework (C-RAF) 2.0		
to CRI Profile ver. 2.1 Mapping","Hong Kong Monetary Authority (HKMA) Cyber Resilience Assessment Framework (C-RAF) 2.0		
to CRI Profile ver. 2.1 Mapping","Hong Kong Monetary Authority (HKMA) Cyber Resilience Assessment Framework (C-RAF) 2.0		
to CRI Profile ver. 2.1 Mapping","Hong Kong Monetary Authority (HKMA) Cyber Resilience Assessment Framework (C-RAF) 2.0		
to CRI Profile ver. 2.1 Mapping","Hong Kong Monetary Authority (HKMA) Cyber Resilience Assessment Framework (C-RAF) 2.0		
to CRI Profile ver. 2.1 Mapping","Hong Kong Monetary Authority (HKMA) Cyber Resilience Assessment Framework (C-RAF) 2.0		
to CRI Profile ver. 2.1 Mapping",,
HKMA Cyber Resilience Assessment Framework (C-RAF) 2.0,HKMA Cyber Resilience Assessment Framework (C-RAF) 2.0,HKMA Cyber Resilience Assessment Framework (C-RAF) 2.0,Mapping Relationship,Mapping Relationship,Mapping Relationship,Mapping Relationship,CRI Profile ver. 2.1,CRI Profile ver. 2.1,CRI Profile ver. 2.1
C-RAF Domain / Component / Subcomponent,Level,C-RAF Statement,Rationale,Relationship,ACS,FCS,CRI Profile Statement,Profile Function / Category / Subcategory,Outline Id
Domain 1 Governance / 1.1 Cyber resilience oversight / 1.1.1 Board and senior management oversight,Intermediate,1.1.1.7: A process is in place to ensure that cyber risks that exceed the AI’s risk appetite are escalated to management or a dedicated committee.,Semantic,Subset of,10,10,"GV.RM-05.01: The organization has a process for monitoring its technology, cybersecurity, and third-party risks, including escalating those risks that exceed risk appetite to management and identifying risks with the potential to impact multiple operating units.",GOVERN / Risk Management Strategy / Lines of Communication,013.028
Domain 1 Governance / 1.1 Cyber resilience oversight / 1.1.1 Board and senior management oversight,Advanced,1.1.1.8: The Board or an appropriate Board Committee has a process to ensure that management takes appropriate actions to address changing cyber risks or any significant cyber issues.,Semantic,Intersects with,8,10,"GV.RM-02.01: The governing authority (e.g., the Board or one of its committees) endorses and regularly reviews technology and cybersecurity risk appetite and is regularly informed about the status of, and material changes to, the organization's inherent risk profile.",GOVERN / Risk Management Strategy / Risk Appetite & Risk Tolerance Statements,010.020
Domain 1 Governance / 1.1 Cyber resilience oversight / 1.1.1 Board and senior management oversight,Advanced,1.1.1.8: The Board or an appropriate Board Committee has a process to ensure that management takes appropriate actions to address changing cyber risks or any significant cyber issues.,Semantic,Intersects with,8,10,"GV.RM-04.01: The governing authority (e.g., the Board or one of its committees) and senior management provide guidance, direction, and credible challenge in the design and implementation of risk management strategies, assessment of identified risks against risk appetite and risk tolerance, and in the selection of risk treatment approaches.",GOVERN / Risk Management Strategy / Risk Response Strategic Direction,012.027
Domain 1 Governance / 1.1 Cyber resilience oversight / 1.1.1 Board and senior management oversight,Advanced,1.1.1.8: The Board or an appropriate Board Committee has a process to ensure that management takes appropriate actions to address changing cyber risks or any significant cyber issues.,Semantic,Intersects with,9,10,"GV.RR-01.01: The governing authority (e.g., the Board or one of its committees) oversees and holds senior management accountable for implementing the organization’s technology and cybersecurity risk management strategies and frameworks.","GOVERN / Roles, Responsibilities, and Authorities / Organizational Leadership Responsibility",019.041
Domain 1 Governance / 1.1 Cyber resilience oversight / 1.1.1 Board and senior management oversight,Advanced,1.1.1.8: The Board or an appropriate Board Committee has a process to ensure that management takes appropriate actions to address changing cyber risks or any significant cyber issues.,Semantic,Intersects with,8,10,"ID.RA-05.03: The organization's business units assess, on an ongoing basis, the technology, cybersecurity, and resilience risks associated with the activities of the business unit.",IDENTIFY / Risk Assessment / Risk Exposure Determination & Prioritization,059.123
Domain 1 Governance / 1.1 Cyber resilience oversight / 1.1.1 Board and senior management oversight,Advanced,1.1.1.9: Management has a formal process to continuously improve cybersecurity oversight.,Semantic,Subset of,10,10,"ID.IM-01.04: Technology and cybersecurity programs include elements designed to assess, manage, and continually improve the quality of program delivery in addressing stakeholder requirements and risk reduction.",IDENTIFY / Improvement / Continuous Improvements Evaluation,064.141
Domain 1 Governance / 1.1 Cyber resilience oversight / 1.1.1 Board and senior management oversight,Advanced,1.1.1.10: Management and the Board or an appropriate Board Committee hold business units accountable for effectively managing all cyber risks associated with their activities.,Semantic,Superset of,9,7,"GV.RR-01.01: The governing authority (e.g., the Board or one of its committees) oversees and holds senior management accountable for implementing the organization’s technology and cybersecurity risk management strategies and frameworks.","GOVERN / Roles, Responsibilities, and Authorities / Organizational Leadership Responsibility",019.041
Domain 1 Governance / 1.1 Cyber resilience oversight / 1.1.1 Board and senior management oversight,Advanced,1.1.1.10: Management and the Board or an appropriate Board Committee hold business units accountable for effectively managing all cyber risks associated with their activities.,Semantic,Intersects with,9,7,"ID.RA-05.03: The organization's business units assess, on an ongoing basis, the technology, cybersecurity, and resilience risks associated with the activities of the business unit.",IDENTIFY / Risk Assessment / Risk Exposure Determination & Prioritization,059.123
Domain 1 Governance / 1.1 Cyber resilience oversight / 1.1.2 Budgeting process,Baseline,"1.1.2.1: Cybersecurity resources, tools and staff are budgeted items, and are reviewed periodically as part of the budgeting process.",Semantic,Subset of,10,10,"GV.RR-03.01: The organization's budgeting and resourcing processes identify, prioritize, and address resource needs to manage identified technology and cybersecurity risks (e.g., skill shortages, headcount, new tools, incident-related expenses, and unsupported systems).","GOVERN / Roles, Responsibilities, and Authorities / Resource Adequacy",021.053
Domain 1 Governance / 1.1 Cyber resilience oversight / 1.1.2 Budgeting process,Baseline,1.1.2.2: A process is in place to formally discuss and estimate potential expenses of cybersecurity measures and loss associated with cyber incidents as part of the budgeting process.,Semantic,Subset of,10,10,"GV.RR-03.01: The organization's budgeting and resourcing processes identify, prioritize, and address resource needs to manage identified technology and cybersecurity risks (e.g., skill shortages, headcount, new tools, incident-related expenses, and unsupported systems).","GOVERN / Roles, Responsibilities, and Authorities / Resource Adequacy",021.053
