,"Hong Kong Monetary Authority (HKMA) Cyber Resilience Assessment Framework (C-RAF) 2.0		
to CRI Profile ver. 2.1 Mapping","Hong Kong Monetary Authority (HKMA) Cyber Resilience Assessment Framework (C-RAF) 2.0		
to CRI Profile ver. 2.1 Mapping","Hong Kong Monetary Authority (HKMA) Cyber Resilience Assessment Framework (C-RAF) 2.0		
to CRI Profile ver. 2.1 Mapping","Hong Kong Monetary Authority (HKMA) Cyber Resilience Assessment Framework (C-RAF) 2.0		
to CRI Profile ver. 2.1 Mapping","Hong Kong Monetary Authority (HKMA) Cyber Resilience Assessment Framework (C-RAF) 2.0		
to CRI Profile ver. 2.1 Mapping","Hong Kong Monetary Authority (HKMA) Cyber Resilience Assessment Framework (C-RAF) 2.0		
to CRI Profile ver. 2.1 Mapping","Hong Kong Monetary Authority (HKMA) Cyber Resilience Assessment Framework (C-RAF) 2.0		
to CRI Profile ver. 2.1 Mapping",,
HKMA Cyber Resilience Assessment Framework (C-RAF) 2.0,HKMA Cyber Resilience Assessment Framework (C-RAF) 2.0,HKMA Cyber Resilience Assessment Framework (C-RAF) 2.0,Mapping Relationship,Mapping Relationship,Mapping Relationship,Mapping Relationship,CRI Profile ver. 2.1,CRI Profile ver. 2.1,CRI Profile ver. 2.1
C-RAF Domain / Component / Subcomponent,Level,C-RAF Statement,Rationale,Relationship,ACS,FCS,CRI Profile Statement,Profile Function / Category / Subcategory,Outline Id
Domain 3 Protection / 3.1 Access Control / 3.1.1 User account management,Baseline,3.1.1.5: User access reviews are performed periodically for all systems and applications based on the risk exposure to the application or system.,Semantic,Subset of,9,10,"PR.AA-01.01: Identities and credentials are actively managed or automated for authorized devices and users (e.g., removal of default and factory passwords, password strength requirements, automatic revocation of credentials under defined conditions, regular asset owner access review, etc.).","PROTECT / Identity Management, Authentication, and Access Control / Identity & Credential Management",070.162
Domain 3 Protection / 3.1 Access Control / 3.1.1 User account management,Baseline,3.1.1.5: User access reviews are performed periodically for all systems and applications based on the risk exposure to the application or system.,Semantic,Subset of,9,10,"PR.AA-05.01: The organization limits access privileges to the minimum necessary and with consideration of separation of duties (e.g., through role-based access control, asset owner access recertifications, etc.).","PROTECT / Identity Management, Authentication, and Access Control / Access Authorizations",074.169
Domain 3 Protection / 3.1 Access Control / 3.1.1 User account management,Baseline,3.1.1.6: All default passwords and unnecessary default accounts are changed before system implementation and thereafter on a regular basis.,Semantic,Intersects with,9,10,"PR.AA-01.01: Identities and credentials are actively managed or automated for authorized devices and users (e.g., removal of default and factory passwords, password strength requirements, automatic revocation of credentials under defined conditions, regular asset owner access review, etc.).","PROTECT / Identity Management, Authentication, and Access Control / Identity & Credential Management",070.162
Domain 3 Protection / 3.1 Access Control / 3.1.1 User account management,Baseline,3.1.1.6: All default passwords and unnecessary default accounts are changed before system implementation and thereafter on a regular basis.,Semantic,Intersects with,8,10,"PR.IR-01.07: The organization defines and implements controls for securely configuring and operating Operational Technologies, Industrial Control Systems, and Internet-of-Things (IoT) devices (e.g., segregated printer networks, resetting of default passwords, etc.)",PROTECT / Technology Infrastructure Resilience / Logical Access Protections,093.230
Domain 3 Protection / 3.1 Access Control / 3.1.1 User account management,Baseline,3.1.1.7: All passwords should be protected with cryptographic functions in storage and in transit.,Semantic,Subset of,9,10,"PR.AA-04.01: Access credential and authorization mechanisms for internal systems and across security perimeters (e.g., leveraging directory services, directory synchronization, single sign-on, federated access, credential mapping, etc.) are designed to maintain security, integrity, and authenticity.","PROTECT / Identity Management, Authentication, and Access Control / Identity Assertions",073.168
Domain 3 Protection / 3.1 Access Control / 3.1.1 User account management,Baseline,3.1.1.7: All passwords should be protected with cryptographic functions in storage and in transit.,Semantic,Subset of,9,10,"PR.DS-01.01: Data-at-rest is protected commensurate with the criticality and sensitivity of the information and in alignment with the data classification and protection policy (e.g., through the use of encryption, authentication, access control, segregation, masking, tokenization, and file integrity monitoring).",PROTECT / Data Security / Protection of Data at Rest,080.187
Domain 3 Protection / 3.1 Access Control / 3.1.1 User account management,Baseline,3.1.1.7: All passwords should be protected with cryptographic functions in storage and in transit.,Semantic,Subset of,9,10,"PR.DS-02.01: Data-in-transit is protected commensurate with the criticality and sensitivity of the information and in alignment with the data classification and protection policy (e.g., through the use of encryption, authentication, access control, masking, tokenization, and alternate transit paths).",PROTECT / Data Security / Protection of Data in Transit,081.190
Domain 3 Protection / 3.1 Access Control / 3.1.1 User account management,Baseline,3.1.1.8: Production and non-production environments are segregated to prevent unauthorised access or changes to information assets.,Semantic,Equal,10,10,PR.IR-01.06: The organization's production and non-production environments and data are segregated and managed to prevent unauthorized access or changes to the information assets.,PROTECT / Technology Infrastructure Resilience / Logical Access Protections,093.229
Domain 3 Protection / 3.1 Access Control / 3.1.1 User account management,Baseline,3.1.1.9: Employee access is granted to systems and confidential data based on job responsibilities and the principles of least privilege.,Semantic,Subset of,9,10,"PR.AA-01.02: Physical and logical access to systems is permitted only for individuals who have a legitimate business requirement, have been authorized, and who are adequately trained and monitored.","PROTECT / Identity Management, Authentication, and Access Control / Identity & Credential Management",070.163
Domain 3 Protection / 3.1 Access Control / 3.1.1 User account management,Baseline,3.1.1.9: Employee access is granted to systems and confidential data based on job responsibilities and the principles of least privilege.,Semantic,Subset of,9,10,"PR.AA-05.01: The organization limits access privileges to the minimum necessary and with consideration of separation of duties (e.g., through role-based access control, asset owner access recertifications, etc.).","PROTECT / Identity Management, Authentication, and Access Control / Access Authorizations",074.169
Domain 3 Protection / 3.1 Access Control / 3.1.1 User account management,Baseline,3.1.1.10: The principle of separation of duties is in place to restrict employee access to systems and confidential data.,Semantic,Equal,10,10,"PR.AA-05.01: The organization limits access privileges to the minimum necessary and with consideration of separation of duties (e.g., through role-based access control, asset owner access recertifications, etc.).","PROTECT / Identity Management, Authentication, and Access Control / Access Authorizations",074.169
Domain 3 Protection / 3.1 Access Control / 3.1.1 User account management,Baseline,"3.1.1.11: When the passwords are generated or changed, workstation access and single sign-on passwords are checked against a list of commonly-used, expected, or compromised values and, if found on the list, are rejected. The scope of this would apply to passwords generation and changes, and applicable to all accounts. The list of passwords should be a combination of those available online and unique to the commonly used terms within the institution (e.g. passwords containing acronym of the AI’s name).",Semantic,Intersects with,8,8,"PR.AA-01.01: Identities and credentials are actively managed or automated for authorized devices and users (e.g., removal of default and factory passwords, password strength requirements, automatic revocation of credentials under defined conditions, regular asset owner access review, etc.).","PROTECT / Identity Management, Authentication, and Access Control / Identity & Credential Management",070.162
Domain 3 Protection / 3.1 Access Control / 3.1.1 User account management,Intermediate,"3.1.1.12: Based on a risk-based approach, changes to user access permissions trigger automated notices (e.g. e-mails; Short Message Service (SMS); system alerts to the monitoring systems) to appropriate personnel.",Semantic,Intersects with,7,9,"PR.AA-01.01: Identities and credentials are actively managed or automated for authorized devices and users (e.g., removal of default and factory passwords, password strength requirements, automatic revocation of credentials under defined conditions, regular asset owner access review, etc.).","PROTECT / Identity Management, Authentication, and Access Control / Identity & Credential Management",070.162
Domain 3 Protection / 3.1 Access Control / 3.1.1 User account management,Intermediate,"3.1.1.12: Based on a risk-based approach, changes to user access permissions trigger automated notices (e.g. e-mails; Short Message Service (SMS); system alerts to the monitoring systems) to appropriate personnel.",Semantic,Intersects with,8,9,"PR.AA-03.01: Based on the risk level of a user access or a specific transaction, the organization defines and implements authentication requirements, which may include multi-factor or out-of-band authentication, and may adopt other real-time risk prevention or mitigation tactics.","PROTECT / Identity Management, Authentication, and Access Control / Authentication",072.165
Domain 3 Protection / 3.1 Access Control / 3.1.1 User account management,Advanced,"3.1.1.13: Based on a risk-based approach, user access controls are in place to prevent unauthorised access to collaborative computing devices and applications (e.g. networked white boards, cameras, microphones, online applications such as instant messaging and document sharing). (* N/A if collaborative computing devices are not used.).",Semantic,Intersects with,9,10,"PR.AA-01.01: Identities and credentials are actively managed or automated for authorized devices and users (e.g., removal of default and factory passwords, password strength requirements, automatic revocation of credentials under defined conditions, regular asset owner access review, etc.).","PROTECT / Identity Management, Authentication, and Access Control / Identity & Credential Management",070.162
Domain 3 Protection / 3.1 Access Control / 3.1.1 User account management,Advanced,"3.1.1.13: Based on a risk-based approach, user access controls are in place to prevent unauthorised access to collaborative computing devices and applications (e.g. networked white boards, cameras, microphones, online applications such as instant messaging and document sharing). (* N/A if collaborative computing devices are not used.).",Semantic,Intersects with,8,10,"PR.AA-01.02: Physical and logical access to systems is permitted only for individuals who have a legitimate business requirement, have been authorized, and who are adequately trained and monitored.","PROTECT / Identity Management, Authentication, and Access Control / Identity & Credential Management",070.163
Domain 3 Protection / 3.1 Access Control / 3.1.1 User account management,Advanced,"3.1.1.13: Based on a risk-based approach, user access controls are in place to prevent unauthorised access to collaborative computing devices and applications (e.g. networked white boards, cameras, microphones, online applications such as instant messaging and document sharing). (* N/A if collaborative computing devices are not used.).",Semantic,Intersects with,8,10,"PR.AA-03.01: Based on the risk level of a user access or a specific transaction, the organization defines and implements authentication requirements, which may include multi-factor or out-of-band authentication, and may adopt other real-time risk prevention or mitigation tactics.","PROTECT / Identity Management, Authentication, and Access Control / Authentication",072.165
Domain 3 Protection / 3.1 Access Control / 3.1.1 User account management,Advanced,"3.1.1.13: Based on a risk-based approach, user access controls are in place to prevent unauthorised access to collaborative computing devices and applications (e.g. networked white boards, cameras, microphones, online applications such as instant messaging and document sharing). (* N/A if collaborative computing devices are not used.).",Semantic,Intersects with,9,10,"PR.AA-03.02: Decisions to authorize user access to devices and other assets are made with consideration of: 
(1) Business need for the access;
(2) The type of data being accessed (e.g., customer PII, public data);
(3) The risk of the transaction (e.g., internal-to-internal, external-to-internal);
(4) The organization's level of trust for the accessing agent (e.g., external application, internal user); and
(5) The potential for harm.","PROTECT / Identity Management, Authentication, and Access Control / Authentication",072.166
Domain 3 Protection / 3.1 Access Control / 3.1.1 User account management,Advanced,3.1.1.14: Multi-factor authentication has also been implemented on a risk-based approach for local access to non-privileged accounts.,Semantic,Subset of,10,10,"PR.AA-03.01: Based on the risk level of a user access or a specific transaction, the organization defines and implements authentication requirements, which may include multi-factor or out-of-band authentication, and may adopt other real-time risk prevention or mitigation tactics.","PROTECT / Identity Management, Authentication, and Access Control / Authentication",072.165
Domain 3 Protection / 3.1 Access Control / 3.1.2 Privileged user account management,Baseline,3.1.2.1: Multi-factor authentication has been implemented for privileged accounts with local and / or network access.,Semantic,Subset of,9,10,"PR.AA-03.01: Based on the risk level of a user access or a specific transaction, the organization defines and implements authentication requirements, which may include multi-factor or out-of-band authentication, and may adopt other real-time risk prevention or mitigation tactics.","PROTECT / Identity Management, Authentication, and Access Control / Authentication",072.165
Domain 3 Protection / 3.1 Access Control / 3.1.2 Privileged user account management,Baseline,3.1.2.1: Multi-factor authentication has been implemented for privileged accounts with local and / or network access.,Semantic,Subset of,9,10,"PR.AA-05.02: The organization institutes controls over privileged system access by strictly limiting and closely managing staff and services with elevated system entitlements (e.g., multi-factor authentication, dual accounts, privilege and time constraints, etc.)","PROTECT / Identity Management, Authentication, and Access Control / Access Authorizations",074.170
Domain 3 Protection / 3.1 Access Control / 3.1.2 Privileged user account management,Baseline,3.1.2.1: Multi-factor authentication has been implemented for privileged accounts with local and / or network access.,Semantic,Subset of,9,10,"PR.IR-01.05: Remote access is carefully controlled (e.g., restricted to defined systems, access is actively managed (e.g., session timeouts, logging, forced disconnect, etc.), and encrypted connections with multi-factor authentication are used).",PROTECT / Technology Infrastructure Resilience / Logical Access Protections,093.228
Domain 3 Protection / 3.1 Access Control / 3.1.2 Privileged user account management,Intermediate,3.1.2.2: Mechanism should be in place to audit and review the execution of privileged functions.,Semantic,Equal,10,10,"DE.CM-03.03: The organization logs and reviews the activities of privileged users and accounts, and monitoring for anomalous behaviors is implemented.",DETECT / Continuous Monitoring / Personnel Activity Monitoring,101.245
Domain 3 Protection / 3.1 Access Control / 3.1.2 Privileged user account management,Intermediate,"3.1.2.3: The information system enforces the principle of least privilege to prevent non-privileged users from executing privileged commands to disable, circumvent, or alter implemented security safeguards or countermeasures.",Semantic,Intersects with,8,10,"PR.AA-05.01: The organization limits access privileges to the minimum necessary and with consideration of separation of duties (e.g., through role-based access control, asset owner access recertifications, etc.).","PROTECT / Identity Management, Authentication, and Access Control / Access Authorizations",074.169
Domain 3 Protection / 3.1 Access Control / 3.1.2 Privileged user account management,Intermediate,"3.1.2.3: The information system enforces the principle of least privilege to prevent non-privileged users from executing privileged commands to disable, circumvent, or alter implemented security safeguards or countermeasures.",Semantic,Intersects with,8,10,"PR.AA-05.02: The organization institutes controls over privileged system access by strictly limiting and closely managing staff and services with elevated system entitlements (e.g., multi-factor authentication, dual accounts, privilege and time constraints, etc.)","PROTECT / Identity Management, Authentication, and Access Control / Access Authorizations",074.170
Domain 3 Protection / 3.1 Access Control / 3.1.2 Privileged user account management,Intermediate,"3.1.2.3: The information system enforces the principle of least privilege to prevent non-privileged users from executing privileged commands to disable, circumvent, or alter implemented security safeguards or countermeasures.",Semantic,Superset of,9,10,PR.PS-01.02: The organization's systems are configured to provide only essential capabilities to implement the principle of least functionality.,PROTECT / Platform Security / Configuration Management,085.194
Domain 3 Protection / 3.1 Access Control / 3.1.2 Privileged user account management,Advanced,"3.1.2.4: Based on a risk-based approach, user access controls are in place to prevent unauthorised access to collaborative computing devices and applications (e.g. networked whiteboards, cameras, microphones, online applications such as instant messaging and document sharing). (* N/A if collaborative computing devices are not used.)",Semantic,Intersects with,8,10,"PR.AA-01.02: Physical and logical access to systems is permitted only for individuals who have a legitimate business requirement, have been authorized, and who are adequately trained and monitored.","PROTECT / Identity Management, Authentication, and Access Control / Identity & Credential Management",070.163
Domain 3 Protection / 3.1 Access Control / 3.1.2 Privileged user account management,Advanced,"3.1.2.4: Based on a risk-based approach, user access controls are in place to prevent unauthorised access to collaborative computing devices and applications (e.g. networked whiteboards, cameras, microphones, online applications such as instant messaging and document sharing). (* N/A if collaborative computing devices are not used.)",Semantic,Intersects with,7,10,"PR.AA-03.01: Based on the risk level of a user access or a specific transaction, the organization defines and implements authentication requirements, which may include multi-factor or out-of-band authentication, and may adopt other real-time risk prevention or mitigation tactics.","PROTECT / Identity Management, Authentication, and Access Control / Authentication",072.165
Domain 3 Protection / 3.1 Access Control / 3.1.2 Privileged user account management,Advanced,"3.1.2.4: Based on a risk-based approach, user access controls are in place to prevent unauthorised access to collaborative computing devices and applications (e.g. networked whiteboards, cameras, microphones, online applications such as instant messaging and document sharing). (* N/A if collaborative computing devices are not used.)",Semantic,Intersects with,8,10,"PR.AA-03.02: Decisions to authorize user access to devices and other assets are made with consideration of: 
(1) Business need for the access;
(2) The type of data being accessed (e.g., customer PII, public data);
(3) The risk of the transaction (e.g., internal-to-internal, external-to-internal);
(4) The organization's level of trust for the accessing agent (e.g., external application, internal user); and
(5) The potential for harm.","PROTECT / Identity Management, Authentication, and Access Control / Authentication",072.166
Domain 3 Protection / 3.1 Access Control / 3.1.2 Privileged user account management,Advanced,"3.1.2.4: Based on a risk-based approach, user access controls are in place to prevent unauthorised access to collaborative computing devices and applications (e.g. networked whiteboards, cameras, microphones, online applications such as instant messaging and document sharing). (* N/A if collaborative computing devices are not used.)",Semantic,Intersects with,9,10,"PR.IR-01.07: The organization defines and implements controls for securely configuring and operating Operational Technologies, Industrial Control Systems, and Internet-of-Things (IoT) devices (e.g., segregated printer networks, resetting of default passwords, etc.)",PROTECT / Technology Infrastructure Resilience / Logical Access Protections,093.230
Domain 3 Protection / 3.1 Access Control / 3.1.2 Privileged user account management,Advanced,3.1.2.5: The organisation authorises network access to specific privileged commands only on an exceptional basis and documents the rationale for requiring such access.,Semantic,Subset of,8,8,PR.PS-01.02: The organization's systems are configured to provide only essential capabilities to implement the principle of least functionality.,PROTECT / Platform Security / Configuration Management,085.194
Domain 3 Protection / 3.1 Access Control / 3.1.3 Customer access management,Baseline,"3.1.3.1: Customer access to internet-based products or services requires authentication controls (e.g. layered controls, multifactor authentication) that are commensurate with the risk.",Semantic,Subset of,10,10,"PR.AA-03.01: Based on the risk level of a user access or a specific transaction, the organization defines and implements authentication requirements, which may include multi-factor or out-of-band authentication, and may adopt other real-time risk prevention or mitigation tactics.","PROTECT / Identity Management, Authentication, and Access Control / Authentication",072.165
Domain 3 Protection / 3.1 Access Control / 3.1.3 Customer access management,Baseline,3.1.3.2: Customer service platforms (e.g. call centres) utilise formal procedures to authenticate customers commensurate with the risk of the transaction or request.,Semantic,Subset of,10,10,"PR.AA-03.01: Based on the risk level of a user access or a specific transaction, the organization defines and implements authentication requirements, which may include multi-factor or out-of-band authentication, and may adopt other real-time risk prevention or mitigation tactics.","PROTECT / Identity Management, Authentication, and Access Control / Authentication",072.165
Domain 3 Protection / 3.1 Access Control / 3.1.3 Customer access management,Intermediate,3.1.3.3: Tokenisation is considered and applied where suitable to substitute unique values for confidential information (e.g. virtual credit card).,Semantic,Subset of,9,10,"PR.DS-01.01: Data-at-rest is protected commensurate with the criticality and sensitivity of the information and in alignment with the data classification and protection policy (e.g., through the use of encryption, authentication, access control, segregation, masking, tokenization, and file integrity monitoring).",PROTECT / Data Security / Protection of Data at Rest,080.187
Domain 3 Protection / 3.1 Access Control / 3.1.3 Customer access management,Intermediate,3.1.3.3: Tokenisation is considered and applied where suitable to substitute unique values for confidential information (e.g. virtual credit card).,Semantic,Subset of,9,10,"PR.DS-02.01: Data-in-transit is protected commensurate with the criticality and sensitivity of the information and in alignment with the data classification and protection policy (e.g., through the use of encryption, authentication, access control, masking, tokenization, and alternate transit paths).",PROTECT / Data Security / Protection of Data in Transit,081.190
Domain 3 Protection / 3.1 Access Control / 3.1.3 Customer access management,Advanced,3.1.3.4: Controls are in place to prevent malware and man-in-the-middle attacks for customer authentication in high-risk transactions.,Semantic,Subset of,9,10,"PR.AA-03.01: Based on the risk level of a user access or a specific transaction, the organization defines and implements authentication requirements, which may include multi-factor or out-of-band authentication, and may adopt other real-time risk prevention or mitigation tactics.","PROTECT / Identity Management, Authentication, and Access Control / Authentication",072.165
Domain 3 Protection / 3.1 Access Control / 3.1.3 Customer access management,Advanced,3.1.3.4: Controls are in place to prevent malware and man-in-the-middle attacks for customer authentication in high-risk transactions.,Semantic,Subset of,9,10,"PR.DS-02.01: Data-in-transit is protected commensurate with the criticality and sensitivity of the information and in alignment with the data classification and protection policy (e.g., through the use of encryption, authentication, access control, masking, tokenization, and alternate transit paths).",PROTECT / Data Security / Protection of Data in Transit,081.190
Domain 3 Protection / 3.1 Access Control / 3.1.4 Physical access management,Baseline,3.1.4.1: Physical security controls are used to prevent unauthorised access to IT hardware and telecommunication systems.,Semantic,Subset of,9,10,"PR.AA-01.02: Physical and logical access to systems is permitted only for individuals who have a legitimate business requirement, have been authorized, and who are adequately trained and monitored.","PROTECT / Identity Management, Authentication, and Access Control / Identity & Credential Management",070.163
Domain 3 Protection / 3.1 Access Control / 3.1.4 Physical access management,Baseline,3.1.4.1: Physical security controls are used to prevent unauthorised access to IT hardware and telecommunication systems.,Semantic,Subset of,9,10,"PR.AA-06.01: The organization manages, protects, and logs physical access to sensitive areas, devices, consoles, equipment, and network cabling and infrastructure.","PROTECT / Identity Management, Authentication, and Access Control / Physical Access",075.173
Domain 3 Protection / 3.1 Access Control / 3.1.4 Physical access management,Baseline,3.1.4.1: Physical security controls are used to prevent unauthorised access to IT hardware and telecommunication systems.,Semantic,Subset of,9,10,"PR.AA-06.02: The organization manages and protects physical and visual access to sensitive information assets and physical records (e.g., session lockout, clean desk policies, printer/facsimile output trays, file cabinet/room security, document labelling, etc.)","PROTECT / Identity Management, Authentication, and Access Control / Physical Access",075.174
Domain 3 Protection / 3.1 Access Control / 3.1.4 Physical access management,Baseline,3.1.4.2: Physical access to high-risk or confidential systems is restricted and logged.,Semantic,Subset of,9,10,"PR.AA-01.02: Physical and logical access to systems is permitted only for individuals who have a legitimate business requirement, have been authorized, and who are adequately trained and monitored.","PROTECT / Identity Management, Authentication, and Access Control / Identity & Credential Management",070.163
Domain 3 Protection / 3.1 Access Control / 3.1.4 Physical access management,Baseline,3.1.4.2: Physical access to high-risk or confidential systems is restricted and logged.,Semantic,Subset of,9,10,"PR.AA-06.01: The organization manages, protects, and logs physical access to sensitive areas, devices, consoles, equipment, and network cabling and infrastructure.","PROTECT / Identity Management, Authentication, and Access Control / Physical Access",075.173
Domain 3 Protection / 3.1 Access Control / 3.1.4 Physical access management,Baseline,3.1.4.2: Physical access to high-risk or confidential systems is restricted and logged.,Semantic,Subset of,9,10,"PR.AA-06.02: The organization manages and protects physical and visual access to sensitive information assets and physical records (e.g., session lockout, clean desk policies, printer/facsimile output trays, file cabinet/room security, document labelling, etc.)","PROTECT / Identity Management, Authentication, and Access Control / Physical Access",075.174
Domain 3 Protection / 3.1 Access Control / 3.1.4 Physical access management,Baseline,3.1.4.2: Physical access to high-risk or confidential systems is restricted and logged.,Semantic,Subset of,9,10,"DE.CM-02.01: The organization's controls include monitoring and detection of anomalous activities and potential intrusion events across the organization's physical environment and infrastructure, including the detection of environmental threats (fire, water, service outages, etc.) and unauthorized physical access to high-risk system components and locations.",DETECT / Continuous Monitoring / Physical Environment Monitoring,100.242
Domain 3 Protection / 3.1 Access Control / 3.1.4 Physical access management,Baseline,"3.1.4.3: Physical access logs are reviewed regularly upon the occurrence of defined events, and otherwise on a regular basis.",Semantic,Subset of,9,9,"DE.CM-02.01: The organization's controls include monitoring and detection of anomalous activities and potential intrusion events across the organization's physical environment and infrastructure, including the detection of environmental threats (fire, water, service outages, etc.) and unauthorized physical access to high-risk system components and locations.",DETECT / Continuous Monitoring / Physical Environment Monitoring,100.242
Domain 3 Protection / 3.1 Access Control / 3.1.4 Physical access management,Baseline,3.1.4.4: There is ongoing monitoring of physical access alarms and surveillance equipment.,Semantic,Equal,10,10,"DE.CM-02.01: The organization's controls include monitoring and detection of anomalous activities and potential intrusion events across the organization's physical environment and infrastructure, including the detection of environmental threats (fire, water, service outages, etc.) and unauthorized physical access to high-risk system components and locations.",DETECT / Continuous Monitoring / Physical Environment Monitoring,100.242
Domain 3 Protection / 3.1 Access Control / 3.1.4 Physical access management,Baseline,"3.1.4.5: The results of monitoring, reviews, and investigations are tied with the AI’s incident response capability.",Semantic,Intersects with,9,10,"DE.AE-03.02: The organization performs real-time central analysis, aggregation, and correlation of anomalous activities, network and system alerts, and relevant event and cyber threat intelligence, including both internal and external (cloud and outsourced) environments, to better detect and prevent multifaceted cyber attacks.",DETECT / Adverse Event Analysis / Event Information Correlation,106.254
Domain 3 Protection / 3.1 Access Control / 3.1.4 Physical access management,Baseline,"3.1.4.5: The results of monitoring, reviews, and investigations are tied with the AI’s incident response capability.",Semantic,Intersects with,9,10,"ID.IM-03.02: The organization establishes a systematic and comprehensive
program to regularly evaluate and improve its monitoring and detection
processes and controls as the threat environment changes, tools and
techniques evolve, and lessons are learned.",IDENTIFY / Improvement / Improvements from Lessons Learned,066.153
Domain 3 Protection / 3.1 Access Control / 3.1.4 Physical access management,Baseline,"3.1.4.5: The results of monitoring, reviews, and investigations are tied with the AI’s incident response capability.",Semantic,Intersects with,9,10,"RS.AN-03.01: The organization performs a thorough investigation to determine the nature and scope of an event, possible root causes, and the potential damage inflicted.",RESPOND / Incident Analysis / Incident Analysis & Root Cause Determination,119.265
Domain 3 Protection / 3.1 Access Control / 3.1.4 Physical access management,Baseline,"3.1.4.5: The results of monitoring, reviews, and investigations are tied with the AI’s incident response capability.",Semantic,Intersects with,9,10,"RS.MA-02.01: Tools and processes are in place to ensure timely detection, inspection, assessment, and analysis of security event data for reliable activation of incident response processes.",RESPOND / Incident Management / Incident Triage & Validation,114.261
Domain 3 Protection / 3.1 Access Control / 3.1.5 Remote access management,Baseline,"3.1.5.1: Remote access by employees, contractors, and third parties uses encrypted connections and multifactor authentication.",Semantic,Subset of,10,10,"PR.IR-01.05: Remote access is carefully controlled (e.g., restricted to defined systems, access is actively managed (e.g., session timeouts, logging, forced disconnect, etc.), and encrypted connections with multi-factor authentication are used).",PROTECT / Technology Infrastructure Resilience / Logical Access Protections,093.228
Domain 3 Protection / 3.1 Access Control / 3.1.5 Remote access management,Baseline,3.1.5.2: Multi-factor authentication has also been implemented for non-privileged accounts with network access.,Semantic,Intersects with,9,9,"PR.AA-03.01: Based on the risk level of a user access or a specific transaction, the organization defines and implements authentication requirements, which may include multi-factor or out-of-band authentication, and may adopt other real-time risk prevention or mitigation tactics.","PROTECT / Identity Management, Authentication, and Access Control / Authentication",072.165
Domain 3 Protection / 3.1 Access Control / 3.1.5 Remote access management,Baseline,3.1.5.2: Multi-factor authentication has also been implemented for non-privileged accounts with network access.,Semantic,Intersects with,9,9,"PR.IR-01.05: Remote access is carefully controlled (e.g., restricted to defined systems, access is actively managed (e.g., session timeouts, logging, forced disconnect, etc.), and encrypted connections with multi-factor authentication are used).",PROTECT / Technology Infrastructure Resilience / Logical Access Protections,093.228
Domain 3 Protection / 3.1 Access Control / 3.1.5 Remote access management,Intermediate,3.1.5.3: The information system implements cryptographic mechanisms to protect the confidentiality and integrity of remote access sessions.,Semantic,Subset of,9,10,"PR.IR-01.05: Remote access is carefully controlled (e.g., restricted to defined systems, access is actively managed (e.g., session timeouts, logging, forced disconnect, etc.), and encrypted connections with multi-factor authentication are used).",PROTECT / Technology Infrastructure Resilience / Logical Access Protections,093.228
Domain 3 Protection / 3.1 Access Control / 3.1.5 Remote access management,Intermediate,3.1.5.4: The information system routes all remote access through centralised managed network access control points to facilitate monitoring and control of remote access sessions and the auditing of user activities.,Semantic,Subset of,9,9,"PR.IR-01.05: Remote access is carefully controlled (e.g., restricted to defined systems, access is actively managed (e.g., session timeouts, logging, forced disconnect, etc.), and encrypted connections with multi-factor authentication are used).",PROTECT / Technology Infrastructure Resilience / Logical Access Protections,093.228
Domain 3 Protection / 3.1 Access Control / 3.1.5 Remote access management,Advanced,3.1.5.5: The execution of privileged commands and access to security-relevant information via remote access are authorised only on an as-needed basis.,Semantic,Intersects with,9,7,"PR.AA-05.02: The organization institutes controls over privileged system access by strictly limiting and closely managing staff and services with elevated system entitlements (e.g., multi-factor authentication, dual accounts, privilege and time constraints, etc.)","PROTECT / Identity Management, Authentication, and Access Control / Access Authorizations",074.170
Domain 3 Protection / 3.1 Access Control / 3.1.5 Remote access management,Advanced,3.1.5.5: The execution of privileged commands and access to security-relevant information via remote access are authorised only on an as-needed basis.,Semantic,Intersects with,8,7,PR.PS-01.02: The organization's systems are configured to provide only essential capabilities to implement the principle of least functionality.,PROTECT / Platform Security / Configuration Management,085.194
Domain 3 Protection / 3.1 Access Control / 3.1.5 Remote access management,Advanced,3.1.5.6: The rationale for such access is documented and regularly reviewed.,Semantic,Intersects with,8,10,"PR.AA-03.02: Decisions to authorize user access to devices and other assets are made with consideration of: 
(1) Business need for the access;
(2) The type of data being accessed (e.g., customer PII, public data);
(3) The risk of the transaction (e.g., internal-to-internal, external-to-internal);
(4) The organization's level of trust for the accessing agent (e.g., external application, internal user); and
(5) The potential for harm.","PROTECT / Identity Management, Authentication, and Access Control / Authentication",072.166
Domain 3 Protection / 3.1 Access Control / 3.1.5 Remote access management,Advanced,3.1.5.6: The rationale for such access is documented and regularly reviewed.,Semantic,Intersects with,9,10,"PR.AA-05.02: The organization institutes controls over privileged system access by strictly limiting and closely managing staff and services with elevated system entitlements (e.g., multi-factor authentication, dual accounts, privilege and time constraints, etc.)","PROTECT / Identity Management, Authentication, and Access Control / Access Authorizations",074.170
