CRI Profile ver. 2.1 Structure View,CRI Profile ver. 2.1 Structure View,CRI Profile ver. 2.1 Structure View,CRI Profile ver. 2.1 Structure View,CRI Profile ver. 2.1 Structure View,CRI Profile ver. 2.1 Structure View,CRI Profile ver. 2.1 Structure View,CRI Profile ver. 2.1 Structure View,CRI Profile ver. 2.1 Structure View,,
006.009,DS,GV.OC-04.03,GOVERN / Organizational Context / Stakeholder Service Expectations,"GV.OC-04.03: Resilience requirements to support the delivery of critical services are established for all operating states (e.g., under duress/attack, during recovery, and normal operations).",Yes,No,No,No,"GV.OC-04
","DORA Level 1 (3), EBA (4), ECB CROE (4), FFIEC AIO (1), FFIEC BCM (2), FFIEC CAT (1), HKMA C-RAF (2), NYDFS Part 500 (3), OCC CSWP (3), OSFI B-13 (1)"
006.010,DS,GV.OC-04.04,GOVERN / Organizational Context / Stakeholder Service Expectations,"GV.OC-04.04: The organization prioritizes the resilience design, planning, testing, and monitoring of systems and other key internal and external dependencies according to their criticality to the supported business functions, enterprise mission, and to the financial services sector.",Yes,Yes,No,No,"GV.OC-04
","APRA CPG 234 (7), APRA CPS 234 (1), ASIC (1), DORA Level 1 (10), EBA (5), ECB CROE (7), FFIEC AIO (2), FFIEC BCM (12), FFIEC CAT (5), HK SFC (1), HKMA C-RAF (3), JFSA (3), NYDFS Part 500 (2), OCC CSWP (1), OSFI B-13 (1)"
007,S,GV.OC-05,GOVERN / Organizational Context / Organizational Service Dependencies,"GV.OC-05: Outcomes, capabilities, and services that the organization depends on are understood and communicated",,,,,"GV.OC-05
",
007.011,DS,GV.OC-05.01,GOVERN / Organizational Context / Organizational Service Dependencies,"GV.OC-05.01: The organization identifies, assesses, and documents the key dependencies, interdependencies, and potential points of failure to support the delivery of critical services (e.g., systems, business processes, workforce, third parties, facilities, etc.)",Yes,Yes,Yes,Yes,"GV.OC-05
","APRA CPG 234 (3), ASIC (1), DORA Level 1 (6), EBA (4), ECB CROE (8), FFIEC BCM (6), FFIEC CAT (3), HKMA C-RAF (2), JFSA (3), MAS (3), OCC CSWP (1), OSFI B-13 (1)"
007.012,DS,GV.OC-05.02,GOVERN / Organizational Context / Organizational Service Dependencies,"GV.OC-05.02: The organization has prioritized its external dependencies according to their criticality to the supported enterprise mission, business functions, and to the financial services sector.",Yes,Yes,Yes,No,"GV.OC-05
","APRA CPG 234 (1), ASIC (1), DORA Level 1 (6), EBA (4), ECB CROE (7), FFIEC BCM (3), FFIEC CAT (1), HKMA C-RAF (1), JFSA (1), OCC CSWP (1), OSFI B-13 (1)"
007.013,DS,GV.OC-05.03,GOVERN / Organizational Context / Organizational Service Dependencies,"GV.OC-05.03: The organization defines objectives (e.g., Recovery Time Objective, Maximum Tolerable Downtime, Impact Tolerance) for the resumption of critical operations in alignment with business imperatives, stakeholder obligations, and critical infrastructure dependencies.",Yes,Yes,Yes,Yes,"GV.OC-05
","DORA Level 1 (2), EBA (4), ECB CROE (2), FFIEC AIO (1), FFIEC BCM (3), FFIEC CAT (2), HKMA C-RAF (6), JFSA (2), MAS (1), NYDFS Part 500 (5), OSFI B-13 (1)"
007.014,DS,GV.OC-05.04,GOVERN / Organizational Context / Organizational Service Dependencies,"GV.OC-05.04: Recovery point objectives to support data integrity are consistent with the organization's recovery time objectives, information flow dependencies between systems, and business obligations.",Yes,Yes,Yes,No,"GV.OC-05
","DORA Level 1 (1), EBA (1), ECB CROE (1), FFIEC AIO (2), FFIEC BCM (2), FFIEC CAT (2), HKMA C-RAF (1), JFSA (1), MAS (1), NYDFS Part 500 (4), OSFI B-13 (1)"
008,C,GV.RM,GOVERN / Risk Management Strategy,"Risk Management Strategy (GV.RM): The organization’s priorities, constraints, risk tolerance and appetite statements, and assumptions are established, communicated, and used to support operational risk decisions",,,,,"GV.RM
",
009,S,GV.RM-01,GOVERN / Risk Management Strategy / Risk Management Objectives Agreement,GV.RM-01: Risk management objectives are established and agreed to by organizational stakeholders,,,,,"GV.RM-01
",
009.015,DS,GV.RM-01.01,GOVERN / Risk Management Strategy / Risk Management Objectives Agreement,"GV.RM-01.01: Technology and cybersecurity risk management strategies and frameworks are approved by the governing authority (e.g., the Board or one of its committees) and incorporated into the overall business strategy and enterprise risk management framework.",Yes,Yes,Yes,Yes,"GV.RM-01
","APRA CPG 234 (3), APRA CPS 234 (1), ASIC (2), DORA Level 1 (7), EBA (4), ECB CROE (9), FFIEC AIO (3), FFIEC CAT (2), FFIEC DAM (1), HK SFC (1), HKMA C-RAF (5), JFSA (1), MAS (4), NAIC IDSML (2), NYDFS Part 500 (1), OCC CSWP (1), OSFI B-13 (2), OSFI CSSA (3), SEC Aug 2023 (3)"
009.016,DS,GV.RM-01.02,GOVERN / Risk Management Strategy / Risk Management Objectives Agreement,"GV.RM-01.02: Technology and cybersecurity risk management strategies and frameworks are informed by applicable international, national, and financial services industry standards and guidelines.",Yes,Yes,Yes,Yes,"GV.RM-01
","APRA CPG 234 (1), DORA Level 1 (4), EBA (1), ECB CROE (6), FFIEC CAT (3), FFIEC DAM (4), HKMA C-RAF (3), MAS (2), NAIC IDSML (1), NYDFS Part 500 (1), OCC CSWP (2), OSFI B-13 (1), OSFI CSSA (3)"
009.017,DS,GV.RM-01.03,GOVERN / Risk Management Strategy / Risk Management Objectives Agreement,"GV.RM-01.03: The organization has established, and maintains, technology and cybersecurity programs designed to protect the confidentiality, integrity and availability of its information and operational systems, commensurate with the organization's risk appetite and business needs.",Yes,Yes,Yes,Yes,"GV.RM-01
","APRA CPG 234 (2), APRA CPS 234 (1), DORA Level 1 (5), EBA (6), ECB CROE (4), FFIEC BCM (1), FFIEC CAT (1), HKMA C-RAF (2), JFSA (3), MAS (2), NAIC IDSML (3), NYDFS Part 500 (2), OCC CSWP (1), OSFI B-13 (1), OSFI CSSA (1)"
009.018,DS,GV.RM-01.04,GOVERN / Risk Management Strategy / Risk Management Objectives Agreement,"GV.RM-01.04: Technology and cybersecurity risk management programs incorporate risk identification, measurement, monitoring, and reporting.",Yes,Yes,Yes,Yes,"GV.RM-01
","ASIC (1), DORA Level 1 (5), EBA (2), ECB CROE (2), FFIEC CAT (1), HKMA C-RAF (2), MAS (3), NAIC IDSML (1), NYDFS Part 500 (4), OCC CSWP (1), OSFI B-13 (1), OSFI CSSA (3)"
009.019,DS,GV.RM-01.05,GOVERN / Risk Management Strategy / Risk Management Objectives Agreement,"GV.RM-01.05: The organization's technology, cybersecurity, resilience, and third-party risk management programs, policies, resources, and priorities are aligned and mutually supporting.",Yes,Yes,Yes,No,"GV.RM-01
","ASIC (1), DORA Level 1 (8), ECB CROE (1), FFIEC AIO (2), FFIEC CAT (1), FFIEC DAM (3), HKMA C-RAF (1), JFSA (1), MAS (1), NAIC IDSML (1), OCC CSWP (1), OSFI B-13 (1)"
010,S,GV.RM-02,GOVERN / Risk Management Strategy / Risk Appetite & Risk Tolerance Statements,"GV.RM-02: Risk appetite and risk tolerance statements are established, communicated, and maintained",,,,,"GV.RM-02
",
010.020,DS,GV.RM-02.01,GOVERN / Risk Management Strategy / Risk Appetite & Risk Tolerance Statements,"GV.RM-02.01: The governing authority (e.g., the Board or one of its committees) endorses and regularly reviews technology and cybersecurity risk appetite and is regularly informed about the status of, and material changes to, the organization's inherent risk profile.",Yes,Yes,Yes,Yes,"GV.RM-02
","APRA CPG 234 (1), APRA CPS 234 (1), ASIC (1), DORA Level 1 (3), EBA (4), ECB CROE (4), FFIEC AIO (1), FFIEC BCM (1), FFIEC CAT (2), HK SFC (1), HKMA C-RAF (2), JFSA (1), MAS (2), NAIC IDSML (2), NYDFS Part 500 (2), OCC CSWP (1), OSFI B-13 (3), OSFI CSSA (2), SEC Aug 2023 (3)"
010.021,DS,GV.RM-02.02,GOVERN / Risk Management Strategy / Risk Appetite & Risk Tolerance Statements,"GV.RM-02.02: The organization has established statements of technology and cybersecurity risk tolerance consistent with its risk appetite, and has integrated them into technology, cybersecurity, operational, and enterprise risk management practices.",Yes,Yes,Yes,No,"GV.RM-02
","DORA Level 1 (1), EBA (2), ECB CROE (2), FFIEC AIO (1), FFIEC CAT (1), HKMA C-RAF (1), MAS (1), OCC CSWP (1), OSFI B-13 (2), OSFI CSSA (1)"
