CRI Profile ver. 2.1 Structure View,CRI Profile ver. 2.1 Structure View,CRI Profile ver. 2.1 Structure View,CRI Profile ver. 2.1 Structure View,CRI Profile ver. 2.1 Structure View,CRI Profile ver. 2.1 Structure View,CRI Profile ver. 2.1 Structure View,CRI Profile ver. 2.1 Structure View,CRI Profile ver. 2.1 Structure View,,
029.074,DS,GV.OV-03.02,GOVERN / Oversight / Risk Management Performance Measurement,"GV.OV-03.02: Resilience program performance is measured and regularly reported to senior executives and the governing authority (e.g., the Board or one of its committees).",Yes,Yes,Yes,Yes,"GV.OV-03
","APRA CPG 234 (1), APRA CPS 234 (1), DORA Level 1 (2), ECB CROE (1), FFIEC AIO (2), FFIEC BCM (10), FFIEC CAT (1), HKMA C-RAF (1), NAIC IDSML (1), NYDFS Part 500 (1), OCC CSWP (1), OSFI B-13 (1), SEC Aug 2023 (3)"
030,C,GV.SC,GOVERN / Cybersecurity Supply Chain Risk Management,"Supply Chain Risk Management (GV.SC): Supply chain risk management processes are identified, established, managed, monitored, and improved by organizational stakeholders",,,,,"GV.SC
(CRI Modified)",
031,S,GV.SC-01,GOVERN / Supply Chain Risk Management / Supply Chain Risk Management Program,"GV.SC-01: A supply chain risk management program, strategy, objectives, policies, and processes are established and agreed to by organizational stakeholders",,,,,"GV.SC-01
(CRI Modified)",
031.075,DS,GV.SC-01.01,GOVERN / Supply Chain Risk Management / Supply Chain Risk Management Program,"GV.SC-01.01: The organization maintains a third-party risk management strategy and program to identify and manage the risks associated with third parties throughout their lifecycles in a timely manner, including in support of sector-critical systems and operations, to ensure alignment within risk appetite.",Yes,Yes,Yes,Yes,"GV.SC-01
","APRA CPG 234 (1), APRA CPS 234 (2), ASIC (1), DORA Level 1 (5), EBA (1), ECB CROE (2), FFIEC BCM (1), FFIEC CAT (1), FFIEC DAM (5), HKMA C-RAF (1), JFSA (4), MAS (1), NAIC IDSML (2), NYDFS Part 500 (2), OCC CSWP (1), OSFI CSSA (1), SEC Aug 2023 (1)"
031.076,DS,GV.SC-01.02,GOVERN / Supply Chain Risk Management / Supply Chain Risk Management Program,"GV.SC-01.02: The organization regularly assesses the risk of its ongoing use of third parties in aggregate, considering factors such as critical service dependencies, vendor concentration, geographical/geopolitical exposure, fourth-party impacts, and financial sector co-dependencies.",Yes,Yes,No,No,"GV.SC-01
","APRA CPS 234 (1), ASIC (3), DORA Level 1 (8), EBA (1), ECB CROE (2), FFIEC AIO (1), FFIEC BCM (4), FFIEC CAT (1), FFIEC DAM (2), HKMA C-RAF (1), JFSA (1), MAS (2), OCC CSWP (1), OSFI CSSA (1)"
032,S,GV.SC-02,GOVERN / Supply Chain Risk Management / Third Party Roles & Responsibilities,"GV.SC-02: Roles and responsibilities for suppliers, customers, and partners are established, communicated, and coordinated internally and externally",,,,,"GV.SC-02
(CRI Modified)",
032.077,DS,GV.SC-02.01,GOVERN / Supply Chain Risk Management / Third Party Roles & Responsibilities,"GV.SC-02.01: The organization clearly defines, and includes in contractual agreements, the division of cybersecurity and technology risk management responsibilities between the organization and its third parties (e.g., a Shared Responsibilities Model).",Yes,Yes,Yes,Yes,"GV.SC-02
","APRA CPG 234 (3), APRA CPS 234 (1), DORA Level 1 (4), FFIEC AIO (5), FFIEC CAT (2), FFIEC DAM (5), HKMA C-RAF (1), JFSA (2), NYDFS Part 500 (2), OSFI CSSA (2)"
033,S,GV.SC-03,GOVERN / Supply Chain Risk Management / Supply Chain Risk Management Integration,"GV.SC-03: Supply chain risk management is integrated into cybersecurity and enterprise risk management, risk assessment, and improvement processes",,,,,"GV.SC-03
(CRI Modified)",
033.078,DS,GV.SC-03.01,GOVERN / Supply Chain Risk Management / Supply Chain Risk Management Integration,"GV.SC-03.01: The organization's third-party risk management strategy and program aligns with and supports its enterprise, technology, cybersecurity, and resilience risk management frameworks and programs.",Yes,Yes,Yes,Yes,"GV.SC-03
","APRA CPG 234 (1), DORA Level 1 (3), FFIEC CAT (1), FFIEC DAM (2), JFSA (1), MAS (1), OCC CSWP (1)"
034,S,GV.SC-04,GOVERN / Supply Chain Risk Management / Supplier Identification & Prioritization,GV.SC-04: Suppliers are known and prioritized by criticality,,,,,"GV.SC-04
",
034.079,DS,GV.SC-04.01,GOVERN / Supply Chain Risk Management / Supplier Identification & Prioritization,"GV.SC-04.01: The organization regularly identifies, inventories, and risk-ranks third-party relationships that are in place, and addresses any identified relationships that were established without formal approval.",Yes,Yes,Yes,Yes,"GV.SC-04
","DORA Level 1 (3), ECB CROE (1), FFIEC BCM (2), FFIEC CAT (3), HKMA C-RAF (1), MAS (2), OSFI CSSA (1)"
035,S,GV.SC-08,GOVERN / Supply Chain Risk Management / Third Party Incident Management Integration,"GV.SC-08: Relevant suppliers and other third parties are included in incident planning, response, and recovery activities",,,,,"GV.SC-08
",
035.080,DS,GV.SC-08.01,GOVERN / Supply Chain Risk Management / Third Party Incident Management Integration,"GV.SC-08.01: The organization's resilience strategy, plans, tests, and exercises incorporate its external dependencies and critical business partners.",Yes,Yes,Yes,Yes,"GV.SC-08
","APRA CPG 234 (2), ASIC (1), DORA Level 1 (2), EBA (3), ECB CROE (9), FFIEC AIO (1), FFIEC BCM (12), FFIEC CAT (3), HK SFC (1), HKMA C-RAF (5), JFSA (5), MAS (2), NAIC IDSML (1), NYDFS Part 500 (3), OCC CSWP (3), OSFI B-13 (4), OSFI CSSA (1)"
036,S,GV.SC-09,GOVERN / Supply Chain Risk Management / Supply Chain Security Practice Integration,"GV.SC-09: Supply chain security practices are integrated into technology, cybersecurity, and enterprise risk management programs, and their performance is monitored throughout the technology product and service life cycle",,,,,"GV.SC-09
(CRI Modified)",
036.081,DS,GV.SC-09.01,GOVERN / Supply Chain Risk Management / Supply Chain Security Practice Integration,"GV.SC-09.01: Consideration is specifically given to the implications of organizational third-party dependence, requirements, contracts, and interactions in the design, operation, monitoring, and improvement of policies, procedures, and controls to ensure the fulfillment of business requirements within risk appetite.",Yes,Yes,Yes,No,"GV.SC-09
","ASIC (1), DORA Level 1 (1), FFIEC AIO (1), FFIEC CAT (1), FFIEC DAM (2), JFSA (2), NAIC IDSML (1), OCC CSWP (1), OSFI CSSA (1)"
037,C,GV.IR,GOVERN / Independent Risk Management Function,Independent Risk Management Function (GV.IR): The organization has an independent risk management function,,,,,"None
(CRI Addition)",
038,S,GV.IR-01,GOVERN / Independent Risk Management Function / Independent Risk Management Function,GV.IR-01: The independent risk management function provides assurance that the technology and cybersecurity risk management frameworks have been implemented according to policy and are consistent with the organization's risk appetite and tolerance,,,,,"None
(CRI Addition)",
038.082,DS,GV.IR-01.01,GOVERN / Independent Risk Management Function / Independent Risk Management Function,GV.IR-01.01: The organization's enterprise-wide technology and cybersecurity risk management frameworks align with and support an independent risk management function that provides assurance that the frameworks are implemented consistently and as intended.,Yes,Yes,Yes,No,"None
","APRA CPG 234 (1), ASIC (2), DORA Level 1 (3), EBA (1), FFIEC AIO (1), FFIEC CAT (1), HKMA C-RAF (1), MAS (1), OCC CSWP (1), OSFI B-13 (1), OSFI CSSA (1)"
038.083,DS,GV.IR-01.02,GOVERN / Independent Risk Management Function / Independent Risk Management Function,"GV.IR-01.02: The independent risk management function has sufficient independence, stature, authority, resources, and access to the governing body (e.g., the Board or one of its committees), including reporting lines, to ensure consistency with the organization's risk management frameworks.",Yes,Yes,Yes,No,"None
","APRA CPG 234 (1), DORA Level 1 (3), EBA (2), FFIEC CAT (1), HKMA C-RAF (1), NYDFS Part 500 (1), OSFI CSSA (2)"
038.084,DS,GV.IR-01.03,GOVERN / Independent Risk Management Function / Independent Risk Management Function,"GV.IR-01.03: The independent risk management function has an understanding of the organization's structure, technology and cybersecurity strategies and programs, and relevant risks and threats.",Yes,Yes,Yes,No,"None
","ASIC (1), DORA Level 1 (2), EBA (1), FFIEC AIO (1), FFIEC CAT (1)"
039,S,GV.IR-02,GOVERN / Independent Risk Management Function / Independent Risk Management Evaluation,GV.IR-02: The independent risk management function evaluates the appropriateness of the risk management program for the organization's risk appetite and proposes program improvements as warranted,,,,,"None
(CRI Addition)",
039.085,DS,GV.IR-02.01,GOVERN / Independent Risk Management Function / Independent Risk Management Evaluation,GV.IR-02.01: The independent risk management function regularly evaluates the appropriateness of the technology and cybersecurity risk management programs to the organization's risk appetite and inherent risk environment,Yes,Yes,Yes,No,"None
","DORA Level 1 (2), EBA (1), ECB CROE (1), FFIEC AIO (1), FFIEC CAT (2), HKMA C-RAF (1), OSFI CSSA (2)"
039.086,DS,GV.IR-02.02,GOVERN / Independent Risk Management Function / Independent Risk Management Evaluation,"GV.IR-02.02: The independent risk management function regularly assesses the organization's controls and cybersecurity risk exposure, identifies opportunities for improvement based on assessment results, and recommends program improvements",Yes,Yes,Yes,No,"None
","APRA CPG 234 (2), ASIC (1), DORA Level 1 (3), EBA (1), ECB CROE (3), FFIEC AIO (2), FFIEC CAT (2), HKMA C-RAF (1), JFSA (2), OSFI B-13 (1), OSFI CSSA (2), SEC Aug 2023 (1)"
040,S,GV.IR-03,GOVERN / Independent Risk Management Function / Independent Risk Management Reporting,"GV.IR-03: The independent risk management function reports on the implementation of the technology and cybersecurity risk management frameworks to the governing authority (e.g., the Board or one of its committees)",,,,,"None
(CRI Addition)",
040.087,DS,GV.IR-03.01,GOVERN / Independent Risk Management Function / Independent Risk Management Reporting,"GV.IR-03.01: The independent risk management function reports to the governing authority (e.g., the Board or one of its committees) and to the designated risk management officer within the organization on the implementation of the technology and cybersecurity risk management frameworks throughout the organization and its independent assessment of risk posture.",Yes,Yes,Yes,No,"None
","DORA Level 1 (3), EBA (2), ECB CROE (1), FFIEC AIO (3), FFIEC CAT (2), HKMA C-RAF (1), NYDFS Part 500 (1), OSFI CSSA (2), SEC Aug 2023 (1)"
041,C,GV.AU,GOVERN / Independent Audit Function,Independent Audit Function (GV.AU): The organization has an independent audit function to support oversight of the technology and cybersecurity programs,,,,,"None
(CRI Addition)",
042,S,GV.AU-01,GOVERN / Independent Audit Function / Independent Audit Compliance Assessment,GV.AU-01: The independent audit function assesses compliance with internal controls and applicable laws and regulations,,,,,"None
(CRI Addition)",
042.088,DS,GV.AU-01.01,GOVERN / Independent Audit Function / Independent Audit Compliance Assessment,"GV.AU-01.01: The organization has an independent audit function (i.e., internal audit group or external auditor) that follows generally accepted audit practices and approved audit policies and procedures.",Yes,Yes,Yes,Yes,"None
","APRA CPG 234 (4), DORA Level 1 (3), EBA (2), FFIEC AIO (1), FFIEC BCM (1), FFIEC CAT (1), JFSA (2), MAS (1), NYDFS Part 500 (1), OSFI CSSA (1)"
042.089,DS,GV.AU-01.02,GOVERN / Independent Audit Function / Independent Audit Compliance Assessment,"GV.AU-01.02: The organization has an independent audit plan that provides for the evaluation of technology and cybersecurity risk, including compliance with the approved risk management framework, policies, and processes for technology, cybersecurity, and resilience; and how well the organization adapts to the evolving risk environment while remaining within its stated risk appetite and tolerance.",Yes,Yes,Yes,Yes,"None
","APRA CPG 234 (2), ASIC (1), DORA Level 1 (2), EBA (3), FFIEC AIO (2), FFIEC BCM (2), FFIEC CAT (3), FFIEC DAM (2), HKMA C-RAF (7), JFSA (2), MAS (2), NYDFS Part 500 (1), OCC CSWP (1), OSFI CSSA (1), SEC Aug 2023 (1)"
042.090,DS,GV.AU-01.03,GOVERN / Independent Audit Function / Independent Audit Compliance Assessment,"GV.AU-01.03: The independent audit function tests technology management, cybersecurity, incident response, and resilience policies and controls.",Yes,Yes,Yes,Yes,"None
","APRA CPG 234 (3), APRA CPS 234 (2), DORA Level 1 (6), EBA (2), ECB CROE (2), FFIEC AIO (2), FFIEC BCM (3), FFIEC CAT (7), FFIEC DAM (2), HKMA C-RAF (7), JFSA (3), MAS (1), NYDFS Part 500 (1), OCC CSWP (1)"
042.091,DS,GV.AU-01.04,GOVERN / Independent Audit Function / Independent Audit Compliance Assessment,"GV.AU-01.04: The independent audit function evaluates and tests third-party risk management policies and controls, identifies weaknesses and gaps, and recommends improvements to senior management and the governing authority (e.g., the Board or one of its committees).",Yes,Yes,Yes,Yes,"None
","APRA CPG 234 (2), APRA CPS 234 (2), ASIC (1), DORA Level 1 (4), EBA (1), FFIEC AIO (2), FFIEC BCM (1), FFIEC CAT (1), FFIEC DAM (2), HKMA C-RAF (2), JFSA (2), NYDFS Part 500 (1)"
042.092,DS,GV.AU-01.05,GOVERN / Independent Audit Function / Independent Audit Compliance Assessment,GV.AU-01.05: An independent audit function assesses compliance with applicable laws and regulations.,Yes,Yes,Yes,Yes,"None
","APRA CPG 234 (1), DORA Level 1 (1), EBA (2), FFIEC AIO (1), FFIEC CAT (1), HKMA C-RAF (1), JFSA (3), NYDFS Part 500 (1), OSFI CSSA (1)"
043,S,GV.AU-02,GOVERN / Independent Audit Function / Independent Audit Procedures,GV.AU-02: The independent audit function updates its procedures and audit plans to adjust to the evolving technology and cybersecurity environment,,,,,"None
(CRI Addition)",
043.093,DS,GV.AU-02.01,GOVERN / Independent Audit Function / Independent Audit Procedures,"GV.AU-02.01: A formal process is in place for the independent audit function to review and update its procedures and audit plans regularly or in response to changes in relevant standards, the technology environment, or the business environment.",Yes,Yes,Yes,Yes,"None
","APRA CPG 234 (3), APRA CPS 234 (1), DORA Level 1 (3), EBA (2), FFIEC AIO (1), FFIEC BCM (1), FFIEC CAT (1), HKMA C-RAF (5), JFSA (2)"
043.094,DS,GV.AU-02.02,GOVERN / Independent Audit Function / Independent Audit Procedures,"GV.AU-02.02: A formal process is in place for the independent audit function to update its procedures and audit plans based on changes to the organization's risk appetite, risk tolerance, threat environment, and evolving risk profile.",Yes,Yes,Yes,Yes,"None
","APRA CPG 234 (2), APRA CPS 234 (1), DORA Level 1 (3), EBA (2), FFIEC AIO (1), FFIEC BCM (1), FFIEC CAT (2), HKMA C-RAF (5), JFSA (2)"
044,S,GV.AU-03,GOVERN / Independent Audit Function / Independent Audit Reporting,"GV.AU-03: The independent audit function identifies, tracks, and reports significant changes in the organization's risk exposure to the governing authority (e.g., the Board or one of its committees)",,,,,"None
(CRI Addition)",
044.095,DS,GV.AU-03.01,GOVERN / Independent Audit Function / Independent Audit Reporting,GV.AU-03.01: The independent audit function reviews technology and cybersecurity practices and identifies weaknesses and gaps.,Yes,Yes,Yes,Yes,"None
","ASIC (1), DORA Level 1 (3), EBA (1), FFIEC AIO (1), FFIEC BCM (2), FFIEC CAT (7), FFIEC DAM (2), HKMA C-RAF (5), JFSA (3), NYDFS Part 500 (1), OCC CSWP (1)"
044.096,DS,GV.AU-03.02,GOVERN / Independent Audit Function / Independent Audit Reporting,GV.AU-03.02: The independent audit function tracks identified issues and corrective actions from internal audits and independent testing/assessments to ensure timely resolution.,Yes,Yes,Yes,Yes,"None
","ASIC (1), DORA Level 1 (3), EBA (2), FFIEC AIO (1), FFIEC BCM (1), FFIEC CAT (1), JFSA (1)"
044.097,DS,GV.AU-03.03,GOVERN / Independent Audit Function / Independent Audit Reporting,"GV.AU-03.03: The independent audit function reports to the governing authority (e.g., the Board or one of its committees) within the organization, including when its assessment differs from that of the organization, or when risk tolerance has been exceeded in any part of the organization.",Yes,Yes,Yes,Yes,"None
","APRA CPG 234 (2), APRA CPS 234 (2), ASIC (1), DORA Level 1 (3), EBA (2), FFIEC AIO (4), FFIEC BCM (3), FFIEC CAT (1), HKMA C-RAF (3), JFSA (3), MAS (1), NAIC IDSML (1), NYDFS Part 500 (1), OSFI CSSA (1)"
045,F,ID,IDENTIFY,IDENTIFY (ID): The organization's current technology and cybersecurity risks are understood,,,,,"ID
(CRI Modified)",
046,C,ID.AM,IDENTIFY / Asset Management,"Asset Management (ID.AM): Assets (e.g., data, hardware, software, systems, facilities, services, people) that enable the organization to achieve business purposes are identified and managed consistent with their relative importance to organizational objectives and the organization's risk strategy",,,,,"ID.AM
",
047,S,ID.AM-01,IDENTIFY / Asset Management / Hardware Inventory,ID.AM-01: Inventories of hardware managed by the organization are maintained,,,,,"ID.AM-01
",
047.098,DS,ID.AM-01.01,IDENTIFY / Asset Management / Hardware Inventory,"ID.AM-01.01: The organization maintains a current and complete asset inventory of physical devices, hardware, and information systems.",Yes,Yes,Yes,Yes,"ID.AM-01
","APRA CPG 234 (3), ASIC (1), DORA Level 1 (3), EBA (3), ECB CROE (2), FFIEC AIO (7), FFIEC CAT (2), HKMA C-RAF (5), JFSA (1), MAS (3), NYDFS Part 500 (1), OCC CSWP (1), OSFI B-13 (1), OSFI CSSA (2)"
048,S,ID.AM-02,"IDENTIFY / Asset Management / Software, Services, & Systems Inventory","ID.AM-02: Inventories of software, services, and systems managed by the organization are maintained",,,,,"ID.AM-02
",
048.099,DS,ID.AM-02.01,"IDENTIFY / Asset Management / Software, Services, & Systems Inventory","ID.AM-02.01: The organization maintains a current and complete inventory of software platforms, business applications, and other software assets (e.g., virtual machines and virtual network devices).",Yes,Yes,Yes,Yes,"ID.AM-02
","APRA CPG 234 (2), ASIC (1), DORA Level 1 (3), EBA (3), ECB CROE (2), FFIEC AIO (8), FFIEC CAT (3), FFIEC DAM (2), HKMA C-RAF (5), JFSA (1), MAS (3), NYDFS Part 500 (1), OCC CSWP (1), OSFI B-13 (1), OSFI CSSA (2)"
049,S,ID.AM-03,IDENTIFY / Asset Management / Network Communications & Data Flows,ID.AM-03: Representations of the organization’s authorized network communication and internal and external network data flows are maintained,,,,,"ID.AM-03
",
049.100,DS,ID.AM-03.01,IDENTIFY / Asset Management / Network Communications & Data Flows,"ID.AM-03.01: The organization maintains current maps of network resources, mobile resources, external connections, network-connected third parties, and network data flows.",Yes,Yes,Yes,Yes,"ID.AM-03
","APRA CPG 234 (2), DORA Level 1 (1), EBA (4), ECB CROE (4), FFIEC AIO (5), FFIEC BCM (2), FFIEC CAT (4), FFIEC DAM (1), HKMA C-RAF (3), OCC CSWP (3), OSFI B-13 (1), OSFI CSSA (3)"
050,S,ID.AM-04,IDENTIFY / Asset Management / Supplier Services Inventory,ID.AM-04: Inventories of services provided by suppliers are maintained,,,,,"ID.AM-04
",
050.101,DS,ID.AM-04.01,IDENTIFY / Asset Management / Supplier Services Inventory,"ID.AM-04.01: Hardware, software, and data assets maintained by or located at suppliers or other third parties are included in asset management inventories and lifecycle management processes as required for effective management and security.",Yes,Yes,Yes,Yes,"ID.AM-04
","APRA CPG 234 (4), APRA CPS 234 (5), ASIC (3), DORA Level 1 (2), EBA (4), FFIEC AIO (8), FFIEC CAT (1), FFIEC DAM (1), HKMA C-RAF (3), JFSA (2), MAS (2), NYDFS Part 500 (1), OCC CSWP (1), OSFI B-13 (3), OSFI CSSA (1)"
051,S,ID.AM-05,IDENTIFY / Asset Management / Asset Protection Prioritization,"ID.AM-05: Assets are prioritized based on classification, criticality, resources, and impact on the mission",,,,,"ID.AM-05
",
051.102,DS,ID.AM-05.01,IDENTIFY / Asset Management / Asset Protection Prioritization,"ID.AM-05.01: The organization establishes and maintains risk-based policies and procedures for the classification of hardware, software, and data assets based on sensitivity and criticality.",Yes,Yes,Yes,No,"ID.AM-05
","APRA CPG 234 (5), APRA CPS 234 (1), ASIC (1), DORA Level 1 (3), EBA (5), FFIEC AIO (6), FFIEC CAT (1), FFIEC DAM (1), HKMA C-RAF (1), JFSA (1), MAS (1), NYDFS Part 500 (2), OCC CSWP (1), OSFI B-13 (3), OSFI CSSA (2)"
051.103,DS,ID.AM-05.02,IDENTIFY / Asset Management / Asset Protection Prioritization,"ID.AM-05.02: The organization's hardware, software, and data assets are prioritized for protection based on their sensitivity, criticality, vulnerability, business value, and dependency role in the delivery of critical services.",Yes,Yes,Yes,No,"ID.AM-05
","APRA CPG 234 (6), APRA CPS 234 (3), ASIC (1), DORA Level 1 (3), EBA (6), ECB CROE (2), FFIEC AIO (4), FFIEC BCM (3), FFIEC CAT (6), FFIEC DAM (2), HKMA C-RAF (2), JFSA (2), MAS (1), OCC CSWP (1), OSFI B-13 (3), OSFI CSSA (4)"
052,S,ID.AM-07,IDENTIFY / Asset Management / Data & Metadata Inventory,ID.AM-07: Inventories of data and corresponding metadata for designated data types are maintained,,,,,"ID.AM-07
",
052.104,DS,ID.AM-07.01,IDENTIFY / Asset Management / Data & Metadata Inventory,"ID.AM-07.01: The organization maintains a current inventory of the data being created, stored, or processed by its information assets and data flow diagrams depicting key internal and external data flows.",Yes,Yes,Yes,No,"ID.AM-07
","APRA CPG 234 (2), ASIC (1), DORA Level 1 (3), EBA (2), FFIEC AIO (9), FFIEC BCM (1), FFIEC CAT (4), FFIEC DAM (1), HKMA C-RAF (5), JFSA (2), MAS (2), OCC CSWP (2), OSFI B-13 (2), OSFI CSSA (1)"
053,S,ID.AM-08,IDENTIFY / Asset Management / Asset Life Cycle Management,"ID.AM-08: Systems, hardware, software, services, and data are managed throughout their life cycles",,,,,"ID.AM-08
",
053.105,DS,ID.AM-08.01,IDENTIFY / Asset Management / Asset Life Cycle Management,"ID.AM-08.01: The organization establishes and maintains asset lifecycle management policies and procedures to ensure that assets are acquired, tracked, implemented, used, decommissioned, and protected commensurate with their sensitivity, criticality, and business value.",Yes,Yes,Yes,No,"ID.AM-08
","APRA CPG 234 (9), APRA CPS 234 (2), ASIC (1), DORA Level 1 (5), EBA (5), ECB CROE (1), FFIEC AIO (6), FFIEC CAT (3), FFIEC DAM (3), HKMA C-RAF (5), JFSA (1), NAIC IDSML (2), NYDFS Part 500 (2), OSFI B-13 (3), OSFI CSSA (2)"
053.106,DS,ID.AM-08.02,IDENTIFY / Asset Management / Asset Life Cycle Management,"ID.AM-08.02: The organization establishes policies, and employs methods to identify, assess, and manage technology solutions that are acquired, managed, or used outside of established, governed technology and cybersecurity processes (i.e., ""Shadow IT"").",Yes,Yes,Yes,No,"ID.AM-08
","DORA Level 1 (1), EBA (1), ECB CROE (2), FFIEC AIO (7), FFIEC CAT (1), FFIEC DAM (3), HK SFC (1), HKMA C-RAF (1), MAS (2), OCC CSWP (1)"
053.107,DS,ID.AM-08.03,IDENTIFY / Asset Management / Asset Life Cycle Management,"ID.AM-08.03: The organization establishes policies, standards, and procedures for data governance, data management, and data retention consistent with its legal obligations and the value of data as an organizational asset.",Yes,Yes,Yes,No,"ID.AM-08
","APRA CPG 234 (1), APRA CPS 234 (1), DORA Level 1 (3), EBA (2), FFIEC AIO (5), FFIEC CAT (1), FFIEC DAM (2), HKMA C-RAF (1), NAIC IDSML (2), NYDFS Part 500 (4), OCC CSWP (1), OSFI B-13 (3)"
053.108,DS,ID.AM-08.04,IDENTIFY / Asset Management / Asset Life Cycle Management,"ID.AM-08.04: The organization's asset management processes ensure the protection of sensitive data throughout removal, transfers, maintenance, end-of-life, and secure disposal or re-use.",Yes,Yes,Yes,Yes,"ID.AM-08
","APRA CPG 234 (5), ASIC (1), DORA Level 1 (3), EBA (1), FFIEC AIO (8), FFIEC CAT (1), FFIEC DAM (4), HKMA C-RAF (1), NAIC IDSML (1), NYDFS Part 500 (1), OCC CSWP (3), OSFI B-13 (3), OSFI CSSA (3)"
053.109,DS,ID.AM-08.05,IDENTIFY / Asset Management / Asset Life Cycle Management,"ID.AM-08.05: The organization defines and implements standards and procedures, consistent with its data retention policy, for destroying or securely erasing data, media, and storage devices when the data is no longer needed.",Yes,Yes,Yes,Yes,"ID.AM-08
","APRA CPG 234 (2), DORA Level 1 (1), EBA (1), FFIEC AIO (5), FFIEC CAT (2), FFIEC DAM (2), HKMA C-RAF (2), JFSA (3), MAS (2), NAIC IDSML (1), NYDFS Part 500 (1), OCC CSWP (3), OSFI B-13 (3)"
053.110,DS,ID.AM-08.06,IDENTIFY / Asset Management / Asset Life Cycle Management,"ID.AM-08.06: Minimum cybersecurity requirements for third-parties cover the entire relationship lifecycle, from the acquisition of data through the return or destruction of data, to include limitations on data use, access, storage, and geographic location.",Yes,Yes,Yes,Yes,"ID.AM-08
","APRA CPG 234 (2), APRA CPS 234 (1), DORA Level 1 (4), FFIEC AIO (5), FFIEC CAT (2), FFIEC DAM (8), HKMA C-RAF (2), JFSA (2), MAS (1), NYDFS Part 500 (3), OCC CSWP (1), OSFI B-13 (2)"
054,C,ID.RA,IDENTIFY / Risk Assessment,"Risk Assessment (ID.RA): The technology and cybersecurity risks to the organization, assets, and individuals are understood by the organization",,,,,"ID.RA
(CRI Modified)",
055,S,ID.RA-01,IDENTIFY / Risk Assessment / Asset Vulnerability Identification,"ID.RA-01: Vulnerabilities in assets are identified, validated, and recorded",,,,,"ID.RA-01
",
055.111,DS,ID.RA-01.01,IDENTIFY / Risk Assessment / Asset Vulnerability Identification,"ID.RA-01.01: The organization identifies, assesses, and documents risks and potential vulnerabilities associated with assets, to include workforce, data, technology, facilities, services, and connections.",Yes,Yes,Yes,Yes,"ID.RA-01
","APRA CPS 234 (1), DORA Level 1 (3), EBA (7), ECB CROE (5), FFIEC AIO (2), FFIEC BCM (2), FFIEC CAT (2), FFIEC DAM (1), HKMA C-RAF (3), JFSA (1), MAS (2), NYDFS Part 500 (3), OSFI B-13 (1), OSFI CSSA (1)"
055.112,DS,ID.RA-01.02,IDENTIFY / Risk Assessment / Asset Vulnerability Identification,"ID.RA-01.02: The organization's business units ensure that information regarding cyber risk is shared with the appropriate level of senior management in a timely manner, so that they can address and respond to emerging cyber risk.",Yes,Yes,Yes,Yes,"ID.RA-01
","ASIC (1), DORA Level 1 (1), FFIEC CAT (1), FFIEC DAM (3), NYDFS Part 500 (2), OSFI B-13 (3)"
055.113,DS,ID.RA-01.03,IDENTIFY / Risk Assessment / Asset Vulnerability Identification,"ID.RA-01.03: The organization establishes and maintains standards and capabilities for ongoing vulnerability management, including systematic scans, or reviews reasonably designed to identify known cyber vulnerabilities and upgrade opportunities, across the organization's environments and assets.",Yes,Yes,Yes,Yes,"ID.RA-01
","APRA CPG 234 (2), APRA CPS 234 (1), DORA Level 1 (5), EBA (4), ECB CROE (6), FFIEC AIO (2), FFIEC CAT (4), FFIEC DAM (1), HKMA C-RAF (7), JFSA (2), MAS (5), NYDFS Part 500 (2), OCC CSWP (2), OSFI B-13 (3), OSFI CSSA (2)"
056,S,ID.RA-02,IDENTIFY / Risk Assessment / Information Sharing Forums,ID.RA-02: Cyber threat intelligence is received from information sharing forums and sources,,,,,"ID.RA-02
",
056.114,DS,ID.RA-02.01,IDENTIFY / Risk Assessment / Information Sharing Forums,"ID.RA-02.01: The organization participates actively (in alignment with its business operations, inherent risk, and complexity) in information-sharing groups and collectives (e.g., cross-industry, cross-government and cross-border groups) to gather, distribute and analyze information about cyber practices, cyber threats, and early warning indicators relating to cyber threats.",Yes,Yes,Yes,No,"ID.RA-02
","APRA CPG 234 (3), APRA CPS 234 (1), ASIC (1), DORA Level 1 (7), ECB CROE (15), FFIEC BCM (1), FFIEC CAT (10), FFIEC DAM (1), HKMA C-RAF (13), JFSA (3), MAS (1), NAIC IDSML (1), OCC CSWP (1), OSFI B-13 (4), OSFI CSSA (4)"
056.115,DS,ID.RA-02.02,IDENTIFY / Risk Assessment / Information Sharing Forums,ID.RA-02.02: The organization shares authorized information on its cyber resilience framework and the effectiveness of protection technologies bilaterally with trusted external stakeholders to promote the understanding of each party’s approach to securing systems.,Yes,Yes,Yes,No,"ID.RA-02
","ASIC (1), DORA Level 1 (2), EBA (1), ECB CROE (12), FFIEC BCM (3), FFIEC CAT (11), HKMA C-RAF (6), JFSA (4), OCC CSWP (1), OSFI B-13 (1)"
057,S,ID.RA-03,IDENTIFY / Risk Assessment / Threat Identification,ID.RA-03: Internal and external threats to the organization are identified and recorded,,,,,"ID.RA-03
",
