,"SEC Cybersecurity Risk Management, Strategy, Governance, and Incident Disclosure (Aug 2023)
to CRI Profile ver. 2.1 Mapping","SEC Cybersecurity Risk Management, Strategy, Governance, and Incident Disclosure (Aug 2023)
to CRI Profile ver. 2.1 Mapping","SEC Cybersecurity Risk Management, Strategy, Governance, and Incident Disclosure (Aug 2023)
to CRI Profile ver. 2.1 Mapping","SEC Cybersecurity Risk Management, Strategy, Governance, and Incident Disclosure (Aug 2023)
to CRI Profile ver. 2.1 Mapping","SEC Cybersecurity Risk Management, Strategy, Governance, and Incident Disclosure (Aug 2023)
to CRI Profile ver. 2.1 Mapping","SEC Cybersecurity Risk Management, Strategy, Governance, and Incident Disclosure (Aug 2023)
to CRI Profile ver. 2.1 Mapping","SEC Cybersecurity Risk Management, Strategy, Governance, and Incident Disclosure (Aug 2023)
to CRI Profile ver. 2.1 Mapping",,
"SEC Cybersecurity Risk Management, Strategy, Governance, and Incident Disclosure (Aug 2023)","SEC Cybersecurity Risk Management, Strategy, Governance, and Incident Disclosure (Aug 2023)","SEC Cybersecurity Risk Management, Strategy, Governance, and Incident Disclosure (Aug 2023)",Mapping Relationship,Mapping Relationship,Mapping Relationship,Mapping Relationship,CRI Profile ver. 2.1,CRI Profile ver. 2.1,CRI Profile ver. 2.1
Document Section,SEC Id,SEC Statement,Rationale,Relationship,AS,FCS,CRI Profile ver. 2.1 Diagnostic Statement,Profile Subcategory,Profile Id
Introduction,SEC-07.I.A.7,"FPIs must: 
—Describe the board’s oversight of risks from cybersecurity threats. 
—Describe management’s role in assessing and managing material risks from cybersecurity threats.",Semantic,Superset of,7,8,"GV.RM-05.01: The organization has a process for monitoring its technology, cybersecurity, and third-party risks, including escalating those risks that exceed risk appetite to management and identifying risks with the potential to impact multiple operating units.",GOVERN / Risk Management Strategy / Lines of Communication,GV.RM-05.01
Introduction,SEC-07.I.A.7,"FPIs must: 
—Describe the board’s oversight of risks from cybersecurity threats. 
—Describe management’s role in assessing and managing material risks from cybersecurity threats.",Semantic,Superset of,8,8,"GV.RR-01.01: The governing authority (e.g., the Board or one of its committees) oversees and holds senior management accountable for implementing the organization’s technology and cybersecurity risk management strategies and frameworks.","GOVERN / Roles, Responsibilities, and Authorities / Organizational Leadership Responsibility",GV.RR-01.01
Introduction,SEC-07.I.A.7,"FPIs must: 
—Describe the board’s oversight of risks from cybersecurity threats. 
—Describe management’s role in assessing and managing material risks from cybersecurity threats.",Semantic,Superset of,8,8,"GV.RR-01.02: The governing authority (e.g., the Board or one of its committees) regularly reviews, oversees, and holds senior management accountable for implementing the organization’s third-party risk management strategy and program and for managing the organization's ongoing risks associated with the aggregate and specific use of third parties.","GOVERN / Roles, Responsibilities, and Authorities / Organizational Leadership Responsibility",GV.RR-01.02
Introduction,SEC-07.I.A.7,"FPIs must: 
—Describe the board’s oversight of risks from cybersecurity threats. 
—Describe management’s role in assessing and managing material risks from cybersecurity threats.",Semantic,Superset of,7,8,"GV.RR-01.03: The governing authority (e.g., the Board or one of its committees) regularly reviews, oversees, and holds senior management accountable for implementing the organization’s resilience strategy and program and for managing the organization's ongoing resilience risks.","GOVERN / Roles, Responsibilities, and Authorities / Organizational Leadership Responsibility",GV.RR-01.03
Introduction,SEC-07.I.A.7,"FPIs must: 
—Describe the board’s oversight of risks from cybersecurity threats. 
—Describe management’s role in assessing and managing material risks from cybersecurity threats.",Semantic,Superset of,8,8,"GV.OV-01.01: The governing authority (e.g., the Board or one of its committees) regularly reviews and evaluates the organization's ability to manage its technology, cybersecurity, third-party, and resilience risks.",GOVERN / Oversight / Risk Management Strategy Outcomes Review,GV.OV-01.01
Introduction,SEC-07.I.A.7,"FPIs must: 
—Describe the board’s oversight of risks from cybersecurity threats. 
—Describe management’s role in assessing and managing material risks from cybersecurity threats.",Semantic,Superset of,8,8,"GV.OV-01.02: The designated Cybersecurity Officer (e.g., CISO) periodically reports to the appropriate governing authority (e.g., the Board or one of its committees) or equivalent governing body on the status of cybersecurity within the organization.",GOVERN / Oversight / Risk Management Strategy Outcomes Review,GV.OV-01.02
Introduction,SEC-07.I.A.7,"FPIs must: 
—Describe the board’s oversight of risks from cybersecurity threats. 
—Describe management’s role in assessing and managing material risks from cybersecurity threats.",Semantic,Superset of,7,8,"GV.OV-03.02: Resilience program performance is measured and regularly reported to senior executives and the governing authority (e.g., the Board or one of its committees).",GOVERN / Oversight / Risk Management Performance Measurement,GV.OV-03.02
Introduction,SEC-07.I.A.7,"FPIs must: 
—Describe the board’s oversight of risks from cybersecurity threats. 
—Describe management’s role in assessing and managing material risks from cybersecurity threats.",Semantic,Superset of,7,8,"RS.AN-08.01: Available incident information is assessed to determine the extent of impact to the organization and its stakeholders, the potential near- and long-term financial implications, and whether or not the incident constitutes a material event.",RESPOND / Incident Analysis / Incident Magnitude Determination,RS.AN-08.01
Introduction,SEC-07.I.A.7,"FPIs must: 
—Describe the board’s oversight of risks from cybersecurity threats. 
—Describe management’s role in assessing and managing material risks from cybersecurity threats.",Semantic,Superset of,8,8,"RS.CO-02.01: The organization's incident response program includes defined and approved escalation protocols, linked to organizational decision levels and communication strategies, including which types of information will be shared, with whom (e.g., the organization's governing authority and senior management), and how information provided to the organization will be acted upon.",RESPOND / Incident Response Reporting and Communication / Stakeholder Incident Notification,RS.CO-02.01
Introduction,SEC-08.I.A.8,"FPIs must furnish on Form 6–K information on material cybersecurity incidents that they disclose or otherwise publicize in a foreign jurisdiction, to any stock exchange, or to security holders",Semantic,Subset of ,4,4,"GV.OC-03.01: The organization's technology and cybersecurity strategy, framework, and policies align and are consistent with the organization's legal, statutory, contractual, and regulatory obligations and ensure that compliance responsibilities are unambiguously assigned.","GOVERN / Organizational Context / Legal, Regulatory, & Contractual Requirements",GV.OC-03.01
Introduction,SEC-08.I.A.8,"FPIs must furnish on Form 6–K information on material cybersecurity incidents that they disclose or otherwise publicize in a foreign jurisdiction, to any stock exchange, or to security holders",Semantic,Subset of ,3,4,"GV.RR-02.02: The organization has established and assigned roles and responsibilities for systematic cybersecurity threat identification, monitoring, detection, and event reporting processes, and ensures adequate coverage and organizational alignment for these functions.","GOVERN / Roles, Responsibilities, and Authorities / Risk Management Roles & Responsibilities",GV.RR-02.02
Introduction,SEC-08.I.A.8,"FPIs must furnish on Form 6–K information on material cybersecurity incidents that they disclose or otherwise publicize in a foreign jurisdiction, to any stock exchange, or to security holders",Semantic,Subset of ,4,4,"RS.CO-02.02: In the event of an incident, the organization notifies impacted stakeholders including, as required, government bodies, self-regulatory agencies and/or other supervisory bodies, within required timeframes.",RESPOND / Incident Response Reporting and Communication / Stakeholder Incident Notification,RS.CO-02.02
Discussion of Final Amendments / A. Disclosure of Cybersecurity Incidents on Current Reports,SEC-09.II.A.1,"The Commission proposed to amend Form 8–K by adding new Item 1.05 that would require a registrant to disclose the following information regarding a material cybersecurity incident, to the extent known at the time of filing: 
• When the incident was discovered and whether it is ongoing; 
• A brief description of the nature and scope of the incident; 
• Whether any data were stolen, altered, accessed, or used for any other unauthorized purpose; 
• The effect of the incident on the registrant’s operations; and 
• Whether the registrant has remediated or is currently remediating the incident.",Semantic,Superset of,8,9,"GV.OC-03.01: The organization's technology and cybersecurity strategy, framework, and policies align and are consistent with the organization's legal, statutory, contractual, and regulatory obligations and ensure that compliance responsibilities are unambiguously assigned.","GOVERN / Organizational Context / Legal, Regulatory, & Contractual Requirements",GV.OC-03.01
Discussion of Final Amendments / A. Disclosure of Cybersecurity Incidents on Current Reports,SEC-09.II.A.1,"The Commission proposed to amend Form 8–K by adding new Item 1.05 that would require a registrant to disclose the following information regarding a material cybersecurity incident, to the extent known at the time of filing: 
• When the incident was discovered and whether it is ongoing; 
• A brief description of the nature and scope of the incident; 
• Whether any data were stolen, altered, accessed, or used for any other unauthorized purpose; 
• The effect of the incident on the registrant’s operations; and 
• Whether the registrant has remediated or is currently remediating the incident.",Semantic,Superset of,8,9,"DE.AE-04.01: The organization has a documented process to analyze and triage incidents to assess root cause, technical impact, mitigation priority, and business impact on the organization, as well as across the financial sector and other third party stakeholders.",DETECT / Adverse Event Analysis / Impact & Scope Determination,DE.AE-04.01
Discussion of Final Amendments / A. Disclosure of Cybersecurity Incidents on Current Reports,SEC-09.II.A.1,"The Commission proposed to amend Form 8–K by adding new Item 1.05 that would require a registrant to disclose the following information regarding a material cybersecurity incident, to the extent known at the time of filing: 
• When the incident was discovered and whether it is ongoing; 
• A brief description of the nature and scope of the incident; 
• Whether any data were stolen, altered, accessed, or used for any other unauthorized purpose; 
• The effect of the incident on the registrant’s operations; and 
• Whether the registrant has remediated or is currently remediating the incident.",Semantic,Superset of,9,9,"RS.AN-03.01: The organization performs a thorough investigation to determine the nature and scope of an event, possible root causes, and the potential damage inflicted.",RESPOND / Incident Analysis / Incident Analysis & Root Cause Determination,RS.AN-03.01
Discussion of Final Amendments / A. Disclosure of Cybersecurity Incidents on Current Reports,SEC-09.II.A.1,"The Commission proposed to amend Form 8–K by adding new Item 1.05 that would require a registrant to disclose the following information regarding a material cybersecurity incident, to the extent known at the time of filing: 
• When the incident was discovered and whether it is ongoing; 
• A brief description of the nature and scope of the incident; 
• Whether any data were stolen, altered, accessed, or used for any other unauthorized purpose; 
• The effect of the incident on the registrant’s operations; and 
• Whether the registrant has remediated or is currently remediating the incident.",Semantic,Superset of,7,9,"RS.AN-08.01: Available incident information is assessed to determine the extent of impact to the organization and its stakeholders, the potential near- and long-term financial implications, and whether or not the incident constitutes a material event.",RESPOND / Incident Analysis / Incident Magnitude Determination,RS.AN-08.01
Discussion of Final Amendments / A. Disclosure of Cybersecurity Incidents on Current Reports,SEC-09.II.A.1,"The Commission proposed to amend Form 8–K by adding new Item 1.05 that would require a registrant to disclose the following information regarding a material cybersecurity incident, to the extent known at the time of filing: 
• When the incident was discovered and whether it is ongoing; 
• A brief description of the nature and scope of the incident; 
• Whether any data were stolen, altered, accessed, or used for any other unauthorized purpose; 
• The effect of the incident on the registrant’s operations; and 
• Whether the registrant has remediated or is currently remediating the incident.",Semantic,Superset of,8,9,"RS.CO-02.02: In the event of an incident, the organization notifies impacted stakeholders including, as required, government bodies, self-regulatory agencies and/or other supervisory bodies, within required timeframes.",RESPOND / Incident Response Reporting and Communication / Stakeholder Incident Notification,RS.CO-02.02
Discussion of Final Amendments / A. Disclosure of Cybersecurity Incidents on Current Reports,SEC-09.II.A.1,"The Commission proposed to amend Form 8–K by adding new Item 1.05 that would require a registrant to disclose the following information regarding a material cybersecurity incident, to the extent known at the time of filing: 
• When the incident was discovered and whether it is ongoing; 
• A brief description of the nature and scope of the incident; 
• Whether any data were stolen, altered, accessed, or used for any other unauthorized purpose; 
• The effect of the incident on the registrant’s operations; and 
• Whether the registrant has remediated or is currently remediating the incident.",Semantic,Superset of,8,9,"RC.CO-03.02: The organization promptly communicates the status of recovery activities to regulatory authorities and relevant external stakeholders, as required or appropriate.",RECOVER / Incident Recovery Communication / Recovery Activity Communication,RC.CO-03.02
Discussion of Final Amendments / A. Disclosure of Cybersecurity Incidents on Current Reports,SEC-10.II.A.3,"The registrant is required to describe the material aspects of the nature, scope, and timing of the incident, and the material impact or reasonably likely material impact on the registrant, including its financial condition and results of operations.",Semantic,Superset of,8,9,"DE.AE-04.01: The organization has a documented process to analyze and triage incidents to assess root cause, technical impact, mitigation priority, and business impact on the organization, as well as across the financial sector and other third party stakeholders.",DETECT / Adverse Event Analysis / Impact & Scope Determination,DE.AE-04.01
Discussion of Final Amendments / A. Disclosure of Cybersecurity Incidents on Current Reports,SEC-10.II.A.3,"The registrant is required to describe the material aspects of the nature, scope, and timing of the incident, and the material impact or reasonably likely material impact on the registrant, including its financial condition and results of operations.",Semantic,Superset of,9,9,"RS.AN-03.01: The organization performs a thorough investigation to determine the nature and scope of an event, possible root causes, and the potential damage inflicted.",RESPOND / Incident Analysis / Incident Analysis & Root Cause Determination,RS.AN-03.01
Discussion of Final Amendments / A. Disclosure of Cybersecurity Incidents on Current Reports,SEC-10.II.A.3,"The registrant is required to describe the material aspects of the nature, scope, and timing of the incident, and the material impact or reasonably likely material impact on the registrant, including its financial condition and results of operations.",Semantic,Superset of,9,9,"RS.AN-08.01: Available incident information is assessed to determine the extent of impact to the organization and its stakeholders, the potential near- and long-term financial implications, and whether or not the incident constitutes a material event.",RESPOND / Incident Analysis / Incident Magnitude Determination,RS.AN-08.01
Discussion of Final Amendments / A. Disclosure of Cybersecurity Incidents on Current Reports,SEC-10.II.A.3,"The registrant is required to describe the material aspects of the nature, scope, and timing of the incident, and the material impact or reasonably likely material impact on the registrant, including its financial condition and results of operations.",Semantic,Superset of,7,9,"RS.CO-02.02: In the event of an incident, the organization notifies impacted stakeholders including, as required, government bodies, self-regulatory agencies and/or other supervisory bodies, within required timeframes.",RESPOND / Incident Response Reporting and Communication / Stakeholder Incident Notification,RS.CO-02.02
Discussion of Final Amendments / B. Disclosures About Cybersecurity Incidents in Periodic Reports ,SEC-11.II.B.1,"The registrant should disclose ‘‘any material changes, additions, or updates’’ on the registrant’s quarterly report or annual report. In addition, proposal would require disclosure of the following information: 
• Any material effect of the incident on the registrant’s operations and financial condition; 
• Any potential material future impacts on the registrant’s operations and financial condition; 
• Whether the registrant has remediated or is currently remediating the incident; and 
• Any changes in the registrant’s policies and procedures as a result of the cybersecurity incident, and how the incident may have informed such changes.",Semantic,Superset of,8,8,"ID.IM-03.01: A formal process is in place to improve protection controls and processes by integrating recommendations, findings, and lessons learned from exercises, testing, audits, assessments, and incidents.",IDENTIFY / Improvement / Improvements from Lessons Learned,ID.IM-03.01
Discussion of Final Amendments / B. Disclosures About Cybersecurity Incidents in Periodic Reports ,SEC-11.II.B.1,"The registrant should disclose ‘‘any material changes, additions, or updates’’ on the registrant’s quarterly report or annual report. In addition, proposal would require disclosure of the following information: 
• Any material effect of the incident on the registrant’s operations and financial condition; 
• Any potential material future impacts on the registrant’s operations and financial condition; 
• Whether the registrant has remediated or is currently remediating the incident; and 
• Any changes in the registrant’s policies and procedures as a result of the cybersecurity incident, and how the incident may have informed such changes.",Semantic,Superset of,7,8,"ID.IM-04.08: The organization regularly reviews response strategy, incident management plans, recovery plans, and associated tests and exercises and updates them, as necessary, based on:
(1) Lessons learned from incidents that have occurred (both internal and external to the organization);
(2) Current cyber threat intelligence (both internal and external sources);
(3) Recent and wide-scale cyber attack scenarios;
(4) Operationally and technically plausible future cyber attacks;
(5) Organizational or technical environment changes; and,
(6) New technological developments.",IDENTIFY / Improvement / Plans Affecting Operations,ID.IM-04.08
Discussion of Final Amendments / B. Disclosures About Cybersecurity Incidents in Periodic Reports ,SEC-11.II.B.1,"The registrant should disclose ‘‘any material changes, additions, or updates’’ on the registrant’s quarterly report or annual report. In addition, proposal would require disclosure of the following information: 
• Any material effect of the incident on the registrant’s operations and financial condition; 
• Any potential material future impacts on the registrant’s operations and financial condition; 
• Whether the registrant has remediated or is currently remediating the incident; and 
• Any changes in the registrant’s policies and procedures as a result of the cybersecurity incident, and how the incident may have informed such changes.",Semantic,Superset of,7,8,"DE.AE-04.01: The organization has a documented process to analyze and triage incidents to assess root cause, technical impact, mitigation priority, and business impact on the organization, as well as across the financial sector and other third party stakeholders.",DETECT / Adverse Event Analysis / Impact & Scope Determination,DE.AE-04.01
Discussion of Final Amendments / B. Disclosures About Cybersecurity Incidents in Periodic Reports ,SEC-11.II.B.1,"The registrant should disclose ‘‘any material changes, additions, or updates’’ on the registrant’s quarterly report or annual report. In addition, proposal would require disclosure of the following information: 
• Any material effect of the incident on the registrant’s operations and financial condition; 
• Any potential material future impacts on the registrant’s operations and financial condition; 
• Whether the registrant has remediated or is currently remediating the incident; and 
• Any changes in the registrant’s policies and procedures as a result of the cybersecurity incident, and how the incident may have informed such changes.",Semantic,Superset of,8,8,"RS.AN-03.01: The organization performs a thorough investigation to determine the nature and scope of an event, possible root causes, and the potential damage inflicted.",RESPOND / Incident Analysis / Incident Analysis & Root Cause Determination,RS.AN-03.01
Discussion of Final Amendments / B. Disclosures About Cybersecurity Incidents in Periodic Reports ,SEC-11.II.B.1,"The registrant should disclose ‘‘any material changes, additions, or updates’’ on the registrant’s quarterly report or annual report. In addition, proposal would require disclosure of the following information: 
• Any material effect of the incident on the registrant’s operations and financial condition; 
• Any potential material future impacts on the registrant’s operations and financial condition; 
• Whether the registrant has remediated or is currently remediating the incident; and 
• Any changes in the registrant’s policies and procedures as a result of the cybersecurity incident, and how the incident may have informed such changes.",Semantic,Superset of,8,8,"RS.AN-08.01: Available incident information is assessed to determine the extent of impact to the organization and its stakeholders, the potential near- and long-term financial implications, and whether or not the incident constitutes a material event.",RESPOND / Incident Analysis / Incident Magnitude Determination,RS.AN-08.01
Discussion of Final Amendments / B. Disclosures About Cybersecurity Incidents in Periodic Reports ,SEC-11.II.B.1,"The registrant should disclose ‘‘any material changes, additions, or updates’’ on the registrant’s quarterly report or annual report. In addition, proposal would require disclosure of the following information: 
• Any material effect of the incident on the registrant’s operations and financial condition; 
• Any potential material future impacts on the registrant’s operations and financial condition; 
• Whether the registrant has remediated or is currently remediating the incident; and 
• Any changes in the registrant’s policies and procedures as a result of the cybersecurity incident, and how the incident may have informed such changes.",Semantic,Superset of,6,8,"RS.CO-02.02: In the event of an incident, the organization notifies impacted stakeholders including, as required, government bodies, self-regulatory agencies and/or other supervisory bodies, within required timeframes.",RESPOND / Incident Response Reporting and Communication / Stakeholder Incident Notification,RS.CO-02.02
Discussion of Final Amendments / B. Disclosures About Cybersecurity Incidents in Periodic Reports ,SEC-11.II.B.1,"The registrant should disclose ‘‘any material changes, additions, or updates’’ on the registrant’s quarterly report or annual report. In addition, proposal would require disclosure of the following information: 
• Any material effect of the incident on the registrant’s operations and financial condition; 
• Any potential material future impacts on the registrant’s operations and financial condition; 
• Whether the registrant has remediated or is currently remediating the incident; and 
• Any changes in the registrant’s policies and procedures as a result of the cybersecurity incident, and how the incident may have informed such changes.",Semantic,Superset of,8,8,"RC.CO-03.02: The organization promptly communicates the status of recovery activities to regulatory authorities and relevant external stakeholders, as required or appropriate.",RECOVER / Incident Recovery Communication / Recovery Activity Communication,RC.CO-03.02
"Discussion of Final Amendments / C. Disclosure of a Registrant’s Risk Management, Strategy and Governance Regarding Cybersecurity Risks ",SEC-12.II.C.1.a,"As proposed, registrants would be required to include a discussion, as applicable, of: 
• Whether the registrant has a cybersecurity risk assessment program and if so, a description of the program 
 • Whether the registrant engages assessors, consultants, auditors, or other third parties in connection with any cybersecurity risk assessment program 
 • Whether the registrant has policies and procedures to oversee, identify, and mitigate the cybersecurity risks associated with its use of any third- party service provider (including, but not limited to, those providers that have access to the registrant’s customer and employee data), including whether and how cybersecurity considerations affect the selection and oversight of these providers and contractual and other mechanisms the company uses to mitigate cybersecurity risks related to these providers 
• Whether the registrant undertakes activities to prevent, detect, and minimize effects of cybersecurity incidents  
• Whether the registrant has business continuity, contingency, and recovery plans in the event of a cybersecurity incident 
• Whether previous cybersecurity incidents have informed changes in the registrant’s governance, policies and procedures, or technologies
• Whether cybersecurity related risk and incidents have affected or are reasonably likely to affect the registrant’s results of operations or financial condition and if so, how 
• Whether cybersecurity risks are considered as part of the registrant’s business strategy, financial planning, and capital allocation and if so, how ",Semantic,Superset of,7,9,"GV.RM-01.01: Technology and cybersecurity risk management strategies and frameworks are approved by the governing authority (e.g., the Board or one of its committees) and incorporated into the overall business strategy and enterprise risk management framework.",GOVERN / Risk Management Strategy / Risk Management Objectives Agreement,GV.RM-01.01
"Discussion of Final Amendments / C. Disclosure of a Registrant’s Risk Management, Strategy and Governance Regarding Cybersecurity Risks ",SEC-12.II.C.1.a,"As proposed, registrants would be required to include a discussion, as applicable, of: 
• Whether the registrant has a cybersecurity risk assessment program and if so, a description of the program 
 • Whether the registrant engages assessors, consultants, auditors, or other third parties in connection with any cybersecurity risk assessment program 
 • Whether the registrant has policies and procedures to oversee, identify, and mitigate the cybersecurity risks associated with its use of any third- party service provider (including, but not limited to, those providers that have access to the registrant’s customer and employee data), including whether and how cybersecurity considerations affect the selection and oversight of these providers and contractual and other mechanisms the company uses to mitigate cybersecurity risks related to these providers 
• Whether the registrant undertakes activities to prevent, detect, and minimize effects of cybersecurity incidents  
• Whether the registrant has business continuity, contingency, and recovery plans in the event of a cybersecurity incident 
• Whether previous cybersecurity incidents have informed changes in the registrant’s governance, policies and procedures, or technologies
• Whether cybersecurity related risk and incidents have affected or are reasonably likely to affect the registrant’s results of operations or financial condition and if so, how 
• Whether cybersecurity risks are considered as part of the registrant’s business strategy, financial planning, and capital allocation and if so, how ",Semantic,Superset of,7,9,GV.RM-03.01: Technology and cybersecurity risk management frameworks and programs are integrated into the enterprise risk management framework.,GOVERN / Risk Management Strategy / Enterprise Risk Integration,GV.RM-03.01
"Discussion of Final Amendments / C. Disclosure of a Registrant’s Risk Management, Strategy and Governance Regarding Cybersecurity Risks ",SEC-12.II.C.1.a,"As proposed, registrants would be required to include a discussion, as applicable, of: 
• Whether the registrant has a cybersecurity risk assessment program and if so, a description of the program 
 • Whether the registrant engages assessors, consultants, auditors, or other third parties in connection with any cybersecurity risk assessment program 
 • Whether the registrant has policies and procedures to oversee, identify, and mitigate the cybersecurity risks associated with its use of any third- party service provider (including, but not limited to, those providers that have access to the registrant’s customer and employee data), including whether and how cybersecurity considerations affect the selection and oversight of these providers and contractual and other mechanisms the company uses to mitigate cybersecurity risks related to these providers 
• Whether the registrant undertakes activities to prevent, detect, and minimize effects of cybersecurity incidents  
• Whether the registrant has business continuity, contingency, and recovery plans in the event of a cybersecurity incident 
• Whether previous cybersecurity incidents have informed changes in the registrant’s governance, policies and procedures, or technologies
• Whether cybersecurity related risk and incidents have affected or are reasonably likely to affect the registrant’s results of operations or financial condition and if so, how 
• Whether cybersecurity risks are considered as part of the registrant’s business strategy, financial planning, and capital allocation and if so, how ",Semantic,Superset of,7,9,"GV.RM-06.01: Technology and cybersecurity risk management and risk assessment processes and methodologies are documented and regularly reviewed and updated to address changes in the risk profile and risk appetite, the evolving threat environment, and new technologies, products, services, and interdependencies.",GOVERN / Risk Management Strategy / Standardized Risk Management Method,GV.RM-06.01
"Discussion of Final Amendments / C. Disclosure of a Registrant’s Risk Management, Strategy and Governance Regarding Cybersecurity Risks ",SEC-12.II.C.1.a,"As proposed, registrants would be required to include a discussion, as applicable, of: 
• Whether the registrant has a cybersecurity risk assessment program and if so, a description of the program 
 • Whether the registrant engages assessors, consultants, auditors, or other third parties in connection with any cybersecurity risk assessment program 
 • Whether the registrant has policies and procedures to oversee, identify, and mitigate the cybersecurity risks associated with its use of any third- party service provider (including, but not limited to, those providers that have access to the registrant’s customer and employee data), including whether and how cybersecurity considerations affect the selection and oversight of these providers and contractual and other mechanisms the company uses to mitigate cybersecurity risks related to these providers 
• Whether the registrant undertakes activities to prevent, detect, and minimize effects of cybersecurity incidents  
• Whether the registrant has business continuity, contingency, and recovery plans in the event of a cybersecurity incident 
• Whether previous cybersecurity incidents have informed changes in the registrant’s governance, policies and procedures, or technologies
• Whether cybersecurity related risk and incidents have affected or are reasonably likely to affect the registrant’s results of operations or financial condition and if so, how 
• Whether cybersecurity risks are considered as part of the registrant’s business strategy, financial planning, and capital allocation and if so, how ",Semantic,Superset of,7,9,"GV.RM-09.01: The organization has an enterprise-wide resilience strategy and program, including architecture, cyber resilience, business continuity, disaster recovery, and incident response, which support its mission, stakeholder obligations, critical infrastructure role, and risk appetite.",GOVERN / Risk Management Strategy  / Business Continuity & Resilience Risk Management,GV.RM-09.01
"Discussion of Final Amendments / C. Disclosure of a Registrant’s Risk Management, Strategy and Governance Regarding Cybersecurity Risks ",SEC-12.II.C.1.a,"As proposed, registrants would be required to include a discussion, as applicable, of: 
• Whether the registrant has a cybersecurity risk assessment program and if so, a description of the program 
 • Whether the registrant engages assessors, consultants, auditors, or other third parties in connection with any cybersecurity risk assessment program 
 • Whether the registrant has policies and procedures to oversee, identify, and mitigate the cybersecurity risks associated with its use of any third- party service provider (including, but not limited to, those providers that have access to the registrant’s customer and employee data), including whether and how cybersecurity considerations affect the selection and oversight of these providers and contractual and other mechanisms the company uses to mitigate cybersecurity risks related to these providers 
• Whether the registrant undertakes activities to prevent, detect, and minimize effects of cybersecurity incidents  
• Whether the registrant has business continuity, contingency, and recovery plans in the event of a cybersecurity incident 
• Whether previous cybersecurity incidents have informed changes in the registrant’s governance, policies and procedures, or technologies
• Whether cybersecurity related risk and incidents have affected or are reasonably likely to affect the registrant’s results of operations or financial condition and if so, how 
• Whether cybersecurity risks are considered as part of the registrant’s business strategy, financial planning, and capital allocation and if so, how ",Semantic,Superset of,8,9,"GV.SC-01.01: The organization maintains a third-party risk management strategy and program to identify and manage the risks associated with third parties throughout their lifecycles in a timely manner, including in support of sector-critical systems and operations, to ensure alignment within risk appetite.",GOVERN / Supply Chain Risk Management / Supply Chain Risk Management Program,GV.SC-01.01
"Discussion of Final Amendments / C. Disclosure of a Registrant’s Risk Management, Strategy and Governance Regarding Cybersecurity Risks ",SEC-12.II.C.1.a,"As proposed, registrants would be required to include a discussion, as applicable, of: 
• Whether the registrant has a cybersecurity risk assessment program and if so, a description of the program 
 • Whether the registrant engages assessors, consultants, auditors, or other third parties in connection with any cybersecurity risk assessment program 
 • Whether the registrant has policies and procedures to oversee, identify, and mitigate the cybersecurity risks associated with its use of any third- party service provider (including, but not limited to, those providers that have access to the registrant’s customer and employee data), including whether and how cybersecurity considerations affect the selection and oversight of these providers and contractual and other mechanisms the company uses to mitigate cybersecurity risks related to these providers 
• Whether the registrant undertakes activities to prevent, detect, and minimize effects of cybersecurity incidents  
• Whether the registrant has business continuity, contingency, and recovery plans in the event of a cybersecurity incident 
• Whether previous cybersecurity incidents have informed changes in the registrant’s governance, policies and procedures, or technologies
• Whether cybersecurity related risk and incidents have affected or are reasonably likely to affect the registrant’s results of operations or financial condition and if so, how 
• Whether cybersecurity risks are considered as part of the registrant’s business strategy, financial planning, and capital allocation and if so, how ",Semantic,Superset of,7,9,"GV.PO-01.08: The organization maintains documented third-party risk management program policies and procedures approved by the governing authority (e.g., the Board or one of its committees).","GOVERN / Policies, Processes, and Procedures / Establishment of Policies & Procedures",GV.PO-01.08
"Discussion of Final Amendments / C. Disclosure of a Registrant’s Risk Management, Strategy and Governance Regarding Cybersecurity Risks ",SEC-12.II.C.1.a,"As proposed, registrants would be required to include a discussion, as applicable, of: 
• Whether the registrant has a cybersecurity risk assessment program and if so, a description of the program 
 • Whether the registrant engages assessors, consultants, auditors, or other third parties in connection with any cybersecurity risk assessment program 
 • Whether the registrant has policies and procedures to oversee, identify, and mitigate the cybersecurity risks associated with its use of any third- party service provider (including, but not limited to, those providers that have access to the registrant’s customer and employee data), including whether and how cybersecurity considerations affect the selection and oversight of these providers and contractual and other mechanisms the company uses to mitigate cybersecurity risks related to these providers 
• Whether the registrant undertakes activities to prevent, detect, and minimize effects of cybersecurity incidents  
• Whether the registrant has business continuity, contingency, and recovery plans in the event of a cybersecurity incident 
• Whether previous cybersecurity incidents have informed changes in the registrant’s governance, policies and procedures, or technologies
• Whether cybersecurity related risk and incidents have affected or are reasonably likely to affect the registrant’s results of operations or financial condition and if so, how 
• Whether cybersecurity risks are considered as part of the registrant’s business strategy, financial planning, and capital allocation and if so, how ",Semantic,Superset of,8,9,"GV.OV-02.01: The organization regularly assesses its inherent technology and cybersecurity risks and ensures that changes to the business and threat environment lead to updates to the organization's strategies, programs, risk appetite and risk tolerance.",GOVERN / Oversight / Risk Management Strategy Review & Adjustment,GV.OV-02.01
