"03: Risk Management of Development, Acquisition, and Maintenance","Objective 3:  Evaluate whether management implements continuous risk management processes within the entity’s development, acquisition, and maintenance activities to identify reasonably foreseeable internal and external risks and threats, including those that could result in unauthorized disclosure, misuse, alteration, or destruction of customer information or customer information systems. (Section III, “Risk Management of Development, Acquisition, and Maintenance”)",FFIEC-DAM-03.02,"2.  Evaluate whether management has identified reasonably foreseeable internal and external risks and threats, including those that could result in unauthorized disclosure, misuse, alteration, or destruction of customer information or customer information systems. Consider management’s risk management actions in addressing the following:
a. Risks that could result in a severe disruption or material compromise to critical service delivery.
b. Policies, standards, and procedures for identifying, measuring, mitigating, monitoring, and reporting risks related to development, acquisition, and maintenance activities.
c. Repeatable process adoption, to ensure that risks are consistently addressed across the entity over time.
d. Risk identification and assessments involving stakeholders with business process knowledge who may be affected by the development, acquisition, or maintenance activities or the related IT projects.
e. Threat model usage commensurate with the overall threats to the entity, to assess appropriateness of security policies, standards, and procedures.
f. Process to review, accept, and document risk when management cannot mitigate or transfer risk, and its acceptance by the board.
g. Regular review and approval of risk acceptance decisions consistent with the entity’s governance structure.
h. Information security concerns.",Semantic,Intersects,9,10,"ID.RA-05.01: Threats, vulnerabilities, likelihoods, and impacts are used to determine overall technology, cybersecurity, and resilience risk to the organization.",IDENTIFY / Risk Assessment / Risk Exposure Determination & Prioritization,ID.RA-05.01,059.121,
"03: Risk Management of Development, Acquisition, and Maintenance","Objective 3:  Evaluate whether management implements continuous risk management processes within the entity’s development, acquisition, and maintenance activities to identify reasonably foreseeable internal and external risks and threats, including those that could result in unauthorized disclosure, misuse, alteration, or destruction of customer information or customer information systems. (Section III, “Risk Management of Development, Acquisition, and Maintenance”)",FFIEC-DAM-03.02,"2.  Evaluate whether management has identified reasonably foreseeable internal and external risks and threats, including those that could result in unauthorized disclosure, misuse, alteration, or destruction of customer information or customer information systems. Consider management’s risk management actions in addressing the following:
a. Risks that could result in a severe disruption or material compromise to critical service delivery.
b. Policies, standards, and procedures for identifying, measuring, mitigating, monitoring, and reporting risks related to development, acquisition, and maintenance activities.
c. Repeatable process adoption, to ensure that risks are consistently addressed across the entity over time.
d. Risk identification and assessments involving stakeholders with business process knowledge who may be affected by the development, acquisition, or maintenance activities or the related IT projects.
e. Threat model usage commensurate with the overall threats to the entity, to assess appropriateness of security policies, standards, and procedures.
f. Process to review, accept, and document risk when management cannot mitigate or transfer risk, and its acceptance by the board.
g. Regular review and approval of risk acceptance decisions consistent with the entity’s governance structure.
h. Information security concerns.",Semantic,Intersects,8,10,"ID.RA-05.02: The organization has established threat modeling capabilities to identify how and why critical assets might be compromised by a threat actor, what level of protection is needed for those critical assets, and what the impact would be if that protection failed.",IDENTIFY / Risk Assessment / Risk Exposure Determination & Prioritization,ID.RA-05.02,059.122,
"03: Risk Management of Development, Acquisition, and Maintenance","Objective 3:  Evaluate whether management implements continuous risk management processes within the entity’s development, acquisition, and maintenance activities to identify reasonably foreseeable internal and external risks and threats, including those that could result in unauthorized disclosure, misuse, alteration, or destruction of customer information or customer information systems. (Section III, “Risk Management of Development, Acquisition, and Maintenance”)",FFIEC-DAM-03.02,"2.  Evaluate whether management has identified reasonably foreseeable internal and external risks and threats, including those that could result in unauthorized disclosure, misuse, alteration, or destruction of customer information or customer information systems. Consider management’s risk management actions in addressing the following:
a. Risks that could result in a severe disruption or material compromise to critical service delivery.
b. Policies, standards, and procedures for identifying, measuring, mitigating, monitoring, and reporting risks related to development, acquisition, and maintenance activities.
c. Repeatable process adoption, to ensure that risks are consistently addressed across the entity over time.
d. Risk identification and assessments involving stakeholders with business process knowledge who may be affected by the development, acquisition, or maintenance activities or the related IT projects.
e. Threat model usage commensurate with the overall threats to the entity, to assess appropriateness of security policies, standards, and procedures.
f. Process to review, accept, and document risk when management cannot mitigate or transfer risk, and its acceptance by the board.
g. Regular review and approval of risk acceptance decisions consistent with the entity’s governance structure.
h. Information security concerns.",Semantic,Intersects,8,10,"ID.RA-05.03: The organization's business units assess, on an ongoing basis, the technology, cybersecurity, and resilience risks associated with the activities of the business unit.",IDENTIFY / Risk Assessment / Risk Exposure Determination & Prioritization,ID.RA-05.03,059.123,
"03: Risk Management of Development, Acquisition, and Maintenance","Objective 3:  Evaluate whether management implements continuous risk management processes within the entity’s development, acquisition, and maintenance activities to identify reasonably foreseeable internal and external risks and threats, including those that could result in unauthorized disclosure, misuse, alteration, or destruction of customer information or customer information systems. (Section III, “Risk Management of Development, Acquisition, and Maintenance”)",FFIEC-DAM-03.02,"2.  Evaluate whether management has identified reasonably foreseeable internal and external risks and threats, including those that could result in unauthorized disclosure, misuse, alteration, or destruction of customer information or customer information systems. Consider management’s risk management actions in addressing the following:
a. Risks that could result in a severe disruption or material compromise to critical service delivery.
b. Policies, standards, and procedures for identifying, measuring, mitigating, monitoring, and reporting risks related to development, acquisition, and maintenance activities.
c. Repeatable process adoption, to ensure that risks are consistently addressed across the entity over time.
d. Risk identification and assessments involving stakeholders with business process knowledge who may be affected by the development, acquisition, or maintenance activities or the related IT projects.
e. Threat model usage commensurate with the overall threats to the entity, to assess appropriateness of security policies, standards, and procedures.
f. Process to review, accept, and document risk when management cannot mitigate or transfer risk, and its acceptance by the board.
g. Regular review and approval of risk acceptance decisions consistent with the entity’s governance structure.
h. Information security concerns.",Semantic,Intersects,8,10,"ID.RA-05.04: The organization uses scenario planning, table-top-exercises, or similar event analysis techniques to identify vulnerabilities and determine potential impacts to critical infrastructure, technology, and business processes.",IDENTIFY / Risk Assessment / Risk Exposure Determination & Prioritization,ID.RA-05.04,059.124,
"03: Risk Management of Development, Acquisition, and Maintenance","Objective 3:  Evaluate whether management implements continuous risk management processes within the entity’s development, acquisition, and maintenance activities to identify reasonably foreseeable internal and external risks and threats, including those that could result in unauthorized disclosure, misuse, alteration, or destruction of customer information or customer information systems. (Section III, “Risk Management of Development, Acquisition, and Maintenance”)",FFIEC-DAM-03.02,"2.  Evaluate whether management has identified reasonably foreseeable internal and external risks and threats, including those that could result in unauthorized disclosure, misuse, alteration, or destruction of customer information or customer information systems. Consider management’s risk management actions in addressing the following:
a. Risks that could result in a severe disruption or material compromise to critical service delivery.
b. Policies, standards, and procedures for identifying, measuring, mitigating, monitoring, and reporting risks related to development, acquisition, and maintenance activities.
c. Repeatable process adoption, to ensure that risks are consistently addressed across the entity over time.
d. Risk identification and assessments involving stakeholders with business process knowledge who may be affected by the development, acquisition, or maintenance activities or the related IT projects.
e. Threat model usage commensurate with the overall threats to the entity, to assess appropriateness of security policies, standards, and procedures.
f. Process to review, accept, and document risk when management cannot mitigate or transfer risk, and its acceptance by the board.
g. Regular review and approval of risk acceptance decisions consistent with the entity’s governance structure.
h. Information security concerns.",Semantic,Intersects,9,10,"ID.RA-06.01: Technology and cybersecurity risk management programs and risk assessment processes produce actionable recommendations that the organization uses to select, design, prioritize, implement, maintain, evaluate, and modify cybersecurity and technology controls.",IDENTIFY / Risk Assessment / Risk Response Determination,ID.RA-06.01,060.125,
"03: Risk Management of Development, Acquisition, and Maintenance","Objective 3:  Evaluate whether management implements continuous risk management processes within the entity’s development, acquisition, and maintenance activities to identify reasonably foreseeable internal and external risks and threats, including those that could result in unauthorized disclosure, misuse, alteration, or destruction of customer information or customer information systems. (Section III, “Risk Management of Development, Acquisition, and Maintenance”)",FFIEC-DAM-03.02,"2.  Evaluate whether management has identified reasonably foreseeable internal and external risks and threats, including those that could result in unauthorized disclosure, misuse, alteration, or destruction of customer information or customer information systems. Consider management’s risk management actions in addressing the following:
a. Risks that could result in a severe disruption or material compromise to critical service delivery.
b. Policies, standards, and procedures for identifying, measuring, mitigating, monitoring, and reporting risks related to development, acquisition, and maintenance activities.
c. Repeatable process adoption, to ensure that risks are consistently addressed across the entity over time.
d. Risk identification and assessments involving stakeholders with business process knowledge who may be affected by the development, acquisition, or maintenance activities or the related IT projects.
e. Threat model usage commensurate with the overall threats to the entity, to assess appropriateness of security policies, standards, and procedures.
f. Process to review, accept, and document risk when management cannot mitigate or transfer risk, and its acceptance by the board.
g. Regular review and approval of risk acceptance decisions consistent with the entity’s governance structure.
h. Information security concerns.",Semantic,Intersects,9,10,"ID.RA-06.02: The implementation of responses to address identified risks (i.e., risk avoidance, risk mitigation, risk acceptance, or risk transfer (e.g., cyber insurance)) are formulated, assessed, documented, and prioritized based on criticality to the business.",IDENTIFY / Risk Assessment / Risk Response Determination,ID.RA-06.02,060.126,
"03: Risk Management of Development, Acquisition, and Maintenance","Objective 3:  Evaluate whether management implements continuous risk management processes within the entity’s development, acquisition, and maintenance activities to identify reasonably foreseeable internal and external risks and threats, including those that could result in unauthorized disclosure, misuse, alteration, or destruction of customer information or customer information systems. (Section III, “Risk Management of Development, Acquisition, and Maintenance”)",FFIEC-DAM-03.02,"2.  Evaluate whether management has identified reasonably foreseeable internal and external risks and threats, including those that could result in unauthorized disclosure, misuse, alteration, or destruction of customer information or customer information systems. Consider management’s risk management actions in addressing the following:
a. Risks that could result in a severe disruption or material compromise to critical service delivery.
b. Policies, standards, and procedures for identifying, measuring, mitigating, monitoring, and reporting risks related to development, acquisition, and maintenance activities.
c. Repeatable process adoption, to ensure that risks are consistently addressed across the entity over time.
d. Risk identification and assessments involving stakeholders with business process knowledge who may be affected by the development, acquisition, or maintenance activities or the related IT projects.
e. Threat model usage commensurate with the overall threats to the entity, to assess appropriateness of security policies, standards, and procedures.
f. Process to review, accept, and document risk when management cannot mitigate or transfer risk, and its acceptance by the board.
g. Regular review and approval of risk acceptance decisions consistent with the entity’s governance structure.
h. Information security concerns.",Semantic,Intersects,9,10,"ID.RA-07.04: Policy exceptions, risk mitigation plans, and risk acceptances resulting from assessments and evaluations, such as testing, exercises, audits, etc., are formally managed, approved, escalated to defined levels of management, and tracked to closure.",IDENTIFY / Risk Assessment / Change & Exception Management,ID.RA-07.04,061.134,
"03: Risk Management of Development, Acquisition, and Maintenance","Objective 3:  Evaluate whether management implements continuous risk management processes within the entity’s development, acquisition, and maintenance activities to identify reasonably foreseeable internal and external risks and threats, including those that could result in unauthorized disclosure, misuse, alteration, or destruction of customer information or customer information systems. (Section III, “Risk Management of Development, Acquisition, and Maintenance”)",FFIEC-DAM-03.03,"3.  Determine whether management has established effective risk measurement, monitoring, and reporting processes, including for emerging risks. Consider the following:
a. Implementation of effective standards to measure risk in the entity’s development, acquisition, and maintenance activities.
b. Establishment of an ongoing risk measurement process, commensurate with the size and complexity of the entity’s activities.
c. Communication of technical aspects through reports to the board that are clear and understandable to board members (e.g., explaining acronyms or technical jargon) and that relate IT issues to business concerns.
d. Receipt of reports on IT project risks, such as critical projects that may miss key milestone dates, identification of negative test results, or changes to business or technical requirements.",Semantic,Intersects,8,8,"GV.RM-05.01: The organization has a process for monitoring its technology, cybersecurity, and third-party risks, including escalating those risks that exceed risk appetite to management and identifying risks with the potential to impact multiple operating units.",GOVERN / Risk Management Strategy / Lines of Communication,GV.RM-05.01,013.028,
"03: Risk Management of Development, Acquisition, and Maintenance","Objective 3:  Evaluate whether management implements continuous risk management processes within the entity’s development, acquisition, and maintenance activities to identify reasonably foreseeable internal and external risks and threats, including those that could result in unauthorized disclosure, misuse, alteration, or destruction of customer information or customer information systems. (Section III, “Risk Management of Development, Acquisition, and Maintenance”)",FFIEC-DAM-03.03,"3.  Determine whether management has established effective risk measurement, monitoring, and reporting processes, including for emerging risks. Consider the following:
a. Implementation of effective standards to measure risk in the entity’s development, acquisition, and maintenance activities.
b. Establishment of an ongoing risk measurement process, commensurate with the size and complexity of the entity’s activities.
c. Communication of technical aspects through reports to the board that are clear and understandable to board members (e.g., explaining acronyms or technical jargon) and that relate IT issues to business concerns.
d. Receipt of reports on IT project risks, such as critical projects that may miss key milestone dates, identification of negative test results, or changes to business or technical requirements.",Semantic,Intersects,8,8,"GV.RM-08.06: Technology programs and projects are formally governed and stakeholder engagement is managed to facilitate effective communication, awareness, credible challenge, and decision-making.",GOVERN / Risk Management Strategy  / Technology Assimilation & Implementations,GV.RM-08.06,016.037,
"03: Risk Management of Development, Acquisition, and Maintenance","Objective 3:  Evaluate whether management implements continuous risk management processes within the entity’s development, acquisition, and maintenance activities to identify reasonably foreseeable internal and external risks and threats, including those that could result in unauthorized disclosure, misuse, alteration, or destruction of customer information or customer information systems. (Section III, “Risk Management of Development, Acquisition, and Maintenance”)",FFIEC-DAM-03.03,"3.  Determine whether management has established effective risk measurement, monitoring, and reporting processes, including for emerging risks. Consider the following:
a. Implementation of effective standards to measure risk in the entity’s development, acquisition, and maintenance activities.
b. Establishment of an ongoing risk measurement process, commensurate with the size and complexity of the entity’s activities.
c. Communication of technical aspects through reports to the board that are clear and understandable to board members (e.g., explaining acronyms or technical jargon) and that relate IT issues to business concerns.
d. Receipt of reports on IT project risks, such as critical projects that may miss key milestone dates, identification of negative test results, or changes to business or technical requirements.",Semantic,Intersects,8,8,"GV.RM-08.07: Technology projects follow an established project management methodology to manage delivery and delivery risks, produce consistent quality, and achieve business objectives and value.",GOVERN / Risk Management Strategy  / Technology Assimilation & Implementations,GV.RM-08.07,016.038,
"03: Risk Management of Development, Acquisition, and Maintenance","Objective 3:  Evaluate whether management implements continuous risk management processes within the entity’s development, acquisition, and maintenance activities to identify reasonably foreseeable internal and external risks and threats, including those that could result in unauthorized disclosure, misuse, alteration, or destruction of customer information or customer information systems. (Section III, “Risk Management of Development, Acquisition, and Maintenance”)",FFIEC-DAM-03.03,"3.  Determine whether management has established effective risk measurement, monitoring, and reporting processes, including for emerging risks. Consider the following:
a. Implementation of effective standards to measure risk in the entity’s development, acquisition, and maintenance activities.
b. Establishment of an ongoing risk measurement process, commensurate with the size and complexity of the entity’s activities.
c. Communication of technical aspects through reports to the board that are clear and understandable to board members (e.g., explaining acronyms or technical jargon) and that relate IT issues to business concerns.
d. Receipt of reports on IT project risks, such as critical projects that may miss key milestone dates, identification of negative test results, or changes to business or technical requirements.",Semantic,Intersects,8,8,"GV.OV-03.01: The organization develops, implements, and reports to management and the governing body (e.g., the Board or one of its committees) key technology and cybersecurity risk and performance indicators and metrics to measure, monitor, and report actionable indicators.",GOVERN / Oversight / Risk Management Performance Measurement,GV.OV-03.01,029.073,
"03: Risk Management of Development, Acquisition, and Maintenance","Objective 3:  Evaluate whether management implements continuous risk management processes within the entity’s development, acquisition, and maintenance activities to identify reasonably foreseeable internal and external risks and threats, including those that could result in unauthorized disclosure, misuse, alteration, or destruction of customer information or customer information systems. (Section III, “Risk Management of Development, Acquisition, and Maintenance”)",FFIEC-DAM-03.03,"3.  Determine whether management has established effective risk measurement, monitoring, and reporting processes, including for emerging risks. Consider the following:
a. Implementation of effective standards to measure risk in the entity’s development, acquisition, and maintenance activities.
b. Establishment of an ongoing risk measurement process, commensurate with the size and complexity of the entity’s activities.
c. Communication of technical aspects through reports to the board that are clear and understandable to board members (e.g., explaining acronyms or technical jargon) and that relate IT issues to business concerns.
d. Receipt of reports on IT project risks, such as critical projects that may miss key milestone dates, identification of negative test results, or changes to business or technical requirements.",Semantic,Intersects,8,8,"ID.RA-01.02: The organization's business units ensure that information regarding cyber risk is shared with the appropriate level of senior management in a timely manner, so that they can address and respond to emerging cyber risk.",IDENTIFY / Risk Assessment / Asset Vulnerability Identification,ID.RA-01.02,055.112,
"03: Risk Management of Development, Acquisition, and Maintenance","Objective 3:  Evaluate whether management implements continuous risk management processes within the entity’s development, acquisition, and maintenance activities to identify reasonably foreseeable internal and external risks and threats, including those that could result in unauthorized disclosure, misuse, alteration, or destruction of customer information or customer information systems. (Section III, “Risk Management of Development, Acquisition, and Maintenance”)",FFIEC-DAM-03.03,"3.  Determine whether management has established effective risk measurement, monitoring, and reporting processes, including for emerging risks. Consider the following:
a. Implementation of effective standards to measure risk in the entity’s development, acquisition, and maintenance activities.
b. Establishment of an ongoing risk measurement process, commensurate with the size and complexity of the entity’s activities.
c. Communication of technical aspects through reports to the board that are clear and understandable to board members (e.g., explaining acronyms or technical jargon) and that relate IT issues to business concerns.
d. Receipt of reports on IT project risks, such as critical projects that may miss key milestone dates, identification of negative test results, or changes to business or technical requirements.",Semantic,Intersects,8,8,"ID.RA-03.01: The organization, on an ongoing basis, identifies, analyzes, correlates, characterizes, and reports threats that are internal and external to the firm.",IDENTIFY / Risk Assessment / Threat Identification,ID.RA-03.01,057.116,
"03: Risk Management of Development, Acquisition, and Maintenance","Objective 3:  Evaluate whether management implements continuous risk management processes within the entity’s development, acquisition, and maintenance activities to identify reasonably foreseeable internal and external risks and threats, including those that could result in unauthorized disclosure, misuse, alteration, or destruction of customer information or customer information systems. (Section III, “Risk Management of Development, Acquisition, and Maintenance”)",FFIEC-DAM-03.03,"3.  Determine whether management has established effective risk measurement, monitoring, and reporting processes, including for emerging risks. Consider the following:
a. Implementation of effective standards to measure risk in the entity’s development, acquisition, and maintenance activities.
b. Establishment of an ongoing risk measurement process, commensurate with the size and complexity of the entity’s activities.
c. Communication of technical aspects through reports to the board that are clear and understandable to board members (e.g., explaining acronyms or technical jargon) and that relate IT issues to business concerns.
d. Receipt of reports on IT project risks, such as critical projects that may miss key milestone dates, identification of negative test results, or changes to business or technical requirements.",Semantic,Intersects,8,8,"ID.IM-01.02: The organization implements a regular process to collect, store, report, benchmark, and assess trends in actionable performance indicators and risk metrics (e.g., threat KRIs, security incident metrics, vulnerability metrics, and operational measures).",IDENTIFY / Improvement / Continuous Improvements Evaluation,ID.IM-01.02,064.139,
"03: Risk Management of Development, Acquisition, and Maintenance","Objective 3:  Evaluate whether management implements continuous risk management processes within the entity’s development, acquisition, and maintenance activities to identify reasonably foreseeable internal and external risks and threats, including those that could result in unauthorized disclosure, misuse, alteration, or destruction of customer information or customer information systems. (Section III, “Risk Management of Development, Acquisition, and Maintenance”)",FFIEC-DAM-03.03,"3.  Determine whether management has established effective risk measurement, monitoring, and reporting processes, including for emerging risks. Consider the following:
a. Implementation of effective standards to measure risk in the entity’s development, acquisition, and maintenance activities.
b. Establishment of an ongoing risk measurement process, commensurate with the size and complexity of the entity’s activities.
c. Communication of technical aspects through reports to the board that are clear and understandable to board members (e.g., explaining acronyms or technical jargon) and that relate IT issues to business concerns.
d. Receipt of reports on IT project risks, such as critical projects that may miss key milestone dates, identification of negative test results, or changes to business or technical requirements.",Semantic,Intersects,7,8,"ID.IM-01.04: Technology and cybersecurity programs include elements designed to assess, manage, and continually improve the quality of program delivery in addressing stakeholder requirements and risk reduction.",IDENTIFY / Improvement / Continuous Improvements Evaluation,ID.IM-01.04,064.141,
"03: Risk Management of Development, Acquisition, and Maintenance","Objective 3:  Evaluate whether management implements continuous risk management processes within the entity’s development, acquisition, and maintenance activities to identify reasonably foreseeable internal and external risks and threats, including those that could result in unauthorized disclosure, misuse, alteration, or destruction of customer information or customer information systems. (Section III, “Risk Management of Development, Acquisition, and Maintenance”)",FFIEC-DAM-03.03,"3.  Determine whether management has established effective risk measurement, monitoring, and reporting processes, including for emerging risks. Consider the following:
a. Implementation of effective standards to measure risk in the entity’s development, acquisition, and maintenance activities.
b. Establishment of an ongoing risk measurement process, commensurate with the size and complexity of the entity’s activities.
c. Communication of technical aspects through reports to the board that are clear and understandable to board members (e.g., explaining acronyms or technical jargon) and that relate IT issues to business concerns.
d. Receipt of reports on IT project risks, such as critical projects that may miss key milestone dates, identification of negative test results, or changes to business or technical requirements.",Semantic,Intersects,8,8,"ID.IM-01.05: The organization's third-party risk management program is regularly assessed, reported on, and improved.",IDENTIFY / Improvement / Continuous Improvements Evaluation,ID.IM-01.05,064.142,
"04: Common Development, Acquisition, and Maintenance Risk Topics","Objective 4:  Evaluate whether management has implemented effective risk mitigation throughout development, acquisition, and maintenance activities regardless of the phase of the project in the life cycle and agnostic as to the type of technology. Specific risks and controls should be considered depending on management’s chosen solution. (Section IV, “Common Development, Acquisition, and Maintenance Risk Topics”)

For this objective, examiners should review and assess the following:
- Systems, components, and services, including related contracts and licenses, throughout the supply chain for appropriate risk identification and mitigation.
- Secure coding standards, configurations, and security controls used to harden each system or component, data, and activity logs for appropriate processes and implementation and maintenance of confidentiality, integrity, and availability.
- Inventory of all systems, components (e.g., open-source, proprietary, APIs, and container images and registries), including related licenses, and data as part of ITAM.
- Processes for access controls, authorization, and authentication for systems and components, data, and related documentation throughout the supply chain to ensure appropriate security.
- Roles and responsibilities to evaluate segregation of duties in and ongoing management commitment to development, acquisition, and maintenance activities.
- Process of selecting and implementing methodologies to enable effective management and control of development, acquisition, or maintenance projects and alignment with entity objectives.
- Operating parameters (e.g., timing, speed, throughput, and data validation) for systems and components to determine performance.
- Activity logs related to systems, components, and data to identify operating risks.
- Monitoring processes of development and maintenance activity for identification of anomalies and unauthorized access or modification to systems, components, and data.
- Reporting processes for decision-making and measuring the level of project success.
- Training on development, acquisition, and maintenance concepts (e.g., methodologies); effectiveness of training; and capability of personnel to implement concepts learned.
- Documentation of internally developed programs and externally procured products and services to effectively operate and maintain the systems and components.
- Evaluation process (e.g., post-implementation review, stakeholder interview, problem documentation and resolution, cost-benefit analysis, and reports to senior management) for development, acquisition, and maintenance projects.",FFIEC-DAM-04.01,"1.  Evaluate management’s oversight of use of open-source and COTS components. Consider the following:
a. Identification and mitigation of risks related to the use of open-source components.
b. Evaluation of documentation providing support if there are open-source components supporting any line of business.
c. Proactive maintenance of updated application and user documentation, especially when code changes are made.
d. Consultation with third-party providers and vendors regarding recommended security controls to harden the COTS solution.
e. Mitigation of risks related to integration (e.g., lack of interoperability or integration between systems and components).",Semantic,Intersects,6,7,"ID.AM-08.02: The organization establishes policies, and employs methods to identify, assess, and manage technology solutions that are acquired, managed, or used outside of established, governed technology and cybersecurity processes (i.e., ""Shadow IT"").",IDENTIFY / Asset Management / Asset Life Cycle Management,ID.AM-08.02,053.106,
"04: Common Development, Acquisition, and Maintenance Risk Topics","Objective 4:  Evaluate whether management has implemented effective risk mitigation throughout development, acquisition, and maintenance activities regardless of the phase of the project in the life cycle and agnostic as to the type of technology. Specific risks and controls should be considered depending on management’s chosen solution. (Section IV, “Common Development, Acquisition, and Maintenance Risk Topics”)

For this objective, examiners should review and assess the following:
- Systems, components, and services, including related contracts and licenses, throughout the supply chain for appropriate risk identification and mitigation.
- Secure coding standards, configurations, and security controls used to harden each system or component, data, and activity logs for appropriate processes and implementation and maintenance of confidentiality, integrity, and availability.
- Inventory of all systems, components (e.g., open-source, proprietary, APIs, and container images and registries), including related licenses, and data as part of ITAM.
- Processes for access controls, authorization, and authentication for systems and components, data, and related documentation throughout the supply chain to ensure appropriate security.
- Roles and responsibilities to evaluate segregation of duties in and ongoing management commitment to development, acquisition, and maintenance activities.
- Process of selecting and implementing methodologies to enable effective management and control of development, acquisition, or maintenance projects and alignment with entity objectives.
- Operating parameters (e.g., timing, speed, throughput, and data validation) for systems and components to determine performance.
- Activity logs related to systems, components, and data to identify operating risks.
- Monitoring processes of development and maintenance activity for identification of anomalies and unauthorized access or modification to systems, components, and data.
- Reporting processes for decision-making and measuring the level of project success.
- Training on development, acquisition, and maintenance concepts (e.g., methodologies); effectiveness of training; and capability of personnel to implement concepts learned.
- Documentation of internally developed programs and externally procured products and services to effectively operate and maintain the systems and components.
- Evaluation process (e.g., post-implementation review, stakeholder interview, problem documentation and resolution, cost-benefit analysis, and reports to senior management) for development, acquisition, and maintenance projects.",FFIEC-DAM-04.01,"1.  Evaluate management’s oversight of use of open-source and COTS components. Consider the following:
a. Identification and mitigation of risks related to the use of open-source components.
b. Evaluation of documentation providing support if there are open-source components supporting any line of business.
c. Proactive maintenance of updated application and user documentation, especially when code changes are made.
d. Consultation with third-party providers and vendors regarding recommended security controls to harden the COTS solution.
e. Mitigation of risks related to integration (e.g., lack of interoperability or integration between systems and components).",Semantic,Intersects,7,7,"EX.DD-04.01: The organization defines and implements procedures for assessing the compatibility, security, integrity, and authenticity of externally-developed or externally-sourced applications, software, software components, and firmware before deployment and upon any major change.",<div>EXTEND / Procurement Planning and Due Diligence / Product &amp; Service Due Diligence</div>,EX.DD-04.01,145.297,
"04: Common Development, Acquisition, and Maintenance Risk Topics","Objective 4:  Evaluate whether management has implemented effective risk mitigation throughout development, acquisition, and maintenance activities regardless of the phase of the project in the life cycle and agnostic as to the type of technology. Specific risks and controls should be considered depending on management’s chosen solution. (Section IV, “Common Development, Acquisition, and Maintenance Risk Topics”)

For this objective, examiners should review and assess the following:
- Systems, components, and services, including related contracts and licenses, throughout the supply chain for appropriate risk identification and mitigation.
- Secure coding standards, configurations, and security controls used to harden each system or component, data, and activity logs for appropriate processes and implementation and maintenance of confidentiality, integrity, and availability.
- Inventory of all systems, components (e.g., open-source, proprietary, APIs, and container images and registries), including related licenses, and data as part of ITAM.
- Processes for access controls, authorization, and authentication for systems and components, data, and related documentation throughout the supply chain to ensure appropriate security.
- Roles and responsibilities to evaluate segregation of duties in and ongoing management commitment to development, acquisition, and maintenance activities.
- Process of selecting and implementing methodologies to enable effective management and control of development, acquisition, or maintenance projects and alignment with entity objectives.
- Operating parameters (e.g., timing, speed, throughput, and data validation) for systems and components to determine performance.
- Activity logs related to systems, components, and data to identify operating risks.
- Monitoring processes of development and maintenance activity for identification of anomalies and unauthorized access or modification to systems, components, and data.
- Reporting processes for decision-making and measuring the level of project success.
- Training on development, acquisition, and maintenance concepts (e.g., methodologies); effectiveness of training; and capability of personnel to implement concepts learned.
- Documentation of internally developed programs and externally procured products and services to effectively operate and maintain the systems and components.
- Evaluation process (e.g., post-implementation review, stakeholder interview, problem documentation and resolution, cost-benefit analysis, and reports to senior management) for development, acquisition, and maintenance projects.",FFIEC-DAM-04.01,"1.  Evaluate management’s oversight of use of open-source and COTS components. Consider the following:
a. Identification and mitigation of risks related to the use of open-source components.
b. Evaluation of documentation providing support if there are open-source components supporting any line of business.
c. Proactive maintenance of updated application and user documentation, especially when code changes are made.
d. Consultation with third-party providers and vendors regarding recommended security controls to harden the COTS solution.
e. Mitigation of risks related to integration (e.g., lack of interoperability or integration between systems and components).",Semantic,Intersects,7,7,"EX.MM-02.03: The organization collaborates with suppliers to maintain and improve the secure use of products, services, and external connections.",EXTEND / Monitoring and Managing Suppliers / Ongoing Third-Party Management,EX.MM-02.03,151.314,
