3. Technology Risk Governance and Oversight / 3.1 Roles of the Board of Directors and Senior Management,TR-3.1.6,"3.1.6: Given that technology underpins many of the operations and services offered by an FI, the board of directors and senior management should set the tone from the top and cultivate a strong culture of technology risk awareness and management at all levels of staff within the FI.",Full Summarily,"PR.AT-02.07: The organization's governing body (e.g., the Board or one of its committees) and senior management receive cybersecurity situational awareness training to include appropriate skills and knowledge to: 
(1) Evaluate and manage cyber risks;
(2) Promote a culture that recognizes that staff at all levels have important responsibilities in ensuring the organization's cyber resilience; and
(3) Lead by example.",PROTECT / Awareness and Training / Specialized Role Awareness & Training,PR.AT-02.07
3. Technology Risk Governance and Oversight / 3.1 Roles of the Board of Directors and Senior Management,TR-3.1.7,"3.1.7: The board of directors or a committee delegated by it, is responsible for: 
a) ensuring a sound and robust risk management framework is established and maintained to manage technology risks;
b) ensuring there is a technology risk management function to oversee the technology risk management framework and strategy, as well as to provide an independent view of the technology risks faced by the FI;
c) giving senior executives, who are responsible for executing the FI’s technology risk management strategy, sufficient authority, resources and access to the board of directors;
d) approving the risk appetite and risk tolerance statement that articulates the nature and extent of technology risks that the FI is willing and able to assume;
e) undertaking regular reviews of the technology risk management strategy for continued relevance;
f) assessing management competencies for managing technology risks; and
g) ensuring an independent audit function is established to assess the effectiveness of controls, risk management and governance of the FI.",Full Summarily,"GV.RM-01.01: Technology and cybersecurity risk management strategies and frameworks are approved by the governing authority (e.g., the Board or one of its committees) and incorporated into the overall business strategy and enterprise risk management framework.",GOVERN / Risk Management Strategy / Risk Management Objectives Agreement,GV.RM-01.01
3. Technology Risk Governance and Oversight / 3.1 Roles of the Board of Directors and Senior Management,TR-3.1.7,"3.1.7: The board of directors or a committee delegated by it, is responsible for: 
a) ensuring a sound and robust risk management framework is established and maintained to manage technology risks;
b) ensuring there is a technology risk management function to oversee the technology risk management framework and strategy, as well as to provide an independent view of the technology risks faced by the FI;
c) giving senior executives, who are responsible for executing the FI’s technology risk management strategy, sufficient authority, resources and access to the board of directors;
d) approving the risk appetite and risk tolerance statement that articulates the nature and extent of technology risks that the FI is willing and able to assume;
e) undertaking regular reviews of the technology risk management strategy for continued relevance;
f) assessing management competencies for managing technology risks; and
g) ensuring an independent audit function is established to assess the effectiveness of controls, risk management and governance of the FI.",Full Summarily,"GV.RM-02.01: The governing authority (e.g., the Board or one of its committees) endorses and regularly reviews technology and cybersecurity risk appetite and is regularly informed about the status of, and material changes to, the organization's inherent risk profile.",GOVERN / Risk Management Strategy / Risk Appetite & Risk Tolerance Statements,GV.RM-02.01
3. Technology Risk Governance and Oversight / 3.1 Roles of the Board of Directors and Senior Management,TR-3.1.7,"3.1.7: The board of directors or a committee delegated by it, is responsible for: 
a) ensuring a sound and robust risk management framework is established and maintained to manage technology risks;
b) ensuring there is a technology risk management function to oversee the technology risk management framework and strategy, as well as to provide an independent view of the technology risks faced by the FI;
c) giving senior executives, who are responsible for executing the FI’s technology risk management strategy, sufficient authority, resources and access to the board of directors;
d) approving the risk appetite and risk tolerance statement that articulates the nature and extent of technology risks that the FI is willing and able to assume;
e) undertaking regular reviews of the technology risk management strategy for continued relevance;
f) assessing management competencies for managing technology risks; and
g) ensuring an independent audit function is established to assess the effectiveness of controls, risk management and governance of the FI.",Full Summarily,"GV.RM-02.02: The organization has established statements of technology and cybersecurity risk tolerance consistent with its risk appetite, and has integrated them into technology, cybersecurity, operational, and enterprise risk management practices.",GOVERN / Risk Management Strategy / Risk Appetite & Risk Tolerance Statements,GV.RM-02.02
3. Technology Risk Governance and Oversight / 3.1 Roles of the Board of Directors and Senior Management,TR-3.1.7,"3.1.7: The board of directors or a committee delegated by it, is responsible for: 
a) ensuring a sound and robust risk management framework is established and maintained to manage technology risks;
b) ensuring there is a technology risk management function to oversee the technology risk management framework and strategy, as well as to provide an independent view of the technology risks faced by the FI;
c) giving senior executives, who are responsible for executing the FI’s technology risk management strategy, sufficient authority, resources and access to the board of directors;
d) approving the risk appetite and risk tolerance statement that articulates the nature and extent of technology risks that the FI is willing and able to assume;
e) undertaking regular reviews of the technology risk management strategy for continued relevance;
f) assessing management competencies for managing technology risks; and
g) ensuring an independent audit function is established to assess the effectiveness of controls, risk management and governance of the FI.",Full Summarily,"GV.RM-04.01: The governing authority (e.g., the Board or one of its committees) and senior management provide guidance, direction, and credible challenge in the design and implementation of risk management strategies, assessment of identified risks against risk appetite and risk tolerance, and in the selection of risk treatment approaches.",GOVERN / Risk Management Strategy / Risk Response Strategic Direction,GV.RM-04.01
3. Technology Risk Governance and Oversight / 3.1 Roles of the Board of Directors and Senior Management,TR-3.1.7,"3.1.7: The board of directors or a committee delegated by it, is responsible for: 
a) ensuring a sound and robust risk management framework is established and maintained to manage technology risks;
b) ensuring there is a technology risk management function to oversee the technology risk management framework and strategy, as well as to provide an independent view of the technology risks faced by the FI;
c) giving senior executives, who are responsible for executing the FI’s technology risk management strategy, sufficient authority, resources and access to the board of directors;
d) approving the risk appetite and risk tolerance statement that articulates the nature and extent of technology risks that the FI is willing and able to assume;
e) undertaking regular reviews of the technology risk management strategy for continued relevance;
f) assessing management competencies for managing technology risks; and
g) ensuring an independent audit function is established to assess the effectiveness of controls, risk management and governance of the FI.",Full Summarily,GV.RR-03.02: The organization regularly assesses its skill and resource level requirements against its current personnel complement to determine gaps in resource need.,"GOVERN / Roles, Responsibilities, and Authorities / Resource Adequacy",GV.RR-03.02
3. Technology Risk Governance and Oversight / 3.1 Roles of the Board of Directors and Senior Management,TR-3.1.7,"3.1.7: The board of directors or a committee delegated by it, is responsible for: 
a) ensuring a sound and robust risk management framework is established and maintained to manage technology risks;
b) ensuring there is a technology risk management function to oversee the technology risk management framework and strategy, as well as to provide an independent view of the technology risks faced by the FI;
c) giving senior executives, who are responsible for executing the FI’s technology risk management strategy, sufficient authority, resources and access to the board of directors;
d) approving the risk appetite and risk tolerance statement that articulates the nature and extent of technology risks that the FI is willing and able to assume;
e) undertaking regular reviews of the technology risk management strategy for continued relevance;
f) assessing management competencies for managing technology risks; and
g) ensuring an independent audit function is established to assess the effectiveness of controls, risk management and governance of the FI.",Full Summarily,"GV.RR-03.03: The organization provides adequate resources, appropriate authority, and access to the governing authority for the designated Cybersecurity Officer (e.g., CISO).","GOVERN / Roles, Responsibilities, and Authorities / Resource Adequacy",GV.RR-03.03
3. Technology Risk Governance and Oversight / 3.1 Roles of the Board of Directors and Senior Management,TR-3.1.7,"3.1.7: The board of directors or a committee delegated by it, is responsible for: 
a) ensuring a sound and robust risk management framework is established and maintained to manage technology risks;
b) ensuring there is a technology risk management function to oversee the technology risk management framework and strategy, as well as to provide an independent view of the technology risks faced by the FI;
c) giving senior executives, who are responsible for executing the FI’s technology risk management strategy, sufficient authority, resources and access to the board of directors;
d) approving the risk appetite and risk tolerance statement that articulates the nature and extent of technology risks that the FI is willing and able to assume;
e) undertaking regular reviews of the technology risk management strategy for continued relevance;
f) assessing management competencies for managing technology risks; and
g) ensuring an independent audit function is established to assess the effectiveness of controls, risk management and governance of the FI.",Full Summarily,"GV.OV-01.01: The governing authority (e.g., the Board or one of its committees) regularly reviews and evaluates the organization's ability to manage its technology, cybersecurity, third-party, and resilience risks.",GOVERN / Oversight / Risk Management Strategy Outcomes Review,GV.OV-01.01
3. Technology Risk Governance and Oversight / 3.1 Roles of the Board of Directors and Senior Management,TR-3.1.7,"3.1.7: The board of directors or a committee delegated by it, is responsible for: 
a) ensuring a sound and robust risk management framework is established and maintained to manage technology risks;
b) ensuring there is a technology risk management function to oversee the technology risk management framework and strategy, as well as to provide an independent view of the technology risks faced by the FI;
c) giving senior executives, who are responsible for executing the FI’s technology risk management strategy, sufficient authority, resources and access to the board of directors;
d) approving the risk appetite and risk tolerance statement that articulates the nature and extent of technology risks that the FI is willing and able to assume;
e) undertaking regular reviews of the technology risk management strategy for continued relevance;
f) assessing management competencies for managing technology risks; and
g) ensuring an independent audit function is established to assess the effectiveness of controls, risk management and governance of the FI.",Full Summarily,GV.IR-01.01: The organization's enterprise-wide technology and cybersecurity risk management frameworks align with and support an independent risk management function that provides assurance that the frameworks are implemented consistently and as intended.,GOVERN / Independent Risk Management Function / Independent Risk Management Function,GV.IR-01.01
3. Technology Risk Governance and Oversight / 3.1 Roles of the Board of Directors and Senior Management,TR-3.1.7,"3.1.7: The board of directors or a committee delegated by it, is responsible for: 
a) ensuring a sound and robust risk management framework is established and maintained to manage technology risks;
b) ensuring there is a technology risk management function to oversee the technology risk management framework and strategy, as well as to provide an independent view of the technology risks faced by the FI;
c) giving senior executives, who are responsible for executing the FI’s technology risk management strategy, sufficient authority, resources and access to the board of directors;
d) approving the risk appetite and risk tolerance statement that articulates the nature and extent of technology risks that the FI is willing and able to assume;
e) undertaking regular reviews of the technology risk management strategy for continued relevance;
f) assessing management competencies for managing technology risks; and
g) ensuring an independent audit function is established to assess the effectiveness of controls, risk management and governance of the FI.",Full Summarily,"GV.AU-01.03: The independent audit function tests technology management, cybersecurity, incident response, and resilience policies and controls.",GOVERN / Independent Audit Function / Independent Audit Compliance Assessment,GV.AU-01.03
