,,CRI Profile ver. 2.1 to NIST SP 800-53 Rev. 5.1.1 Mapping,CRI Profile ver. 2.1 to NIST SP 800-53 Rev. 5.1.1 Mapping,CRI Profile ver. 2.1 to NIST SP 800-53 Rev. 5.1.1 Mapping,CRI Profile ver. 2.1 to NIST SP 800-53 Rev. 5.1.1 Mapping,CRI Profile ver. 2.1 to NIST SP 800-53 Rev. 5.1.1 Mapping,CRI Profile ver. 2.1 to NIST SP 800-53 Rev. 5.1.1 Mapping,CRI Profile ver. 2.1 to NIST SP 800-53 Rev. 5.1.1 Mapping,CRI Profile ver. 2.1 to NIST SP 800-53 Rev. 5.1.1 Mapping,CRI Profile ver. 2.1 to NIST SP 800-53 Rev. 5.1.1 Mapping,CRI Profile ver. 2.1 to NIST SP 800-53 Rev. 5.1.1 Mapping,
CP-01,Contingency Planning (CP),Policy and Procedures,"a.  Develop, document, and disseminate to [Assignment: organization-defined personnel or roles]:
1.  [Selection (one or more): Organization-level; Mission/business process-level; System-level] contingency planning policy that:
(a)  Addresses purpose, scope, roles, responsibilities, management commitment, coordination among organizational entities, and compliance; and
(b)  Is consistent with applicable laws, executive orders, directives, regulations, policies, standards, and guidelines; and
2.  Procedures to facilitate the implementation of the contingency planning policy and the associated contingency planning controls;
b.  Designate an [Assignment: organization-defined official] to manage the development, documentation, and dissemination of the contingency planning policy and procedures; and
c.  Review and update the current contingency planning:
1.  Policy [Assignment: organization-defined frequency] and following [Assignment: organization-defined events]; and
2.  Procedures [Assignment: organization-defined frequency] and following [Assignment: organization-defined events].
",Semantic,Equal,10,10,"GV.PO-01.07: The organization maintains documented business continuity and resilience program policies and procedures approved by the governing authority (e.g., the Board or one of its committees).","GOVERN / Policies, Processes, and Procedures / Establishment of Policies & Procedures",GV.PO-01.07,024.065,
CP-01,Contingency Planning (CP),Policy and Procedures,"a.  Develop, document, and disseminate to [Assignment: organization-defined personnel or roles]:
1.  [Selection (one or more): Organization-level; Mission/business process-level; System-level] contingency planning policy that:
(a)  Addresses purpose, scope, roles, responsibilities, management commitment, coordination among organizational entities, and compliance; and
(b)  Is consistent with applicable laws, executive orders, directives, regulations, policies, standards, and guidelines; and
2.  Procedures to facilitate the implementation of the contingency planning policy and the associated contingency planning controls;
b.  Designate an [Assignment: organization-defined official] to manage the development, documentation, and dissemination of the contingency planning policy and procedures; and
c.  Review and update the current contingency planning:
1.  Policy [Assignment: organization-defined frequency] and following [Assignment: organization-defined events]; and
2.  Procedures [Assignment: organization-defined frequency] and following [Assignment: organization-defined events].
",Semantic,Subset of ,9,10,"GV.PO-02.01: The cybersecurity policy is regularly reviewed, revised, and communicated under the leadership of a designated Cybersecurity Officer (e.g., CISO) to address changes in the risk profile and risk appetite, the evolving threat environment, and new technologies, products, services, and interdependencies.","GOVERN / Policies, Processes, and Procedures / Policy & Procedure Review & Update",GV.PO-02.01,025.067,
CP-02,Contingency Planning (CP),Contingency Plan,"a.  Develop a contingency plan for the system that:
1.  Identifies essential mission and business functions and associated contingency requirements;
2.  Provides recovery objectives, restoration priorities, and metrics;
3.  Addresses contingency roles, responsibilities, assigned individuals with contact information;
4.  Addresses maintaining essential mission and business functions despite a system disruption, compromise, or failure;
5.  Addresses eventual, full system restoration without deterioration of the controls originally planned and implemented;
6.  Addresses the sharing of contingency information; and
7.  Is reviewed and approved by [Assignment: organization-defined personnel or roles];
b.  Distribute copies of the contingency plan to [Assignment: organization-defined key contingency personnel (identified by name and/or by role) and organizational elements];
c.  Coordinate contingency planning activities with incident handling activities;
d.  Review the contingency plan for the system [Assignment: organization-defined frequency];
e.  Update the contingency plan to address changes to the organization, system, or environment of operation and problems encountered during contingency plan implementation, execution, or testing;
f.  Communicate contingency plan changes to [Assignment: organization-defined key contingency personnel (identified by name and/or by role) and organizational elements];
g.  Incorporate lessons learned from contingency plan testing, training, or actual contingency activities into contingency testing and training; and
h.  Protect the contingency plan from unauthorized disclosure and modification.
",Semantic,Superset of,9,10,"GV.OC-04.03: Resilience requirements to support the delivery of critical services are established for all operating states (e.g., under duress/attack, during recovery, and normal operations).",GOVERN / Organizational Context / Stakeholder Service Expectations,GV.OC-04.03,006.009,
CP-02,Contingency Planning (CP),Contingency Plan,"a.  Develop a contingency plan for the system that:
1.  Identifies essential mission and business functions and associated contingency requirements;
2.  Provides recovery objectives, restoration priorities, and metrics;
3.  Addresses contingency roles, responsibilities, assigned individuals with contact information;
4.  Addresses maintaining essential mission and business functions despite a system disruption, compromise, or failure;
5.  Addresses eventual, full system restoration without deterioration of the controls originally planned and implemented;
6.  Addresses the sharing of contingency information; and
7.  Is reviewed and approved by [Assignment: organization-defined personnel or roles];
b.  Distribute copies of the contingency plan to [Assignment: organization-defined key contingency personnel (identified by name and/or by role) and organizational elements];
c.  Coordinate contingency planning activities with incident handling activities;
d.  Review the contingency plan for the system [Assignment: organization-defined frequency];
e.  Update the contingency plan to address changes to the organization, system, or environment of operation and problems encountered during contingency plan implementation, execution, or testing;
f.  Communicate contingency plan changes to [Assignment: organization-defined key contingency personnel (identified by name and/or by role) and organizational elements];
g.  Incorporate lessons learned from contingency plan testing, training, or actual contingency activities into contingency testing and training; and
h.  Protect the contingency plan from unauthorized disclosure and modification.
",Semantic,Superset of,9,10,"GV.OC-05.01: The organization identifies, assesses, and documents the key dependencies, interdependencies, and potential points of failure to support the delivery of critical services (e.g., systems, business processes, workforce, third parties, facilities, etc.)",GOVERN / Organizational Context / Organizational Service Dependencies,GV.OC-05.01,007.011,
CP-02,Contingency Planning (CP),Contingency Plan,"a.  Develop a contingency plan for the system that:
1.  Identifies essential mission and business functions and associated contingency requirements;
2.  Provides recovery objectives, restoration priorities, and metrics;
3.  Addresses contingency roles, responsibilities, assigned individuals with contact information;
4.  Addresses maintaining essential mission and business functions despite a system disruption, compromise, or failure;
5.  Addresses eventual, full system restoration without deterioration of the controls originally planned and implemented;
6.  Addresses the sharing of contingency information; and
7.  Is reviewed and approved by [Assignment: organization-defined personnel or roles];
b.  Distribute copies of the contingency plan to [Assignment: organization-defined key contingency personnel (identified by name and/or by role) and organizational elements];
c.  Coordinate contingency planning activities with incident handling activities;
d.  Review the contingency plan for the system [Assignment: organization-defined frequency];
e.  Update the contingency plan to address changes to the organization, system, or environment of operation and problems encountered during contingency plan implementation, execution, or testing;
f.  Communicate contingency plan changes to [Assignment: organization-defined key contingency personnel (identified by name and/or by role) and organizational elements];
g.  Incorporate lessons learned from contingency plan testing, training, or actual contingency activities into contingency testing and training; and
h.  Protect the contingency plan from unauthorized disclosure and modification.
",Semantic,Superset of,8,10,"GV.OC-05.02: The organization has prioritized its external dependencies according to their criticality to the supported enterprise mission, business functions, and to the financial services sector.",GOVERN / Organizational Context / Organizational Service Dependencies,GV.OC-05.02,007.012,
CP-02,Contingency Planning (CP),Contingency Plan,"a.  Develop a contingency plan for the system that:
1.  Identifies essential mission and business functions and associated contingency requirements;
2.  Provides recovery objectives, restoration priorities, and metrics;
3.  Addresses contingency roles, responsibilities, assigned individuals with contact information;
4.  Addresses maintaining essential mission and business functions despite a system disruption, compromise, or failure;
5.  Addresses eventual, full system restoration without deterioration of the controls originally planned and implemented;
6.  Addresses the sharing of contingency information; and
7.  Is reviewed and approved by [Assignment: organization-defined personnel or roles];
b.  Distribute copies of the contingency plan to [Assignment: organization-defined key contingency personnel (identified by name and/or by role) and organizational elements];
c.  Coordinate contingency planning activities with incident handling activities;
d.  Review the contingency plan for the system [Assignment: organization-defined frequency];
e.  Update the contingency plan to address changes to the organization, system, or environment of operation and problems encountered during contingency plan implementation, execution, or testing;
f.  Communicate contingency plan changes to [Assignment: organization-defined key contingency personnel (identified by name and/or by role) and organizational elements];
g.  Incorporate lessons learned from contingency plan testing, training, or actual contingency activities into contingency testing and training; and
h.  Protect the contingency plan from unauthorized disclosure and modification.
",Semantic,Superset of,9,10,"GV.OC-05.03: The organization defines objectives (e.g., Recovery Time Objective, Maximum Tolerable Downtime, Impact Tolerance) for the resumption of critical operations in alignment with business imperatives, stakeholder obligations, and critical infrastructure dependencies.",GOVERN / Organizational Context / Organizational Service Dependencies,GV.OC-05.03,007.013,
CP-02,Contingency Planning (CP),Contingency Plan,"a.  Develop a contingency plan for the system that:
1.  Identifies essential mission and business functions and associated contingency requirements;
2.  Provides recovery objectives, restoration priorities, and metrics;
3.  Addresses contingency roles, responsibilities, assigned individuals with contact information;
4.  Addresses maintaining essential mission and business functions despite a system disruption, compromise, or failure;
5.  Addresses eventual, full system restoration without deterioration of the controls originally planned and implemented;
6.  Addresses the sharing of contingency information; and
7.  Is reviewed and approved by [Assignment: organization-defined personnel or roles];
b.  Distribute copies of the contingency plan to [Assignment: organization-defined key contingency personnel (identified by name and/or by role) and organizational elements];
c.  Coordinate contingency planning activities with incident handling activities;
d.  Review the contingency plan for the system [Assignment: organization-defined frequency];
e.  Update the contingency plan to address changes to the organization, system, or environment of operation and problems encountered during contingency plan implementation, execution, or testing;
f.  Communicate contingency plan changes to [Assignment: organization-defined key contingency personnel (identified by name and/or by role) and organizational elements];
g.  Incorporate lessons learned from contingency plan testing, training, or actual contingency activities into contingency testing and training; and
h.  Protect the contingency plan from unauthorized disclosure and modification.
",Semantic,Intersects with,9,10,GV.RM-03.02: The organization's business continuity and resilience strategy and program align with and support the overall enterprise risk management framework.,GOVERN / Risk Management Strategy / Enterprise Risk Integration,GV.RM-03.02,011.024,
CP-02,Contingency Planning (CP),Contingency Plan,"a.  Develop a contingency plan for the system that:
1.  Identifies essential mission and business functions and associated contingency requirements;
2.  Provides recovery objectives, restoration priorities, and metrics;
3.  Addresses contingency roles, responsibilities, assigned individuals with contact information;
4.  Addresses maintaining essential mission and business functions despite a system disruption, compromise, or failure;
5.  Addresses eventual, full system restoration without deterioration of the controls originally planned and implemented;
6.  Addresses the sharing of contingency information; and
7.  Is reviewed and approved by [Assignment: organization-defined personnel or roles];
b.  Distribute copies of the contingency plan to [Assignment: organization-defined key contingency personnel (identified by name and/or by role) and organizational elements];
c.  Coordinate contingency planning activities with incident handling activities;
d.  Review the contingency plan for the system [Assignment: organization-defined frequency];
e.  Update the contingency plan to address changes to the organization, system, or environment of operation and problems encountered during contingency plan implementation, execution, or testing;
f.  Communicate contingency plan changes to [Assignment: organization-defined key contingency personnel (identified by name and/or by role) and organizational elements];
g.  Incorporate lessons learned from contingency plan testing, training, or actual contingency activities into contingency testing and training; and
h.  Protect the contingency plan from unauthorized disclosure and modification.
",Semantic,Intersects with,9,10,"GV.RM-05.02: The organization establishes minimum requirements for its third-parties that include how the organizations will communicate and coordinate in times of emergency, including:
1) Joint maintenance of contingency plans;
2) Responsibilities for responding to incidents, including forensic investigations;
3) Planning and testing strategies that address severe events in order to identify single points of failure that would cause wide-scale disruption; and
4) Incorporating the potential impact of an incident into their BCM process and ensure resilience capabilities are in place.",GOVERN / Risk Management Strategy / Lines of Communication,GV.RM-05.02,013.029,
CP-02,Contingency Planning (CP),Contingency Plan,"a.  Develop a contingency plan for the system that:
1.  Identifies essential mission and business functions and associated contingency requirements;
2.  Provides recovery objectives, restoration priorities, and metrics;
3.  Addresses contingency roles, responsibilities, assigned individuals with contact information;
4.  Addresses maintaining essential mission and business functions despite a system disruption, compromise, or failure;
5.  Addresses eventual, full system restoration without deterioration of the controls originally planned and implemented;
6.  Addresses the sharing of contingency information; and
7.  Is reviewed and approved by [Assignment: organization-defined personnel or roles];
b.  Distribute copies of the contingency plan to [Assignment: organization-defined key contingency personnel (identified by name and/or by role) and organizational elements];
c.  Coordinate contingency planning activities with incident handling activities;
d.  Review the contingency plan for the system [Assignment: organization-defined frequency];
e.  Update the contingency plan to address changes to the organization, system, or environment of operation and problems encountered during contingency plan implementation, execution, or testing;
f.  Communicate contingency plan changes to [Assignment: organization-defined key contingency personnel (identified by name and/or by role) and organizational elements];
g.  Incorporate lessons learned from contingency plan testing, training, or actual contingency activities into contingency testing and training; and
h.  Protect the contingency plan from unauthorized disclosure and modification.
",Semantic,Intersects with,9,10,"GV.RM-09.01: The organization has an enterprise-wide resilience strategy and program, including architecture, cyber resilience, business continuity, disaster recovery, and incident response, which support its mission, stakeholder obligations, critical infrastructure role, and risk appetite.",GOVERN / Risk Management Strategy  / Business Continuity & Resilience Risk Management,GV.RM-09.01,017.039,
CP-02,Contingency Planning (CP),Contingency Plan,"a.  Develop a contingency plan for the system that:
1.  Identifies essential mission and business functions and associated contingency requirements;
2.  Provides recovery objectives, restoration priorities, and metrics;
3.  Addresses contingency roles, responsibilities, assigned individuals with contact information;
4.  Addresses maintaining essential mission and business functions despite a system disruption, compromise, or failure;
5.  Addresses eventual, full system restoration without deterioration of the controls originally planned and implemented;
6.  Addresses the sharing of contingency information; and
7.  Is reviewed and approved by [Assignment: organization-defined personnel or roles];
b.  Distribute copies of the contingency plan to [Assignment: organization-defined key contingency personnel (identified by name and/or by role) and organizational elements];
c.  Coordinate contingency planning activities with incident handling activities;
d.  Review the contingency plan for the system [Assignment: organization-defined frequency];
e.  Update the contingency plan to address changes to the organization, system, or environment of operation and problems encountered during contingency plan implementation, execution, or testing;
f.  Communicate contingency plan changes to [Assignment: organization-defined key contingency personnel (identified by name and/or by role) and organizational elements];
g.  Incorporate lessons learned from contingency plan testing, training, or actual contingency activities into contingency testing and training; and
h.  Protect the contingency plan from unauthorized disclosure and modification.
",Semantic,Intersects with,9,10,"GV.RM-09.02: The resilience program ensures that the organization can continue operating critical business functions and deliver services to stakeholders, to include critical infrastructure partners, during adverse incidents and cyber attacks (e.g., propagation of malware or extended system outages).",GOVERN / Risk Management Strategy  / Business Continuity & Resilience Risk Management,GV.RM-09.02,017.040,
CP-02,Contingency Planning (CP),Contingency Plan,"a.  Develop a contingency plan for the system that:
1.  Identifies essential mission and business functions and associated contingency requirements;
2.  Provides recovery objectives, restoration priorities, and metrics;
3.  Addresses contingency roles, responsibilities, assigned individuals with contact information;
4.  Addresses maintaining essential mission and business functions despite a system disruption, compromise, or failure;
5.  Addresses eventual, full system restoration without deterioration of the controls originally planned and implemented;
6.  Addresses the sharing of contingency information; and
7.  Is reviewed and approved by [Assignment: organization-defined personnel or roles];
b.  Distribute copies of the contingency plan to [Assignment: organization-defined key contingency personnel (identified by name and/or by role) and organizational elements];
c.  Coordinate contingency planning activities with incident handling activities;
d.  Review the contingency plan for the system [Assignment: organization-defined frequency];
e.  Update the contingency plan to address changes to the organization, system, or environment of operation and problems encountered during contingency plan implementation, execution, or testing;
f.  Communicate contingency plan changes to [Assignment: organization-defined key contingency personnel (identified by name and/or by role) and organizational elements];
g.  Incorporate lessons learned from contingency plan testing, training, or actual contingency activities into contingency testing and training; and
h.  Protect the contingency plan from unauthorized disclosure and modification.
",Semantic,Intersects with,9,10,"GV.RR-01.03: The governing authority (e.g., the Board or one of its committees) regularly reviews, oversees, and holds senior management accountable for implementing the organization’s resilience strategy and program and for managing the organization's ongoing resilience risks.","GOVERN / Roles, Responsibilities, and Authorities / Organizational Leadership Responsibility",GV.RR-01.03,019.043,
CP-02,Contingency Planning (CP),Contingency Plan,"a.  Develop a contingency plan for the system that:
1.  Identifies essential mission and business functions and associated contingency requirements;
2.  Provides recovery objectives, restoration priorities, and metrics;
3.  Addresses contingency roles, responsibilities, assigned individuals with contact information;
4.  Addresses maintaining essential mission and business functions despite a system disruption, compromise, or failure;
5.  Addresses eventual, full system restoration without deterioration of the controls originally planned and implemented;
6.  Addresses the sharing of contingency information; and
7.  Is reviewed and approved by [Assignment: organization-defined personnel or roles];
b.  Distribute copies of the contingency plan to [Assignment: organization-defined key contingency personnel (identified by name and/or by role) and organizational elements];
c.  Coordinate contingency planning activities with incident handling activities;
d.  Review the contingency plan for the system [Assignment: organization-defined frequency];
e.  Update the contingency plan to address changes to the organization, system, or environment of operation and problems encountered during contingency plan implementation, execution, or testing;
f.  Communicate contingency plan changes to [Assignment: organization-defined key contingency personnel (identified by name and/or by role) and organizational elements];
g.  Incorporate lessons learned from contingency plan testing, training, or actual contingency activities into contingency testing and training; and
h.  Protect the contingency plan from unauthorized disclosure and modification.
",Semantic,Superset of,9,10,"GV.RR-02.03: Resilience program roles and responsibilities are assigned to management across the organization to ensure risk assessment, planning, testing, and execution coverage for all critical business functions.","GOVERN / Roles, Responsibilities, and Authorities / Risk Management Roles & Responsibilities",GV.RR-02.03,020.048,
CP-02,Contingency Planning (CP),Contingency Plan,"a.  Develop a contingency plan for the system that:
1.  Identifies essential mission and business functions and associated contingency requirements;
2.  Provides recovery objectives, restoration priorities, and metrics;
3.  Addresses contingency roles, responsibilities, assigned individuals with contact information;
4.  Addresses maintaining essential mission and business functions despite a system disruption, compromise, or failure;
5.  Addresses eventual, full system restoration without deterioration of the controls originally planned and implemented;
6.  Addresses the sharing of contingency information; and
7.  Is reviewed and approved by [Assignment: organization-defined personnel or roles];
b.  Distribute copies of the contingency plan to [Assignment: organization-defined key contingency personnel (identified by name and/or by role) and organizational elements];
c.  Coordinate contingency planning activities with incident handling activities;
d.  Review the contingency plan for the system [Assignment: organization-defined frequency];
e.  Update the contingency plan to address changes to the organization, system, or environment of operation and problems encountered during contingency plan implementation, execution, or testing;
f.  Communicate contingency plan changes to [Assignment: organization-defined key contingency personnel (identified by name and/or by role) and organizational elements];
g.  Incorporate lessons learned from contingency plan testing, training, or actual contingency activities into contingency testing and training; and
h.  Protect the contingency plan from unauthorized disclosure and modification.
",Semantic,Superset of,10,10,"GV.PO-01.07: The organization maintains documented business continuity and resilience program policies and procedures approved by the governing authority (e.g., the Board or one of its committees).","GOVERN / Policies, Processes, and Procedures / Establishment of Policies & Procedures",GV.PO-01.07,024.065,
CP-02,Contingency Planning (CP),Contingency Plan,"a.  Develop a contingency plan for the system that:
1.  Identifies essential mission and business functions and associated contingency requirements;
2.  Provides recovery objectives, restoration priorities, and metrics;
3.  Addresses contingency roles, responsibilities, assigned individuals with contact information;
4.  Addresses maintaining essential mission and business functions despite a system disruption, compromise, or failure;
5.  Addresses eventual, full system restoration without deterioration of the controls originally planned and implemented;
6.  Addresses the sharing of contingency information; and
7.  Is reviewed and approved by [Assignment: organization-defined personnel or roles];
b.  Distribute copies of the contingency plan to [Assignment: organization-defined key contingency personnel (identified by name and/or by role) and organizational elements];
c.  Coordinate contingency planning activities with incident handling activities;
d.  Review the contingency plan for the system [Assignment: organization-defined frequency];
e.  Update the contingency plan to address changes to the organization, system, or environment of operation and problems encountered during contingency plan implementation, execution, or testing;
f.  Communicate contingency plan changes to [Assignment: organization-defined key contingency personnel (identified by name and/or by role) and organizational elements];
g.  Incorporate lessons learned from contingency plan testing, training, or actual contingency activities into contingency testing and training; and
h.  Protect the contingency plan from unauthorized disclosure and modification.
",Semantic,Intersects with,8,10,"GV.OV-03.02: Resilience program performance is measured and regularly reported to senior executives and the governing authority (e.g., the Board or one of its committees).",GOVERN / Oversight / Risk Management Performance Measurement,GV.OV-03.02,029.074,
CP-02,Contingency Planning (CP),Contingency Plan,"a.  Develop a contingency plan for the system that:
1.  Identifies essential mission and business functions and associated contingency requirements;
2.  Provides recovery objectives, restoration priorities, and metrics;
3.  Addresses contingency roles, responsibilities, assigned individuals with contact information;
4.  Addresses maintaining essential mission and business functions despite a system disruption, compromise, or failure;
5.  Addresses eventual, full system restoration without deterioration of the controls originally planned and implemented;
6.  Addresses the sharing of contingency information; and
7.  Is reviewed and approved by [Assignment: organization-defined personnel or roles];
b.  Distribute copies of the contingency plan to [Assignment: organization-defined key contingency personnel (identified by name and/or by role) and organizational elements];
c.  Coordinate contingency planning activities with incident handling activities;
d.  Review the contingency plan for the system [Assignment: organization-defined frequency];
e.  Update the contingency plan to address changes to the organization, system, or environment of operation and problems encountered during contingency plan implementation, execution, or testing;
f.  Communicate contingency plan changes to [Assignment: organization-defined key contingency personnel (identified by name and/or by role) and organizational elements];
g.  Incorporate lessons learned from contingency plan testing, training, or actual contingency activities into contingency testing and training; and
h.  Protect the contingency plan from unauthorized disclosure and modification.
",Semantic,Intersects with,9,10,"GV.SC-08.01: The organization's resilience strategy, plans, tests, and exercises incorporate its external dependencies and critical business partners.",GOVERN / Supply Chain Risk Management / Third Party Incident Management Integration,GV.SC-08.01,035.080,
CP-02,Contingency Planning (CP),Contingency Plan,"a.  Develop a contingency plan for the system that:
1.  Identifies essential mission and business functions and associated contingency requirements;
2.  Provides recovery objectives, restoration priorities, and metrics;
3.  Addresses contingency roles, responsibilities, assigned individuals with contact information;
4.  Addresses maintaining essential mission and business functions despite a system disruption, compromise, or failure;
5.  Addresses eventual, full system restoration without deterioration of the controls originally planned and implemented;
6.  Addresses the sharing of contingency information; and
7.  Is reviewed and approved by [Assignment: organization-defined personnel or roles];
b.  Distribute copies of the contingency plan to [Assignment: organization-defined key contingency personnel (identified by name and/or by role) and organizational elements];
c.  Coordinate contingency planning activities with incident handling activities;
d.  Review the contingency plan for the system [Assignment: organization-defined frequency];
e.  Update the contingency plan to address changes to the organization, system, or environment of operation and problems encountered during contingency plan implementation, execution, or testing;
f.  Communicate contingency plan changes to [Assignment: organization-defined key contingency personnel (identified by name and/or by role) and organizational elements];
g.  Incorporate lessons learned from contingency plan testing, training, or actual contingency activities into contingency testing and training; and
h.  Protect the contingency plan from unauthorized disclosure and modification.
",Semantic,Intersects with,8,10,"ID.AM-05.01: The organization establishes and maintains risk-based policies and procedures for the classification of hardware, software, and data assets based on sensitivity and criticality.",IDENTIFY / Asset Management / Asset Protection Prioritization,ID.AM-05.01,051.102,
CP-02,Contingency Planning (CP),Contingency Plan,"a.  Develop a contingency plan for the system that:
1.  Identifies essential mission and business functions and associated contingency requirements;
2.  Provides recovery objectives, restoration priorities, and metrics;
3.  Addresses contingency roles, responsibilities, assigned individuals with contact information;
4.  Addresses maintaining essential mission and business functions despite a system disruption, compromise, or failure;
5.  Addresses eventual, full system restoration without deterioration of the controls originally planned and implemented;
6.  Addresses the sharing of contingency information; and
7.  Is reviewed and approved by [Assignment: organization-defined personnel or roles];
b.  Distribute copies of the contingency plan to [Assignment: organization-defined key contingency personnel (identified by name and/or by role) and organizational elements];
c.  Coordinate contingency planning activities with incident handling activities;
d.  Review the contingency plan for the system [Assignment: organization-defined frequency];
e.  Update the contingency plan to address changes to the organization, system, or environment of operation and problems encountered during contingency plan implementation, execution, or testing;
f.  Communicate contingency plan changes to [Assignment: organization-defined key contingency personnel (identified by name and/or by role) and organizational elements];
g.  Incorporate lessons learned from contingency plan testing, training, or actual contingency activities into contingency testing and training; and
h.  Protect the contingency plan from unauthorized disclosure and modification.
",Semantic,Superset of,9,10,"ID.RA-06.04: The organization assesses the threats, impacts, and risks that could adversely affect the organization's ability to provide services on an ongoing basis, and develops its resilience requirements and plans to address those risks.",IDENTIFY / Risk Assessment / Risk Response Determination,ID.RA-06.04,060.128,
CP-02,Contingency Planning (CP),Contingency Plan,"a.  Develop a contingency plan for the system that:
1.  Identifies essential mission and business functions and associated contingency requirements;
2.  Provides recovery objectives, restoration priorities, and metrics;
3.  Addresses contingency roles, responsibilities, assigned individuals with contact information;
4.  Addresses maintaining essential mission and business functions despite a system disruption, compromise, or failure;
5.  Addresses eventual, full system restoration without deterioration of the controls originally planned and implemented;
6.  Addresses the sharing of contingency information; and
7.  Is reviewed and approved by [Assignment: organization-defined personnel or roles];
b.  Distribute copies of the contingency plan to [Assignment: organization-defined key contingency personnel (identified by name and/or by role) and organizational elements];
c.  Coordinate contingency planning activities with incident handling activities;
d.  Review the contingency plan for the system [Assignment: organization-defined frequency];
e.  Update the contingency plan to address changes to the organization, system, or environment of operation and problems encountered during contingency plan implementation, execution, or testing;
f.  Communicate contingency plan changes to [Assignment: organization-defined key contingency personnel (identified by name and/or by role) and organizational elements];
g.  Incorporate lessons learned from contingency plan testing, training, or actual contingency activities into contingency testing and training; and
h.  Protect the contingency plan from unauthorized disclosure and modification.
",Semantic,Intersects with,9,10,"ID.IM-04.01: The organization's business continuity, disaster recovery, crisis management, and response plans are in place and managed, aligned with each other, and incorporate considerations of cyber incidents.",IDENTIFY / Improvement / Plans Affecting Operations,ID.IM-04.01,067.154,
CP-02,Contingency Planning (CP),Contingency Plan,"a.  Develop a contingency plan for the system that:
1.  Identifies essential mission and business functions and associated contingency requirements;
2.  Provides recovery objectives, restoration priorities, and metrics;
3.  Addresses contingency roles, responsibilities, assigned individuals with contact information;
4.  Addresses maintaining essential mission and business functions despite a system disruption, compromise, or failure;
5.  Addresses eventual, full system restoration without deterioration of the controls originally planned and implemented;
6.  Addresses the sharing of contingency information; and
7.  Is reviewed and approved by [Assignment: organization-defined personnel or roles];
b.  Distribute copies of the contingency plan to [Assignment: organization-defined key contingency personnel (identified by name and/or by role) and organizational elements];
c.  Coordinate contingency planning activities with incident handling activities;
d.  Review the contingency plan for the system [Assignment: organization-defined frequency];
e.  Update the contingency plan to address changes to the organization, system, or environment of operation and problems encountered during contingency plan implementation, execution, or testing;
f.  Communicate contingency plan changes to [Assignment: organization-defined key contingency personnel (identified by name and/or by role) and organizational elements];
g.  Incorporate lessons learned from contingency plan testing, training, or actual contingency activities into contingency testing and training; and
h.  Protect the contingency plan from unauthorized disclosure and modification.
",Semantic,Intersects with,9,10,"ID.IM-04.02: The organization's incident response and business continuity plans contain clearly defined roles, responsibilities, and levels of decision-making authority, and include all needed areas of participation and expertise across the organization and key third-parties.",IDENTIFY / Improvement / Plans Affecting Operations,ID.IM-04.02,067.155,
CP-02,Contingency Planning (CP),Contingency Plan,"a.  Develop a contingency plan for the system that:
1.  Identifies essential mission and business functions and associated contingency requirements;
2.  Provides recovery objectives, restoration priorities, and metrics;
3.  Addresses contingency roles, responsibilities, assigned individuals with contact information;
4.  Addresses maintaining essential mission and business functions despite a system disruption, compromise, or failure;
5.  Addresses eventual, full system restoration without deterioration of the controls originally planned and implemented;
6.  Addresses the sharing of contingency information; and
7.  Is reviewed and approved by [Assignment: organization-defined personnel or roles];
b.  Distribute copies of the contingency plan to [Assignment: organization-defined key contingency personnel (identified by name and/or by role) and organizational elements];
c.  Coordinate contingency planning activities with incident handling activities;
d.  Review the contingency plan for the system [Assignment: organization-defined frequency];
e.  Update the contingency plan to address changes to the organization, system, or environment of operation and problems encountered during contingency plan implementation, execution, or testing;
f.  Communicate contingency plan changes to [Assignment: organization-defined key contingency personnel (identified by name and/or by role) and organizational elements];
g.  Incorporate lessons learned from contingency plan testing, training, or actual contingency activities into contingency testing and training; and
h.  Protect the contingency plan from unauthorized disclosure and modification.
",Semantic,Superset of,9,10,"ID.IM-04.03: Recovery plans include service resumption steps for all operating environments, including traditional, alternate recovery, and highly available (e.g., cloud) infrastructures.",IDENTIFY / Improvement / Plans Affecting Operations,ID.IM-04.03,067.156,
