,,,CRI Profile ver. 2.1 Response Distribution Summary,CRI Profile ver. 2.1 Response Distribution Summary,CRI Profile ver. 2.1 Response Distribution Summary,CRI Profile ver. 2.1 Response Distribution Summary,CRI Profile ver. 2.1 Response Distribution Summary,CRI Profile ver. 2.1 Response Distribution Summary,,,,
,,,,Response Distribution,Response Distribution,Response Distribution,Response Distribution,Response Distribution,Response Distribution,Response Distribution,Response Distribution,Response Distribution
069,C,PR.AA,"Identity Management, Authentication, and Access Control",0,0,0,0,0,0,0,13,0
070,S,PR.AA-01,Identity & Credential Management,0,0,0,0,0,0,0,2,0
071,S,PR.AA-02,Identity Binding to Credentials,0,0,0,0,0,0,0,1,0
072,S,PR.AA-03,Authentication,0,0,0,0,0,0,0,3,0
073,S,PR.AA-04,Identity Assertions,0,0,0,0,0,0,0,1,0
074,S,PR.AA-05,Access Authorizations,0,0,0,0,0,0,0,4,0
075,S,PR.AA-06,Physical Access,0,0,0,0,0,0,0,2,0
076,C,PR.AT,Awareness and Training,0,0,0,0,0,0,0,11,1
077,S,PR.AT-01,User Awareness & Training,0,0,0,0,0,0,0,4,0
078,S,PR.AT-02,Specialized Role Awareness & Training,0,0,0,0,0,0,0,7,1
079,C,PR.DS,Data Security,0,0,0,0,0,0,0,5,1
080,S,PR.DS-01,Protection of Data at Rest,0,0,0,0,0,0,0,2,1
081,S,PR.DS-02,Protection of Data in Transit,0,0,0,0,0,0,0,1,0
082,S,PR.DS-10,Protection of Data in Use,0,0,0,0,0,0,0,1,0
083,S,PR.DS-11,Data Backup,0,0,0,0,0,0,0,1,0
084,C,PR.PS,Platform Security,0,0,0,0,0,0,0,14,17
085,S,PR.PS-01,Configuration Management,0,0,0,0,0,0,0,7,2
086,S,PR.PS-02,Software Maintenance & Replacement,0,0,0,0,0,0,0,1,2
087,S,PR.PS-03,Hardware Maintenance,0,0,0,0,0,0,0,0,1
088,S,PR.PS-04,Log Record Generation,0,0,0,0,0,0,0,3,0
089,S,PR.PS-05,Unauthorized Software Installation & Execution,0,0,0,0,0,0,0,3,0
090,S,PR.PS-06,Secure Systems Development Practices,0,0,0,0,0,0,0,0,10
091,S,PR.PS-07,"Technology Operations, Service, & Support",0,0,0,0,0,0,0,0,2
092,C,PR.IR,Technology Infrastructure Resilience,0,0,0,0,0,0,0,6,6
093,S,PR.IR-01,Logical Access Protections,0,0,0,0,0,0,0,5,3
094,S,PR.IR-02,Environmental Threat Protections,0,0,0,0,0,0,0,1,0
095,S,PR.IR-03,Resilience Measures,0,0,0,0,0,0,0,0,1
096,S,PR.IR-04,Capacity Management,0,0,0,0,0,0,0,0,2
097,F,DE,DETECT,0,0,0,0,0,0,0,14,10
098,C,DE.CM,Continuous Monitoring,0,0,0,0,0,0,0,8,7
099,S,DE.CM-01,Network Monitoring,0,0,0,0,0,0,0,3,3
100,S,DE.CM-02,Physical Environment Monitoring,0,0,0,0,0,0,0,1,0
101,S,DE.CM-03,Personnel Activity Monitoring,0,0,0,0,0,0,0,2,1
102,S,DE.CM-06,Service Provider Monitoring,0,0,0,0,0,0,0,1,1
103,S,DE.CM-09,"Hardware, Software, & Data Monitoring",0,0,0,0,0,0,0,1,2
104,C,DE.AE,Adverse Event Analysis,0,0,0,0,0,0,0,6,3
105,S,DE.AE-02,Potentially Adverse Event Analysis,0,0,0,0,0,0,0,2,0
106,S,DE.AE-03,Event Information Correlation,0,0,0,0,0,0,0,2,0
107,S,DE.AE-04,Impact & Scope Determination,0,0,0,0,0,0,0,1,0
108,S,DE.AE-06,Event Information Sharing,0,0,0,0,0,0,0,1,0
109,S,DE.AE-07,Contextual Analysis,0,0,0,0,0,0,0,0,2
110,S,DE.AE-08,Incident Declaration,0,0,0,0,0,0,0,0,1
111,F,RS,RESPOND,0,0,0,0,0,0,0,12,4
