,"JFSA (Financial Services Agency, Japan) Comprehensive Guidelines for Supervision of Major Banks (June 2021)
to CRI Profile ver. 2.1 Mapping","JFSA (Financial Services Agency, Japan) Comprehensive Guidelines for Supervision of Major Banks (June 2021)
to CRI Profile ver. 2.1 Mapping","JFSA (Financial Services Agency, Japan) Comprehensive Guidelines for Supervision of Major Banks (June 2021)
to CRI Profile ver. 2.1 Mapping","JFSA (Financial Services Agency, Japan) Comprehensive Guidelines for Supervision of Major Banks (June 2021)
to CRI Profile ver. 2.1 Mapping","JFSA (Financial Services Agency, Japan) Comprehensive Guidelines for Supervision of Major Banks (June 2021)
to CRI Profile ver. 2.1 Mapping","JFSA (Financial Services Agency, Japan) Comprehensive Guidelines for Supervision of Major Banks (June 2021)
to CRI Profile ver. 2.1 Mapping","JFSA (Financial Services Agency, Japan) Comprehensive Guidelines for Supervision of Major Banks (June 2021)
to CRI Profile ver. 2.1 Mapping","JFSA (Financial Services Agency, Japan) Comprehensive Guidelines for Supervision of Major Banks (June 2021)
to CRI Profile ver. 2.1 Mapping",,
JFSA Comprehensive Guidelines for Supervision of Major Banks (Provisional Translation) (June 2021),JFSA Comprehensive Guidelines for Supervision of Major Banks (Provisional Translation) (June 2021),JFSA Comprehensive Guidelines for Supervision of Major Banks (Provisional Translation) (June 2021),JFSA Comprehensive Guidelines for Supervision of Major Banks (Provisional Translation) (June 2021),Mapping Relationship,Mapping Relationship,Mapping Relationship,Mapping Relationship,CRI Profile ver. 2.1,CRI Profile ver. 2.1,CRI Profile ver. 2.1
Document Section,Subsection,JFSA Id,JFSA Statement,Rationale,Relationship,AS,FCS,CRI Profile ver. 2.1 Diagnostic Statement,Profile Subsection,Profile Id
III-3-7-1 Information Technology (IT) System Risk / III-3-7-1-2 Major Supervisory Viewpoints,(1)(i) Recognition of IT system risk,JFSA-01 ,"Whether officers and employees, including the representative director, have fully recognized the importance of IT system risk, reviewed it regularly, and formulated a basic policy for the bank-wide management of IT system risk.",Semantic,Intersects with,6,10,"GV.RR-01.03: The governing authority (e.g., the Board or one of its committees) regularly reviews, oversees, and holds senior management accountable for implementing the organization’s resilience strategy and program and for managing the organization's ongoing resilience risks.","GOVERN / Roles, Responsibilities, and Authorities / Organizational Leadership Responsibility",GV.RR-01.03
III-3-7-1 Information Technology (IT) System Risk / III-3-7-1-2 Major Supervisory Viewpoints,(1)(i) Recognition of IT system risk,JFSA-01 ,"Whether officers and employees, including the representative director, have fully recognized the importance of IT system risk, reviewed it regularly, and formulated a basic policy for the bank-wide management of IT system risk.",Semantic,Superset of,7,10,"GV.PO-01.01: Technology and cybersecurity policies are documented, maintained and approved by the governing authority (e.g., the Board or one of its committees) or a designated executive.","GOVERN / Policies, Processes, and Procedures / Establishment of Policies & Procedures",GV.PO-01.01
III-3-7-1 Information Technology (IT) System Risk / III-3-7-1-2 Major Supervisory Viewpoints,(1)(i) Recognition of IT system risk,JFSA-01 ,"Whether officers and employees, including the representative director, have fully recognized the importance of IT system risk, reviewed it regularly, and formulated a basic policy for the bank-wide management of IT system risk.",Semantic,Superset of,7,10,"GV.PO-01.07: The organization maintains documented business continuity and resilience program policies and procedures approved by the governing authority (e.g., the Board or one of its committees).","GOVERN / Policies, Processes, and Procedures / Establishment of Policies & Procedures",GV.PO-01.07
III-3-7-1 Information Technology (IT) System Risk / III-3-7-1-2 Major Supervisory Viewpoints,(1)(i) Recognition of IT system risk,JFSA-01 ,"Whether officers and employees, including the representative director, have fully recognized the importance of IT system risk, reviewed it regularly, and formulated a basic policy for the bank-wide management of IT system risk.",Semantic,Superset of,7,10,"GV.PO-01.08: The organization maintains documented third-party risk management program policies and procedures approved by the governing authority (e.g., the Board or one of its committees).","GOVERN / Policies, Processes, and Procedures / Establishment of Policies & Procedures",GV.PO-01.08
III-3-7-1 Information Technology (IT) System Risk / III-3-7-1-2 Major Supervisory Viewpoints,(1)(i) Recognition of IT system risk,JFSA-01 ,"Whether officers and employees, including the representative director, have fully recognized the importance of IT system risk, reviewed it regularly, and formulated a basic policy for the bank-wide management of IT system risk.",Semantic,Intersects with,7,10,"GV.OV-01.01: The governing authority (e.g., the Board or one of its committees) regularly reviews and evaluates the organization's ability to manage its technology, cybersecurity, third-party, and resilience risks.",GOVERN / Oversight / Risk Management Strategy Outcomes Review,GV.OV-01.01
III-3-7-1 Information Technology (IT) System Risk / III-3-7-1-2 Major Supervisory Viewpoints,(1)(i) Recognition of IT system risk,JFSA-01 ,"Whether officers and employees, including the representative director, have fully recognized the importance of IT system risk, reviewed it regularly, and formulated a basic policy for the bank-wide management of IT system risk.",Semantic,Superset of,8,10,"GV.OV-01.02: The designated Cybersecurity Officer (e.g., CISO) periodically reports to the appropriate governing authority (e.g., the Board or one of its committees) or equivalent governing body on the status of cybersecurity within the organization.",GOVERN / Oversight / Risk Management Strategy Outcomes Review,GV.OV-01.02
III-3-7-1 Information Technology (IT) System Risk / III-3-7-1-2 Major Supervisory Viewpoints,(1)(i) Recognition of IT system risk,JFSA-01 ,"Whether officers and employees, including the representative director, have fully recognized the importance of IT system risk, reviewed it regularly, and formulated a basic policy for the bank-wide management of IT system risk.",Semantic,Superset of,9,10,"GV.OV-01.03: The designated Technology Officer (e.g., CIO or CTO) regularly reports to the governing authority (e.g., the Board or one of its committees) on the status of technology use and risks within the organization.",GOVERN / Oversight / Risk Management Strategy Outcomes Review,GV.OV-01.03
III-3-7-1 Information Technology (IT) System Risk / III-3-7-1-2 Major Supervisory Viewpoints,(1)(i) Recognition of IT system risk,JFSA-01 ,"Whether officers and employees, including the representative director, have fully recognized the importance of IT system risk, reviewed it regularly, and formulated a basic policy for the bank-wide management of IT system risk.",Semantic,Intersects with,7,10,"GV.IR-02.02: The independent risk management function regularly assesses the organization's controls and cybersecurity risk exposure, identifies opportunities for improvement based on assessment results, and recommends program improvements",GOVERN / Independent Risk Management Function / Independent Risk Management Evaluation,GV.IR-02.02
III-3-7-1 Information Technology (IT) System Risk / III-3-7-1-2 Major Supervisory Viewpoints,(1)(ii) Recognition of IT system risk,JFSA-02,"Whether the representative director has recognized that prevention and efforts for rapid recovery from an IT system failure and cybersecurity incident (hereinafter referred to as ""system failure"") is an important issue for the management of the bank, and developed an appropriate control environment. ",Semantic,Superset of,7,10,"GV.OC-05.03: The organization defines objectives (e.g., Recovery Time Objective, Maximum Tolerable Downtime, Impact Tolerance) for the resumption of critical operations in alignment with business imperatives, stakeholder obligations, and critical infrastructure dependencies.",GOVERN / Organizational Context / Organizational Service Dependencies,GV.OC-05.03
III-3-7-1 Information Technology (IT) System Risk / III-3-7-1-2 Major Supervisory Viewpoints,(1)(ii) Recognition of IT system risk,JFSA-02,"Whether the representative director has recognized that prevention and efforts for rapid recovery from an IT system failure and cybersecurity incident (hereinafter referred to as ""system failure"") is an important issue for the management of the bank, and developed an appropriate control environment. ",Semantic,Superset of,7,10,"GV.OC-05.04: Recovery point objectives to support data integrity are consistent with the organization's recovery time objectives, information flow dependencies between systems, and business obligations.",GOVERN / Organizational Context / Organizational Service Dependencies,GV.OC-05.04
