,"FFIEC Architecture, Infrastructure, and Operations Examination Handbook (June 2021)		
to CRI Profile ver. 2.1 Mapping","FFIEC Architecture, Infrastructure, and Operations Examination Handbook (June 2021)		
to CRI Profile ver. 2.1 Mapping","FFIEC Architecture, Infrastructure, and Operations Examination Handbook (June 2021)		
to CRI Profile ver. 2.1 Mapping","FFIEC Architecture, Infrastructure, and Operations Examination Handbook (June 2021)		
to CRI Profile ver. 2.1 Mapping","FFIEC Architecture, Infrastructure, and Operations Examination Handbook (June 2021)		
to CRI Profile ver. 2.1 Mapping","FFIEC Architecture, Infrastructure, and Operations Examination Handbook (June 2021)		
to CRI Profile ver. 2.1 Mapping","FFIEC Architecture, Infrastructure, and Operations Examination Handbook (June 2021)		
to CRI Profile ver. 2.1 Mapping",,
"FFIEC Architecture, Infrastructure, and Operations Examination Handbook (June 2021)","FFIEC Architecture, Infrastructure, and Operations Examination Handbook (June 2021)","FFIEC Architecture, Infrastructure, and Operations Examination Handbook (June 2021)",Mapping Relationship,Mapping Relationship,Mapping Relationship,Mapping Relationship,CRI Profile ver. 2.1,CRI Profile ver. 2.1,CRI Profile ver. 2.1
FFIEC AIO Objective Area,Objective Id,FFIEC AIO Objective Statement,Rationale,Relationship,AS,FCS,CRI Profile ver. 2.1 Diagnostic Statement,Profile Subcetegory,Profile Id
Objective #3: Management understands the common risks and mitigating controls related to data governance and data management.,FFIEC-AIO-03.04,"Management should have data governance and data management processes that include defining responsibility and processes for governing data, including the identification, management, and oversight of any metadata, and promoting a culture that takes a data-centric approach.",Semantic,Superset of,6,9,"ID.AM-08.03: The organization establishes policies, standards, and procedures for data governance, data management, and data retention consistent with its legal obligations and the value of data as an organizational asset.",IDENTIFY / Asset Management / Asset Life Cycle Management,ID.AM-08.03
Objective #3: Management understands the common risks and mitigating controls related to data governance and data management.,FFIEC-AIO-03.04,"Management should have data governance and data management processes that include defining responsibility and processes for governing data, including the identification, management, and oversight of any metadata, and promoting a culture that takes a data-centric approach.",Semantic,Superset of,5,9,"ID.AM-08.04: The organization's asset management processes ensure the protection of sensitive data throughout removal, transfers, maintenance, end-of-life, and secure disposal or re-use.",IDENTIFY / Asset Management / Asset Life Cycle Management,ID.AM-08.04
Objective #3: Management understands the common risks and mitigating controls related to data governance and data management.,FFIEC-AIO-03.04,"Management should have data governance and data management processes that include defining responsibility and processes for governing data, including the identification, management, and oversight of any metadata, and promoting a culture that takes a data-centric approach.",Semantic,Superset of,6,9,"ID.AM-08.05: The organization defines and implements standards and procedures, consistent with its data retention policy, for destroying or securely erasing data, media, and storage devices when the data is no longer needed.",IDENTIFY / Asset Management / Asset Life Cycle Management,ID.AM-08.05
Objective #3: Management understands the common risks and mitigating controls related to data governance and data management.,FFIEC-AIO-03.04,"Management should have data governance and data management processes that include defining responsibility and processes for governing data, including the identification, management, and oversight of any metadata, and promoting a culture that takes a data-centric approach.",Semantic,Superset of,5,9,"ID.AM-08.06: Minimum cybersecurity requirements for third-parties cover the entire relationship lifecycle, from the acquisition of data through the return or destruction of data, to include limitations on data use, access, storage, and geographic location.",IDENTIFY / Asset Management / Asset Life Cycle Management,ID.AM-08.06
Objective #3: Management understands the common risks and mitigating controls related to data governance and data management.,FFIEC-AIO-03.04,"Management should have data governance and data management processes that include defining responsibility and processes for governing data, including the identification, management, and oversight of any metadata, and promoting a culture that takes a data-centric approach.",Semantic,Superset of,6,9,"PR.DS-10.01: Data-in-use is protected commensurate with the criticality and sensitivity of the information and in alignment with the data classification and protection policy (e.g., through the use of encryption, authentication, access control, masking, tokenization, visual shielding, memory integrity monitoring, etc.)",PROTECT / Data Security / Protection of Data in Use,PR.DS-10.01
Objective #3: Management understands the common risks and mitigating controls related to data governance and data management.,FFIEC-AIO-03.05,"Management should identify and classify the entity’s data effectively, by performing the following:
a. Identifies and understands the nature of the entity’s data, including: 
- Sensitivity, criticality, and importance of the data. 
- Frequency, recurrence, and use of the data. 
- Format in which data are maintained. 
b. Uses the results of the data classification process to implement controls to safeguard data, including sensitive data. 
c. Understands where data reside and maintains the effectiveness of controls over that data. 
d. Regularly updates the information and technology asset inventories for new assets, both internal assets and those residing at third-party service provider locations.",Semantic,Intersects with,5,9,"GV.OC-04.01: The organization maintains an inventory of key internal assets, business functions, and external dependencies that includes mappings to other assets, business functions, and information flows.",GOVERN / Organizational Context / Stakeholder Service Expectations,GV.OC-04.01
Objective #3: Management understands the common risks and mitigating controls related to data governance and data management.,FFIEC-AIO-03.05,"Management should identify and classify the entity’s data effectively, by performing the following:
a. Identifies and understands the nature of the entity’s data, including: 
- Sensitivity, criticality, and importance of the data. 
- Frequency, recurrence, and use of the data. 
- Format in which data are maintained. 
b. Uses the results of the data classification process to implement controls to safeguard data, including sensitive data. 
c. Understands where data reside and maintains the effectiveness of controls over that data. 
d. Regularly updates the information and technology asset inventories for new assets, both internal assets and those residing at third-party service provider locations.",Semantic,Superset of,8,9,"GV.RR-02.06: Roles and responsibilities for the inventory, ownership, and custodianship of applications, data and other technology assets are established and maintained.","GOVERN / Roles, Responsibilities, and Authorities / Risk Management Roles & Responsibilities",GV.RR-02.06
Objective #3: Management understands the common risks and mitigating controls related to data governance and data management.,FFIEC-AIO-03.05,"Management should identify and classify the entity’s data effectively, by performing the following:
a. Identifies and understands the nature of the entity’s data, including: 
- Sensitivity, criticality, and importance of the data. 
- Frequency, recurrence, and use of the data. 
- Format in which data are maintained. 
b. Uses the results of the data classification process to implement controls to safeguard data, including sensitive data. 
c. Understands where data reside and maintains the effectiveness of controls over that data. 
d. Regularly updates the information and technology asset inventories for new assets, both internal assets and those residing at third-party service provider locations.",Semantic,Intersects with,5,9,"ID.AM-04.01: Hardware, software, and data assets maintained by or located at suppliers or other third parties are included in asset management inventories and lifecycle management processes as required for effective management and security.",IDENTIFY / Asset Management / Supplier Services Inventory,ID.AM-04.01
Objective #3: Management understands the common risks and mitigating controls related to data governance and data management.,FFIEC-AIO-03.05,"Management should identify and classify the entity’s data effectively, by performing the following:
a. Identifies and understands the nature of the entity’s data, including: 
- Sensitivity, criticality, and importance of the data. 
- Frequency, recurrence, and use of the data. 
- Format in which data are maintained. 
b. Uses the results of the data classification process to implement controls to safeguard data, including sensitive data. 
c. Understands where data reside and maintains the effectiveness of controls over that data. 
d. Regularly updates the information and technology asset inventories for new assets, both internal assets and those residing at third-party service provider locations.",Semantic,Superset of,6,9,"ID.AM-05.01: The organization establishes and maintains risk-based policies and procedures for the classification of hardware, software, and data assets based on sensitivity and criticality.",IDENTIFY / Asset Management / Asset Protection Prioritization,ID.AM-05.01
Objective #3: Management understands the common risks and mitigating controls related to data governance and data management.,FFIEC-AIO-03.05,"Management should identify and classify the entity’s data effectively, by performing the following:
a. Identifies and understands the nature of the entity’s data, including: 
- Sensitivity, criticality, and importance of the data. 
- Frequency, recurrence, and use of the data. 
- Format in which data are maintained. 
b. Uses the results of the data classification process to implement controls to safeguard data, including sensitive data. 
c. Understands where data reside and maintains the effectiveness of controls over that data. 
d. Regularly updates the information and technology asset inventories for new assets, both internal assets and those residing at third-party service provider locations.",Semantic,Superset of,6,9,"ID.AM-05.02: The organization's hardware, software, and data assets are prioritized for protection based on their sensitivity, criticality, vulnerability, business value, and dependency role in the delivery of critical services.",IDENTIFY / Asset Management / Asset Protection Prioritization,ID.AM-05.02
Objective #3: Management understands the common risks and mitigating controls related to data governance and data management.,FFIEC-AIO-03.05,"Management should identify and classify the entity’s data effectively, by performing the following:
a. Identifies and understands the nature of the entity’s data, including: 
- Sensitivity, criticality, and importance of the data. 
- Frequency, recurrence, and use of the data. 
- Format in which data are maintained. 
b. Uses the results of the data classification process to implement controls to safeguard data, including sensitive data. 
c. Understands where data reside and maintains the effectiveness of controls over that data. 
d. Regularly updates the information and technology asset inventories for new assets, both internal assets and those residing at third-party service provider locations.",Semantic,Superset of,8,9,"ID.AM-07.01: The organization maintains a current inventory of the data being created, stored, or processed by its information assets and data flow diagrams depicting key internal and external data flows.",IDENTIFY / Asset Management / Data & Metadata Inventory,ID.AM-07.01
Objective #3: Management understands the common risks and mitigating controls related to data governance and data management.,FFIEC-AIO-03.05,"Management should identify and classify the entity’s data effectively, by performing the following:
a. Identifies and understands the nature of the entity’s data, including: 
- Sensitivity, criticality, and importance of the data. 
- Frequency, recurrence, and use of the data. 
- Format in which data are maintained. 
b. Uses the results of the data classification process to implement controls to safeguard data, including sensitive data. 
c. Understands where data reside and maintains the effectiveness of controls over that data. 
d. Regularly updates the information and technology asset inventories for new assets, both internal assets and those residing at third-party service provider locations.",Semantic,Superset of,8,9,"ID.AM-08.01: The organization establishes and maintains asset lifecycle management policies and procedures to ensure that assets are acquired, tracked, implemented, used, decommissioned, and protected commensurate with their sensitivity, criticality, and business value.",IDENTIFY / Asset Management / Asset Life Cycle Management,ID.AM-08.01
Objective #3: Management understands the common risks and mitigating controls related to data governance and data management.,FFIEC-AIO-03.05,"Management should identify and classify the entity’s data effectively, by performing the following:
a. Identifies and understands the nature of the entity’s data, including: 
- Sensitivity, criticality, and importance of the data. 
- Frequency, recurrence, and use of the data. 
- Format in which data are maintained. 
b. Uses the results of the data classification process to implement controls to safeguard data, including sensitive data. 
c. Understands where data reside and maintains the effectiveness of controls over that data. 
d. Regularly updates the information and technology asset inventories for new assets, both internal assets and those residing at third-party service provider locations.",Semantic,Superset of,7,9,"PR.DS-01.01: Data-at-rest is protected commensurate with the criticality and sensitivity of the information and in alignment with the data classification and protection policy (e.g., through the use of encryption, authentication, access control, segregation, masking, tokenization, and file integrity monitoring).",PROTECT / Data Security / Protection of Data at Rest,PR.DS-01.01
Objective #3: Management understands the common risks and mitigating controls related to data governance and data management.,FFIEC-AIO-03.05,"Management should identify and classify the entity’s data effectively, by performing the following:
a. Identifies and understands the nature of the entity’s data, including: 
- Sensitivity, criticality, and importance of the data. 
- Frequency, recurrence, and use of the data. 
- Format in which data are maintained. 
b. Uses the results of the data classification process to implement controls to safeguard data, including sensitive data. 
c. Understands where data reside and maintains the effectiveness of controls over that data. 
d. Regularly updates the information and technology asset inventories for new assets, both internal assets and those residing at third-party service provider locations.",Semantic,Superset of,7,9,"PR.DS-02.01: Data-in-transit is protected commensurate with the criticality and sensitivity of the information and in alignment with the data classification and protection policy (e.g., through the use of encryption, authentication, access control, masking, tokenization, and alternate transit paths).",PROTECT / Data Security / Protection of Data in Transit,PR.DS-02.01
Objective #3: Management understands the common risks and mitigating controls related to data governance and data management.,FFIEC-AIO-03.05,"Management should identify and classify the entity’s data effectively, by performing the following:
a. Identifies and understands the nature of the entity’s data, including: 
- Sensitivity, criticality, and importance of the data. 
- Frequency, recurrence, and use of the data. 
- Format in which data are maintained. 
b. Uses the results of the data classification process to implement controls to safeguard data, including sensitive data. 
c. Understands where data reside and maintains the effectiveness of controls over that data. 
d. Regularly updates the information and technology asset inventories for new assets, both internal assets and those residing at third-party service provider locations.",Semantic,Superset of,7,9,"ID.AM-08.03: The organization establishes policies, standards, and procedures for data governance, data management, and data retention consistent with its legal obligations and the value of data as an organizational asset.",IDENTIFY / Asset Management / Asset Life Cycle Management,ID.AM-08.03
Objective #3: Management understands the common risks and mitigating controls related to data governance and data management.,FFIEC-AIO-03.05,"Management should identify and classify the entity’s data effectively, by performing the following:
a. Identifies and understands the nature of the entity’s data, including: 
- Sensitivity, criticality, and importance of the data. 
- Frequency, recurrence, and use of the data. 
- Format in which data are maintained. 
b. Uses the results of the data classification process to implement controls to safeguard data, including sensitive data. 
c. Understands where data reside and maintains the effectiveness of controls over that data. 
d. Regularly updates the information and technology asset inventories for new assets, both internal assets and those residing at third-party service provider locations.",Semantic,Superset of,6,9,"ID.AM-08.04: The organization's asset management processes ensure the protection of sensitive data throughout removal, transfers, maintenance, end-of-life, and secure disposal or re-use.",IDENTIFY / Asset Management / Asset Life Cycle Management,ID.AM-08.04
Objective #3: Management understands the common risks and mitigating controls related to data governance and data management.,FFIEC-AIO-03.05,"Management should identify and classify the entity’s data effectively, by performing the following:
a. Identifies and understands the nature of the entity’s data, including: 
- Sensitivity, criticality, and importance of the data. 
- Frequency, recurrence, and use of the data. 
- Format in which data are maintained. 
b. Uses the results of the data classification process to implement controls to safeguard data, including sensitive data. 
c. Understands where data reside and maintains the effectiveness of controls over that data. 
d. Regularly updates the information and technology asset inventories for new assets, both internal assets and those residing at third-party service provider locations.",Semantic,Superset of,7,9,"PR.DS-10.01: Data-in-use is protected commensurate with the criticality and sensitivity of the information and in alignment with the data classification and protection policy (e.g., through the use of encryption, authentication, access control, masking, tokenization, visual shielding, memory integrity monitoring, etc.)",PROTECT / Data Security / Protection of Data in Use,PR.DS-10.01
Objective #3: Management understands the common risks and mitigating controls related to data governance and data management.,FFIEC-AIO-03.06,"Management should have an effective database management that incorporates the following: 
a. Securely designs, builds, and operates databases. 
b. Implements a process to secure and oversee databases. 
c. Ascertains the effectiveness of database controls and updates the information asset and technology inventories. 
d. Ensures databases are appropriately located and structured, have sufficient capacity, and are resilient. 
e. Regularly monitors for new or changed databases and reports on misconfigured or out-of-compliance databases. 
f. Understands how databases interconnect throughout the entity. 
g. Focuses on identifying, managing, and securing the data; identifying business uses; and providing appropriate access regardless of how the data are stored. 
h. Has appropriate staff (e.g., DBAs) that 
- Is responsible for database configuration, access controls, and maintenance, as well as training. 
- Monitors databases and maintains normal operations. 
- Works with information security staff. 
- Monitors for anomalous database activities. 
- Is familiar with procedures to protect sensitive information, restores normal operations, and notifies the information security officer when necessary. 
i. Limits and independently monitors accounts belonging to DBAs.",Semantic,Superset of,7,8,"GV.RR-02.06: Roles and responsibilities for the inventory, ownership, and custodianship of applications, data and other technology assets are established and maintained.","GOVERN / Roles, Responsibilities, and Authorities / Risk Management Roles & Responsibilities",GV.RR-02.06
Objective #3: Management understands the common risks and mitigating controls related to data governance and data management.,FFIEC-AIO-03.06,"Management should have an effective database management that incorporates the following: 
a. Securely designs, builds, and operates databases. 
b. Implements a process to secure and oversee databases. 
c. Ascertains the effectiveness of database controls and updates the information asset and technology inventories. 
d. Ensures databases are appropriately located and structured, have sufficient capacity, and are resilient. 
e. Regularly monitors for new or changed databases and reports on misconfigured or out-of-compliance databases. 
f. Understands how databases interconnect throughout the entity. 
g. Focuses on identifying, managing, and securing the data; identifying business uses; and providing appropriate access regardless of how the data are stored. 
h. Has appropriate staff (e.g., DBAs) that 
- Is responsible for database configuration, access controls, and maintenance, as well as training. 
- Monitors databases and maintains normal operations. 
- Works with information security staff. 
- Monitors for anomalous database activities. 
- Is familiar with procedures to protect sensitive information, restores normal operations, and notifies the information security officer when necessary. 
i. Limits and independently monitors accounts belonging to DBAs.",Functional ,Intersects with,4,8,"ID.AM-01.01: The organization maintains a current and complete asset inventory of physical devices, hardware, and information systems.",IDENTIFY / Asset Management / Hardware Inventory,ID.AM-01.01
Objective #3: Management understands the common risks and mitigating controls related to data governance and data management.,FFIEC-AIO-03.06,"Management should have an effective database management that incorporates the following: 
a. Securely designs, builds, and operates databases. 
b. Implements a process to secure and oversee databases. 
c. Ascertains the effectiveness of database controls and updates the information asset and technology inventories. 
d. Ensures databases are appropriately located and structured, have sufficient capacity, and are resilient. 
e. Regularly monitors for new or changed databases and reports on misconfigured or out-of-compliance databases. 
f. Understands how databases interconnect throughout the entity. 
g. Focuses on identifying, managing, and securing the data; identifying business uses; and providing appropriate access regardless of how the data are stored. 
h. Has appropriate staff (e.g., DBAs) that 
- Is responsible for database configuration, access controls, and maintenance, as well as training. 
- Monitors databases and maintains normal operations. 
- Works with information security staff. 
- Monitors for anomalous database activities. 
- Is familiar with procedures to protect sensitive information, restores normal operations, and notifies the information security officer when necessary. 
i. Limits and independently monitors accounts belonging to DBAs.",Functional ,Intersects with,4,8,"ID.AM-02.01: The organization maintains a current and complete inventory of software platforms, business applications, and other software assets (e.g., virtual machines and virtual network devices).","IDENTIFY / Asset Management / Software, Services, & Systems Inventory",ID.AM-02.01
Objective #3: Management understands the common risks and mitigating controls related to data governance and data management.,FFIEC-AIO-03.06,"Management should have an effective database management that incorporates the following: 
a. Securely designs, builds, and operates databases. 
b. Implements a process to secure and oversee databases. 
c. Ascertains the effectiveness of database controls and updates the information asset and technology inventories. 
d. Ensures databases are appropriately located and structured, have sufficient capacity, and are resilient. 
e. Regularly monitors for new or changed databases and reports on misconfigured or out-of-compliance databases. 
f. Understands how databases interconnect throughout the entity. 
g. Focuses on identifying, managing, and securing the data; identifying business uses; and providing appropriate access regardless of how the data are stored. 
h. Has appropriate staff (e.g., DBAs) that 
- Is responsible for database configuration, access controls, and maintenance, as well as training. 
- Monitors databases and maintains normal operations. 
- Works with information security staff. 
- Monitors for anomalous database activities. 
- Is familiar with procedures to protect sensitive information, restores normal operations, and notifies the information security officer when necessary. 
i. Limits and independently monitors accounts belonging to DBAs.",Semantic,Superset of,3,8,"ID.AM-04.01: Hardware, software, and data assets maintained by or located at suppliers or other third parties are included in asset management inventories and lifecycle management processes as required for effective management and security.",IDENTIFY / Asset Management / Supplier Services Inventory,ID.AM-04.01
Objective #3: Management understands the common risks and mitigating controls related to data governance and data management.,FFIEC-AIO-03.06,"Management should have an effective database management that incorporates the following: 
a. Securely designs, builds, and operates databases. 
b. Implements a process to secure and oversee databases. 
c. Ascertains the effectiveness of database controls and updates the information asset and technology inventories. 
d. Ensures databases are appropriately located and structured, have sufficient capacity, and are resilient. 
e. Regularly monitors for new or changed databases and reports on misconfigured or out-of-compliance databases. 
f. Understands how databases interconnect throughout the entity. 
g. Focuses on identifying, managing, and securing the data; identifying business uses; and providing appropriate access regardless of how the data are stored. 
h. Has appropriate staff (e.g., DBAs) that 
- Is responsible for database configuration, access controls, and maintenance, as well as training. 
- Monitors databases and maintains normal operations. 
- Works with information security staff. 
- Monitors for anomalous database activities. 
- Is familiar with procedures to protect sensitive information, restores normal operations, and notifies the information security officer when necessary. 
i. Limits and independently monitors accounts belonging to DBAs.",Functional ,Intersects with,2,8,"ID.AM-05.01: The organization establishes and maintains risk-based policies and procedures for the classification of hardware, software, and data assets based on sensitivity and criticality.",IDENTIFY / Asset Management / Asset Protection Prioritization,ID.AM-05.01
Objective #3: Management understands the common risks and mitigating controls related to data governance and data management.,FFIEC-AIO-03.06,"Management should have an effective database management that incorporates the following: 
a. Securely designs, builds, and operates databases. 
b. Implements a process to secure and oversee databases. 
c. Ascertains the effectiveness of database controls and updates the information asset and technology inventories. 
d. Ensures databases are appropriately located and structured, have sufficient capacity, and are resilient. 
e. Regularly monitors for new or changed databases and reports on misconfigured or out-of-compliance databases. 
f. Understands how databases interconnect throughout the entity. 
g. Focuses on identifying, managing, and securing the data; identifying business uses; and providing appropriate access regardless of how the data are stored. 
h. Has appropriate staff (e.g., DBAs) that 
- Is responsible for database configuration, access controls, and maintenance, as well as training. 
- Monitors databases and maintains normal operations. 
- Works with information security staff. 
- Monitors for anomalous database activities. 
- Is familiar with procedures to protect sensitive information, restores normal operations, and notifies the information security officer when necessary. 
i. Limits and independently monitors accounts belonging to DBAs.",Semantic,Superset of,4,8,"ID.AM-07.01: The organization maintains a current inventory of the data being created, stored, or processed by its information assets and data flow diagrams depicting key internal and external data flows.",IDENTIFY / Asset Management / Data & Metadata Inventory,ID.AM-07.01
Objective #3: Management understands the common risks and mitigating controls related to data governance and data management.,FFIEC-AIO-03.06,"Management should have an effective database management that incorporates the following: 
a. Securely designs, builds, and operates databases. 
b. Implements a process to secure and oversee databases. 
c. Ascertains the effectiveness of database controls and updates the information asset and technology inventories. 
d. Ensures databases are appropriately located and structured, have sufficient capacity, and are resilient. 
e. Regularly monitors for new or changed databases and reports on misconfigured or out-of-compliance databases. 
f. Understands how databases interconnect throughout the entity. 
g. Focuses on identifying, managing, and securing the data; identifying business uses; and providing appropriate access regardless of how the data are stored. 
h. Has appropriate staff (e.g., DBAs) that 
- Is responsible for database configuration, access controls, and maintenance, as well as training. 
- Monitors databases and maintains normal operations. 
- Works with information security staff. 
- Monitors for anomalous database activities. 
- Is familiar with procedures to protect sensitive information, restores normal operations, and notifies the information security officer when necessary. 
i. Limits and independently monitors accounts belonging to DBAs.",Semantic,Superset of,8,8,"PR.AT-02.01: Mechanisms are in place to ensure that the personnel working with cybersecurity and technology (e.g., developers, DBAs, network admins, etc.) maintain current knowledge and skills related to changing threats, countermeasures, new tools, best practices, and their job responsibilities.",PROTECT / Awareness and Training / Specialized Role Awareness & Training,PR.AT-02.01
Objective #3: Management understands the common risks and mitigating controls related to data governance and data management.,FFIEC-AIO-03.06,"Management should have an effective database management that incorporates the following: 
a. Securely designs, builds, and operates databases. 
b. Implements a process to secure and oversee databases. 
c. Ascertains the effectiveness of database controls and updates the information asset and technology inventories. 
d. Ensures databases are appropriately located and structured, have sufficient capacity, and are resilient. 
e. Regularly monitors for new or changed databases and reports on misconfigured or out-of-compliance databases. 
f. Understands how databases interconnect throughout the entity. 
g. Focuses on identifying, managing, and securing the data; identifying business uses; and providing appropriate access regardless of how the data are stored. 
h. Has appropriate staff (e.g., DBAs) that 
- Is responsible for database configuration, access controls, and maintenance, as well as training. 
- Monitors databases and maintains normal operations. 
- Works with information security staff. 
- Monitors for anomalous database activities. 
- Is familiar with procedures to protect sensitive information, restores normal operations, and notifies the information security officer when necessary. 
i. Limits and independently monitors accounts belonging to DBAs.",Semantic,Superset of,8,8,"PR.AT-02.02: High-risk groups, such as those with elevated privileges or in sensitive business functions (including privileged users, senior executives, cybersecurity personnel and third-party stakeholders), receive cybersecurity situational awareness training for their roles and responsibilities.",PROTECT / Awareness and Training / Specialized Role Awareness & Training,PR.AT-02.02
Objective #3: Management understands the common risks and mitigating controls related to data governance and data management.,FFIEC-AIO-03.06,"Management should have an effective database management that incorporates the following: 
a. Securely designs, builds, and operates databases. 
b. Implements a process to secure and oversee databases. 
c. Ascertains the effectiveness of database controls and updates the information asset and technology inventories. 
d. Ensures databases are appropriately located and structured, have sufficient capacity, and are resilient. 
e. Regularly monitors for new or changed databases and reports on misconfigured or out-of-compliance databases. 
f. Understands how databases interconnect throughout the entity. 
g. Focuses on identifying, managing, and securing the data; identifying business uses; and providing appropriate access regardless of how the data are stored. 
h. Has appropriate staff (e.g., DBAs) that 
- Is responsible for database configuration, access controls, and maintenance, as well as training. 
- Monitors databases and maintains normal operations. 
- Works with information security staff. 
- Monitors for anomalous database activities. 
- Is familiar with procedures to protect sensitive information, restores normal operations, and notifies the information security officer when necessary. 
i. Limits and independently monitors accounts belonging to DBAs.",Semantic,Superset of,7,8,"PR.DS-01.01: Data-at-rest is protected commensurate with the criticality and sensitivity of the information and in alignment with the data classification and protection policy (e.g., through the use of encryption, authentication, access control, segregation, masking, tokenization, and file integrity monitoring).",PROTECT / Data Security / Protection of Data at Rest,PR.DS-01.01
Objective #3: Management understands the common risks and mitigating controls related to data governance and data management.,FFIEC-AIO-03.06,"Management should have an effective database management that incorporates the following: 
a. Securely designs, builds, and operates databases. 
b. Implements a process to secure and oversee databases. 
c. Ascertains the effectiveness of database controls and updates the information asset and technology inventories. 
d. Ensures databases are appropriately located and structured, have sufficient capacity, and are resilient. 
e. Regularly monitors for new or changed databases and reports on misconfigured or out-of-compliance databases. 
f. Understands how databases interconnect throughout the entity. 
g. Focuses on identifying, managing, and securing the data; identifying business uses; and providing appropriate access regardless of how the data are stored. 
h. Has appropriate staff (e.g., DBAs) that 
- Is responsible for database configuration, access controls, and maintenance, as well as training. 
- Monitors databases and maintains normal operations. 
- Works with information security staff. 
- Monitors for anomalous database activities. 
- Is familiar with procedures to protect sensitive information, restores normal operations, and notifies the information security officer when necessary. 
i. Limits and independently monitors accounts belonging to DBAs.",Semantic,Superset of,7,8,"ID.AM-08.03: The organization establishes policies, standards, and procedures for data governance, data management, and data retention consistent with its legal obligations and the value of data as an organizational asset.",IDENTIFY / Asset Management / Asset Life Cycle Management,ID.AM-08.03
Objective #3: Management understands the common risks and mitigating controls related to data governance and data management.,FFIEC-AIO-03.06,"Management should have an effective database management that incorporates the following: 
a. Securely designs, builds, and operates databases. 
b. Implements a process to secure and oversee databases. 
c. Ascertains the effectiveness of database controls and updates the information asset and technology inventories. 
d. Ensures databases are appropriately located and structured, have sufficient capacity, and are resilient. 
e. Regularly monitors for new or changed databases and reports on misconfigured or out-of-compliance databases. 
f. Understands how databases interconnect throughout the entity. 
g. Focuses on identifying, managing, and securing the data; identifying business uses; and providing appropriate access regardless of how the data are stored. 
h. Has appropriate staff (e.g., DBAs) that 
- Is responsible for database configuration, access controls, and maintenance, as well as training. 
- Monitors databases and maintains normal operations. 
- Works with information security staff. 
- Monitors for anomalous database activities. 
- Is familiar with procedures to protect sensitive information, restores normal operations, and notifies the information security officer when necessary. 
i. Limits and independently monitors accounts belonging to DBAs.",Semantic,Subset of ,5,8,"PR.PS-06.10: The organization establishes policies and procedures for the secure design, configuration, modification, and operation of databases, data stores, and data analytics platforms consistent with the criticality of the data being managed.",PROTECT / Platform Security / Secure Systems Development Practices,PR.PS-06.10
Objective #3: Management understands the common risks and mitigating controls related to data governance and data management.,FFIEC-AIO-03.06,"Management should have an effective database management that incorporates the following: 
a. Securely designs, builds, and operates databases. 
b. Implements a process to secure and oversee databases. 
c. Ascertains the effectiveness of database controls and updates the information asset and technology inventories. 
d. Ensures databases are appropriately located and structured, have sufficient capacity, and are resilient. 
e. Regularly monitors for new or changed databases and reports on misconfigured or out-of-compliance databases. 
f. Understands how databases interconnect throughout the entity. 
g. Focuses on identifying, managing, and securing the data; identifying business uses; and providing appropriate access regardless of how the data are stored. 
h. Has appropriate staff (e.g., DBAs) that 
- Is responsible for database configuration, access controls, and maintenance, as well as training. 
- Monitors databases and maintains normal operations. 
- Works with information security staff. 
- Monitors for anomalous database activities. 
- Is familiar with procedures to protect sensitive information, restores normal operations, and notifies the information security officer when necessary. 
i. Limits and independently monitors accounts belonging to DBAs.",Semantic,Superset of,7,8,"PR.IR-04.02: Technology availability and capacity is planned, monitored, managed, and optimized to meet business resilience objectives and reasonably anticipated infrastructure demands.",PROTECT / Technology Infrastructure Resilience / Capacity Management,PR.IR-04.02
Objective #3: Management understands the common risks and mitigating controls related to data governance and data management.,FFIEC-AIO-03.07,"Management should implement effective database security controls, such as the following: 
a. Changes passwords for default user accounts and, subsequently, disables or deletes those accounts where possible. 
b. Tracks and monitors activity for default accounts that cannot be disabled or deleted.
c. Restricts account access and limits privileges and permissions. 
d. Implements password management tools or activities. 
e. Employs an appropriate level of encryption according to the entity’s data classification policy. 
f. Configures and reviews audit logs. 
g. Regularly monitors database activity logs. 
h. Independently monitors DBA and privileged account activities. 
i. Classifies data maintained within the database. 
j. Restricts and monitors data extraction. 
k. Implements and adheres to patch management processes. 
l. Implements OS controls. 
m. Monitors OS-level privileged account activities. 
n. Manages application-level access.",Semantic,Superset of,9,8,"PR.AA-01.01: Identities and credentials are actively managed or automated for authorized devices and users (e.g., removal of default and factory passwords, password strength requirements, automatic revocation of credentials under defined conditions, regular asset owner access review, etc.).","PROTECT / Identity Management, Authentication, and Access Control / Identity & Credential Management",PR.AA-01.01
